title|media|date|desc
Petrobras faz redução em produção de petróleo e gastos com pessoal|Agência Brasil|01/04/2020|A Petrobras anunciou que vai adotar, a partir de hoje (1), novas medidas  para assegurar a sustentabilidade da companhia “nesta que se configura a  pior crise...
Empresa inicia recrutamento em Macaé para Engenheiro em projeto da Petrobras com possibilidade de embarque offshore neste dia 01|CPG Click Petroleo e Gas|01/04/2020|A Rina Brasil vai comandar um projeto de 3 anos para a Petrobras e está  recrutando Engenheiro Mecânico / Naval para atividades específicas,...
Coppe desenvolve ventiladores pulmonares para combate ao coronavírus|Agência Brasil|01/04/2020|Petrobras. Técnicos da Petrobras estão trabalhando junto com os  pesquisadores no laboratório da Coppe e fornecendo peças disponíveis no  Centro de Pesquisas da...
As empresas mais lucrativas da Bolsa brasileira em 2019 – e os maiores prejuízos|InfoMoney|01/04/2020|O maior lucro computado foi o da Petrobras, que fechou 2019 com resultado  positivo em R$ 40 bilhões, alta de 55,7% em relação a 2018.
Economatica: Ibovespa registra queda trimestral histórica em 2020|SpaceMoney|01/04/2020|"O destaque é o Bradesco, que está logo atrás da Petrobrás, com prejuízo de  mais de ... do valor de mercado de empresas com muitos ativos, como a  Petrobras""."
Preços caem até 25% em alguns postos após fiscalização do ...|Pouso Alegre .NET|01/04/2020|Segundo o MP, a redução do petróleo de 40% repassada pela Petrobrás  resultante do ... “Postos não costumam repassar todo o reajuste de preços  da Petrobras,...
Candidatos a entregador do iFood mais que dobram após surto de coronavírus|Época Negócios|01/04/2020|Petrobras amplia corte de produção de petróleo e reduz processamento em  refinarias. Mas, embora sejam um desafio para muitos, as medidas de  isolamento...
Terra atualiza carteiras de dividendos e small caps para abril; veja as mudanças|Money Times|01/04/2020|Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Ações, AES Tietê...
Ibovespa cai mais de 2% na abertura, seguindo exterior; dólar beira R$ 5,24|SpaceMoney|01/04/2020|Ibovespa sobe 2,1%, aos 100 mil pts. com Petrobras (PETR4) e Vale (VALE3);  dólar cai 0,3%, a R$ 5,23. 17h16 - 27 Jun 2022.
Rede de cafeterias Juan Valdez tem momento difícil por coronavírus, mas crê em recuperação|Money Times|01/04/2020|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
Petrobras registra nova descoberta de óleo no pré-sal em bloco na Bacia de Santos|Época Negócios|02/04/2020|A Petrobras registrou uma nova descoberta de óleo no pré-sal, em poço  pioneiro no bloco Uirapuru, na bacia de Santos, informou a companhia em  comunicado...
Rio começa na próxima semana testes em massa drive thru|Agência Brasil|02/04/2020|Além dessa compra, outros 200 mil testes rápidos foram doados pela  Petrobras e chegarão na próxima quinzena, totalizando 1,4 milhão de testes.
Petrobras reduz produção e pode demitir ou cortar salário de ...|A Gazeta|02/04/2020|Petrobras reduz produção e pode demitir ou cortar salário de 2 mil no ES ·  Trabalhadores terceirizados já estão sendo demitidos, segundo sindicato, e  os da área...
Castello Branco: Os idiotas nunca aprendem, e nós não queremos ser idiotas|Estado de Minas|02/04/2020|Em teleconferência com a XP Investimentos, após responder uma pergunta, o  presidente da Petrobras, Roberto Castello Branco, fez uma aparte dizendo  que...
