title|media|date|desc
Felipe Prazeres fala sobre a programação on-line da ...|"EBC Rádios |"|01/05/2020|Felipe Prazeres, spalla da Orquestra Petrobrás Sinfônica (OPES) e, desde  2012, também regente da Academia Juvenil, projeto educativo da OPES,...
Aproveitem: feriadão com gasolina a quase R$ 3 o litro|Blog do Correio Braziliense|01/05/2020|Desde o início do ano, a Petrobras já baixou os preços da gasolina nas  refinarias em mais de 50%. Isso está sendo possível porque os estoques da  petroleira...
Alemanha irá assumir 25,1% de participação na Lufthansa|Money Times|01/05/2020|Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Alemanha, Aviação,...
PGR denuncia Aécio Neves por corrupção - 01/05/2020 ...|Tribuna do Norte|01/05/2020|Lira volta a criticar a Petrobras e diz que País vai enfrentar a estatal  ... Líderes da Câmara vão discutir taxação de lucros da Petrobras.
PT recorre ao STF para 'desburocratizar' pagamento do auxílio emergencial - Bem Paraná|Bem Paraná|01/05/2020|Prazo do mandato de Paes de Andrade vai até 13/4/2023, data de AGO da  Petrobras · Confira os bilhetes premiados do 44º sorteio do programa Nota  Curitibana...
Lula: a pandemia deixou o capitalismo nu; capitalismo está ...|ISTOÉ Independente|01/05/2020|Ciro Nogueira ataca Petrobras com expectativa de novo aumento de ... Lira  anuncia reunião de líderes para discutir política de preços da Petrobras.
Suposta ’31ª morte’ no DF é paciente de 74 anos do Novo Gama, em Goiás|Diário do Poder|01/05/2020|Bolsonaro afirma que Petrobras tem que cumprir função social ... Bolsonaro  afirma que Petrobras tem que cumprir função social.
RS – Estaleiro Detroit conclui Starnav Alpha; o oitavo rebocador entregue em um intervalo de apenas 10 meses|Click Petróleo e Gás|01/05/2020|Informação de que Petrobras oferece combustível de graça é golpe ·  Sindicatos vão recorrer por interdição de plataformas da Petrobras...
Após 40 anos, Hotel Thermas anuncia fechamento em Mossoró por causa da crise provocada pelo coronavírus|G1|01/05/2020|... recurso natural da região, o Hotel Thermas teve seu auge durante o  crescimento do mercado de petróleo e investimentos da Petrobras na região.
Dia do trabalho: futebol corta empregos por conta do coronavírus|Money Times|01/05/2020|A alternativa ao papel da Petrobras (PETR4) que pode disparar 183% · Vale  (VALE3) Gerdau (GGBR4) e mais: O que ainda está descontado em commodities...
A serviço da Petrobras, o flotel pode ter casos de contaminação por covid 19|Click Petróleo e Gás|02/05/2020|Petroleiros terceirizados reclamam que apenas funcionários da Petrobras  estão fazendo teste para detecção do covid 19 no embarque, o que pode  resultar em...
'Impeachment é a última opção', afirma ministro Barroso do ...|Tribuna do Norte|02/05/2020|Líder do PL vai apresentar pedido para instalar CPI da Petrobras ... Lira  volta a criticar a Petrobras e diz que País vai enfrentar a estatal.
Novas vagas de emprego e estágio são anunciadas pela Baker Hughes neste dia 02 para o Rio de Janeiro e São Paulo|CPG Click Petroleo e Gas|02/05/2020|Veja como participar do processo seletivo e iniciar sua carreira em uma  multinacional do petróleo a seguir. Veja ainda outras notícias: Petrobras  mira aquisição...
Quanto tempo leva para meu negócio dar lucro?|Jornal Contábil|02/05/2020|Presidente afirma que vai propor à Câmara CPI para investigar Petrobras ·  Chamadas · Petrobras deve anunciar novos aumentos no preço de combustíveis.
Globonews: debate com Ciro (PDT), João Amoedo (Novo), Haddad (PT) e Major Vitor Hugo (PSL)|O Cafezinho|02/05/2020|... Obituário · Os melhores do blog · Pedro Breier · Pesquisa · Petrobrás  ... Cotado para assumir a Petrobras, Caio Paes de Andrade tem as digitais  de...
BR Distribuidora doa mais de 16 mil consultas médicas online para caminhoneiros de todo o país|CPG Click Petroleo e Gas|02/05/2020|Para quem já tem o Cartão Caminhoneiro Petrobras, basta acessar, em caso de  necessidade, o site https://www.cartaodocaminhoneiro.com.br que será  possível...
Dez anos após crise da dívida, Grécia teme nova recessão|UOL Notícias|02/05/2020|Andrade tomará posse na terça-feira como presidente da Petrobras, ...  Senadores pedem ao STF apreensão de celular usado por ex-presidente da  Petrobras.
Brasil transfere tecnologia para a Suécia|Money Times|03/05/2020|Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Força Aérea Brasileira,...
Bruna Marquezine registra clique em dia de sol e mostra ...|ISTOÉ Independente|03/05/2020|Conselho aprova Caio de Andrade para presidência da Petrobras ... Ibovespa  flerta com 101 mil pontos apoiado em Vale e Petrobras.
'Há lealdades maiores do que as pessoais', afirma Moro|Abc do Abc|03/05/2020|67% apoiam privatização da Petrobras, se preço do combustível cair, diz  pesquisa. Dados levantados pela InterPlayers mostram São Paulo liderando a  expansão...
Bolsonaro é aprovado por 34% entre quem recebeu os R ...|Poder360|03/05/2020|... possível vitória de Lula no 1° turno · PoderData: 43% dizem que governo  não deve privatizar nada · PoderData: 55% são contra a privatização da  Petrobras.
Maciel Neto: Moro corrompeu a Constituição por projeto pessoal|Consultor Jurídico|03/05/2020|Nesse contexto entra em cena a figura obscura do juiz de primeira instância  Sérgio Moro, condutor do processo contra a Petrobras e contra as grandes...
Petrobras quebra recorde ao exportar 1 milhão de b/d de petróleo em abril|Valor Econômico|04/05/2020|A Petrobras exportou 1 milhão de barris de petróleo por dia no mês de  abril, um novo recorde de exportação da empresa. O volume foi 145% superior  ao...
Petrobras põe à venda o campo de Manati, na Bacia de Camam, Bahia|CPG Click Petroleo e Gas|04/05/2020|Em meio a crise do petróleo e a pandemia pelo novo coronavírus, Petrobras  anuncia nesta segunda-feira (04) a etapa de divulgação da oportunidade  (teaser),...
Consórcio Piauí-Alabama assina contrato com a Petrobras para descomissionar Cação, na Bacia do Espírito Santo|Click Petróleo e Gás|04/05/2020|Petrobras: ANP aprova programas de descomissionamento, entre eles estão o  das três plataformas fixas de Cação, cujo descomissionamento será feito  pelo...
Sindipetro diz que empresa obriga demitidos a fazer ato no ...|Infonet|04/05/2020|Sindicalista revela que operários demitidos são obrigados a fazer  aglomeração na porta do Tecarmo como forma de fazer pressão à Petrobras  (Foto: Arquivo...
Alteração de regime de turnos de revezamento para fixos em ...|TST|04/05/2020|Com a alteração, promovida unilateralmente pela Petrobras, passaram a ter  turnos fixos, em escala 5x2 (cinco dias de trabalho por dois dias de  folga,...
B2W irá vender em site produtos de lojas BR Mania, da BR Distribuidora|Valor Econômico|04/05/2020|A B2W firmou uma parceria com a Petrobras Distribuidora para a integração  das lojas de conveniência BR Mania em seu marketplace (shopping virtual).
Ibovespa cai quase 3% com exterior negativo; dólar dispara mais de 2%|SpaceMoney|04/05/2020|Ibovespa fecha estável, abaixo dos 100 mil pontos com Petrobras e Vale;  dólar avança 0,8% ... (RECV3) e PetroRio (PRIO3) caem até 10%, com  Petrobras (PETR4).
7 dicas para desenvolver o planejamento financeiro pessoal|SpaceMoney|04/05/2020|Ibovespa sobe 2%, aos 100 mil pts., com Petrobras (PETR4) e Vale (VALE3);  dólar cai 0,5%, ... (RECV3) e PetroRio (PRIO3) caem até 10%, com Petrobras  (PETR4).
Conservador, moderado ou agressivo: encontre sua carteira de ativos para maio|Money Times|04/05/2020|... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, ... Petrobras (PETR4), dividendos e mais: Veja os destaques da  semana no...
Economia desenha soluções privadas para grandes empresas afetadas pelo Covid-19, diz secretário|Money Times|04/05/2020|... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio...
Petrobras tenta contornar excesso de combustível usando ...|Portos e Navios|05/05/2020|A Petrobras tem consultado distribuidoras de combustíveis em busca de  tanques para guardar provisoriamente sua produção de gasolina, em um  momento em que...
Petrobras/Castello Branco: Não temo enfraquecimento comercial com a China por questões políticas|Valor Investe|05/05/2020|Petrobras/Castello Branco: Não temo enfraquecimento comercial com a China  por questões políticas. 'O Brasil é uma das fortalezas globais de recursos  naturais e...
Petrobras inicia venda do campo de gás de Manati em Camamu (BA)|Jornal Correio|05/05/2020|A Petrobras iniciou nesta segunda-feira (04), o processo de venda do campo  gás natural de Manati, na Bacia de Camamu, na Bahia. Esta primeira etapa  consiste...
Karoon e PetroRio confirmam interesse na compra de campos de petróleo da Petrobras|CPG Click Petroleo e Gas|05/05/2020|Devido a crise a Petrobras adiou alguns prazos, como no caso da venda das  refinarias e da Gaspetro. Em contrapartida a estatal abriu processo de  venda dos 10...
Ministério anuncia desligamento de funcionário que cuspiu em enfermeira|Diário do Poder|05/05/2020|Moro acha 'risível' PT culpar juiz e não o ladrão por prejuízo na Petrobras  ... Ministro Sachsida substitui presidente da Petrobras a pedido de  Bolsonaro.
PT corre risco de ter o registro cancelado? O que diz a lei|Gazeta do Povo|05/05/2020|Freire argumenta que a Petrobras é composta por capital estrangeiro de duas  formas. A primeira é com ações negociadas na Bolsa de Valores de Nova  Iorque. A...
Tecnisa aprova grupamento de 10 ações em 1|Money Times|05/05/2020|... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, ... Petrobras (PETR4), dividendos e mais: Veja os destaques da  semana no...
Justiça proíbe atividades da construção civil em Sergipe, durante quarentena|Diário do Poder|05/05/2020|Lucro abusivo da Petrobras é de meio bilhão por dia · Diário do Poder. Novo  ministro define privatização da Petrobras como prioridade.
Companhia Brasileira de Metalurgia e Mineração suspenderá temporariamente produção de nióbio|CPG Click Petroleo e Gas|05/05/2020|Petrobras recorre a terceiros para armazenar excesso de combustível · Em  meio a crise do petróleo, Petrobras bate recorde e exporta 1 milhão de  barris em...
Ao vivo: Plenário da Câmara vota hoje em segundo turno PEC do “orçamento de guerra”|Money Times|05/05/2020|Para lucrar: 6 empresas que pagam dividendos trimestrais · Tem ações da  Petrobras (PETR4)? Saiba se é hora de vender ou comprar, segundo 5  analistas...
Gasolina vai subir 12% nas refinarias, informa Petrobras|Agência Brasil|06/05/2020|O preço do óleo diesel permanecerá o mesmo. A informação foi divulgada  nesta quarta-feira (6) pela Petrobras. De acordo com a estatal, no  acumulado do ano o...
Petrobras aumenta preço da gasolina e litro na refinaria será ...|Amazonas Atual|06/05/2020|O repasse do reajuste ao consumidor depende de políticas comerciais de  postos e distribuidoras. Segundo a Petrobras, o valor de venda da gasolina  em suas...
A partir de amanhã Petrobras fará reajuste de 12 por cento na gasolina|CPG Click Petroleo e Gas|06/05/2020|Segundo a Petrobras, não haverá reajustes para o diesel. Esta é a primeira  alta do derivado nas refinarias desde fevereiro. Em meio a pandemia,...
Petros terá novo plano de equacionamento para déficit de R$ 40 bi|Valor Econômico|06/05/2020|A Petros, fundo de pensão dos funcionários da Petrobras, aprovou um novo  plano de equacionamento para sanear um déficit de quase R$ 40 bilhões.
Como o investidor arrojado pode se comportar na crise ...|E-Investidor|06/05/2020|Ibovespa flerta com 101 mil pontos apoiado em Vale e Petrobras · Taxas  caindo e subindo ... Duda Rocha: “Nunca estaria vendido em Petrobras” ·  Investimentos...
Com intervenções, posição cambial líquida do BC cai em abril a mínima em mais de 2 anos|Money Times|06/05/2020|... Vale (VALE3), Taesa (TAEE11): 10 ações para lucrar com dividendos,  segundo o Inter · A alternativa ao papel da Petrobras (PETR4) que pode  disparar 183%...
Necton divulga carteira recomendada com 10 ações defensivas para maio|Money Times|06/05/2020|A Necton substituiu as ações da Petrobras (PETR4), Lojas Renner (LREN3) e  Transmissão Paulista (TRPL4) pelos papéis do Bradesco (BBDC4), Raia  Drogasil...
