title|media|date|desc
Ibama multa Petrobras em R$ 8,19 milhões por vazamento de petróleo no ES|VEJA|01/03/2019|Ibama multa Petrobras em R$ 8,19 milhões por vazamento de petróleo no ES.  De acordo com o Instituto, a mancha de óleo ainda atingia dez quilômetros  quadrados na...
Venda de refinarias da Petrobras pode tornar Brasil refém de monopólios privados|DCM|01/03/2019|Daqui a alguns anos, estaremos importando 1 milhão de barris. E ao vender o  parque de refino da Petrobras, o Brasil não terá agregado um barril a mais.  A...
"Portal Exibidor - Adhemar Oliveira: ""É uma batalha ..."|Revista Exibidor|01/03/2019|Cinearte Petrobras segue como nome da empresa até o dia 31 de março e  Adhemar, que administra o minicomplexo há vinte e um anos, já está em  contato com empresas...
Multiplus ganha ‘ok’ da CVM para fechar capital|Seu Dinheiro|01/03/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis ... ADEUS, BOLSA! Multiplus ganha 'ok' da CVM  para fechar...
Líder do governo minimiza fala de Bolsonaro e diz que presidente “sinalizou vontade de negociar” a Previdência|Seu Dinheiro|01/03/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
‘Em um Brasil equilibrado, o mercado imobiliário pode dobrar’, diz presidente da MRV|Seu Dinheiro|01/03/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
ICMS de 18% afeta preço do gás de cozinha no Amazonas ...|Amazonas Atual|01/03/2019|MANAUS – A alíquota de 18% do ICMS (Imposto sobre Circulação de Mercadorias  e Serviços) e a política de preços da Petrobras influenciam diretamente no  preço...
Clientes da XP têm problemas com informe de rendimentos, e página de download está fora do ar|Seu Dinheiro|01/03/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis · Clientes da XP têm problemas com informe de  rendimentos,...
"OAS pagou delatores para ""ajustar"" depoimentos, diz ex ..."|Consultor Jurídico|01/03/2019|"Foi condenado a 11 anos de prisão por Sergio Moro, que viu ""prova robusta""  da participação da OAS no esquema de corrupção envolvendo a Petrobras."
Dividendos todo mês? Veja carteira recomendada do Santander para março|Money Times|01/03/2019|... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio...
Amor, dinheiro e os pirralhos correndo pela casa|Seu Dinheiro|02/03/2019|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal. Menu.
Demitido? Fabio Schvartsman está de saída da Vale, diz revista|Seu Dinheiro|02/03/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu.
MAIS LIDAS: A nova fantasia de Eike Batista|Seu Dinheiro|02/03/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
Como foram as 9 horas de Lula fora da prisão para velório do ...|BBC|02/03/2019|Segundo a Justiça, Lula recebeu propina da empreiteira OAS na forma de um  apartamento no Guarujá, em troca de favores na Petrobras.
Aliados políticos prestam solidariedade a Lula; Maduro envia flores|UOL Notícias|02/03/2019|Caio Paes de Andrade assume a presidência da Petrobras. 28/06/2022 12h21  ... Bolsonaro consolida a intervenção na Petrobras. 28/06/2022 09h20.
Schwartsman: ceder na reforma reduz perspectiva de ...|Poder360|02/03/2019|Teremos nova dinâmica na Petrobras, diz Bolsonaro · Goiás reduz ICMS sobre  combustíveis e energia para 17% · Estatal do pré-sal já arrecadou R$ 1,23  bilhão...
Maratona de aulas para o concurso BRB começa hoje|Estratégia Concursos|02/03/2019|Aprovado em 5º lugar no concurso PETROBRÁS para Análise – Comércio e  Suprimento ... em 5º lugar no concurso PETROBRAS para Análise – Comércio e  Suprimento.
