title|media|date|desc
Petrobras e Vale retiram seus funcionários de China, Cingapura e Japão em meio a emergência global|Click Petróleo e Gás|01/02/2020|A ordem partiu dos superiores da Vale e da Petrobras para a retirada de  todos os funcionários que estejam atuando nessas regiões · China,  Indonésia, Cingapura e...
Petrobras transfere mil funcionários para Vitória - Tribuna Online|Tribuna Online|01/02/2020|Os projetos de desinvestimento da Petrobras – que, nos últimos meses, tem  vendido ativos e encerrado suas operações em diversos pontos do País,...
Surto de coronavírus pode atrapalhar vendas da Petrobras|Conversa Afiada|01/02/2020|A Petrobras exportou 360 mil barris diários para a China em 2019. Ao todo,  o país representa 72% de todas as vendas internacionais da estatal  brasileira.
Ângela Leal teve infarto após saber que seu teatro perdeu o ...|Revista Forum|01/02/2020|A atriz Ângela Leal revelou em entrevista publicada pelo jornal O Globo, na  última semana, que infartou após saber que a Petrobras cancelou o  patrocínio que...
Transatlânticos chegam ao Rio de Janeiro este mês com 100 mil turistas|Money Times|01/02/2020|A alternativa ao papel da Petrobras (PETR4) que pode disparar 183% · 12  fundos imobiliários de CRIs com dividendos de até 20% para você comprar  agora,...
Projeto que regulariza compartilhamento de veículos de mobilidade individual será analisada no Senado|Money Times|01/02/2020|Leia também: Comprar ou vender? Petrobras (PETR4) vira recomendação cada  vez mais arriscada, diz Bradesco BBI.
Com técnica inovadora, primeira cirurgia cardíaca fora do corpo é realizada na Holanda|Conexão Política|01/02/2020|Bolsonaro diz que Petrobras “traiu o povo” e propõe criação de CPI ·  Critério para renovar concessão da Globo será “100% técnico”, diz Fábio  Faria.
Imagem de transexuais leva questões a mundo corporativo tradicional|Economia & Negócios|01/02/2020|Mudança de presidente da Petrobras será inócua para controlar os preços;  leia análise. Auxílio Brasil: famílias reclamam de demora e falta de  informações.
Como calcular impostos dos Simples Nacional 2020|Jornal Contábil|01/02/2020|Presidente afirma que vai propor à Câmara CPI para investigar Petrobras ·  Chamadas. Petrobras deve anunciar novos aumentos no preço de combustíveis.
Um mês após ataques de piranhas, situação na prainha de ...|O Presente|01/02/2020|Petrobras, eleições e os brasileiros ... Líder dos caminhoneiros conclama  categoria para protesto na frente das refinarias da Petrobras no dia 27.
Surto de coronavírus afeta principal destino das exportações ...|Portos e Navios|02/02/2020|O surto de coronavírus afetará a demanda por petróleo do principal mercado  da Petrobras no exterior e deve representar uma queda na cotação do  barril...
Técnicos de refinaria estariam em cárcere privado há 48 ...|O POVO|02/02/2020|O Sindicato dos Petroleiros do Ceará (Sindipetro) denuncia que sete  técnicos de operação da Petrobras, lotados na Refinaria de Lubrificantes do  Nordeste...
Petrobras negocia venda da Gaspetro na Bolsa em operação que pode levantar R$ 4 bi, segundo analistas|O Globo|02/02/2020|RIO — Além de abrir espaço para a concorrência na infraestrutura de  transporte, a Petrobras também se movimenta para sair da distribuição de  gás natural.
