title|media|date|desc
Polícia paulista recupera R$1,5 milhão de assalto a banco em Botucatu|Diário do Poder|01/08/2020|Lucro abusivo da Petrobras é de meio bilhão por dia · Diário do Poder. Novo  ministro define privatização da Petrobras como prioridade.
Com investimento de R$ 30 milhões, obras de ampliação do Porto do Pecém são iniciadas no estado do Ceará|Click Petróleo e Gás|01/08/2020|A previsão de entrega do primeiro módulo é até fevereiro de 2021. Veja  também. Petrobras e WEG fecham contrato: Centenas de motores,  turbogeradores e inversores...
Praça de Atendimento de Santo André amplia horário de ...|Abc do Abc|01/08/2020|Parceria da Prefeitura com Petrobras e Instituto Seci beneficiará 1.566  famílias - Continue lendo. Munícipes de Santo André recebem auxílio para  compra de...
EXCLUSIVO: Petrobrás tem 'depósito' irregular de resíduos no fundo do mar|Época Negócios|02/08/2020|"Sem nenhum tipo de licenciamento ambiental, a Petrobrás ergueu um  ""almoxarifado submarino"" no litoral brasileiro, lotado com milhares de  maquinários e..."
Petrobras desaponta construção naval nacional: Estaleiros perdem o Filé mignon de obras para 3 navios pla ...|Click Petróleo e Gás|02/08/2020|Petrobras desaponta construção naval nacional: Estaleiros perdem o Filé  mignon de obras para 3 navios plataformas do tipo FPSO no gigantesco campo  de Búzios, no...
Churrascaria famosa de Londres oferece refeições por US$ 13|Money Times|02/08/2020|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
Por críticas à Lava Jato, Bolsonaro diz que não responde por outro Poder|Exame|02/08/2020|Petrobras (PETR4): minoritários avisam que vão recorrer se Paes de Andrade  for eleito. Mercados. Há uma hora • 2 min de leitura...
Produção de petróleo da Rússia fica estável em julho, em linha com acordo da Opep+|Money Times|02/08/2020|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
Itaipu fará nova operação especial para ajudar no escoamento da soja no Paraguai|Money Times|02/08/2020|... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio...
Lojas Renner: Realize CFI lança plataforma de benefícios com mais de 150 marcas|Money Times|02/08/2020|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
Empresário e deputado são condenados por fake news sobre Jean Wyllys|Exame|02/08/2020|Petrobras (PETR4): minoritários avisam que vão recorrer se Paes de Andrade  for eleito. Mercados. Há um dia • 2 min de leitura...
Collor desviou recursos de patrocínios da Petrobras e da Caixa, diz PF em relatório|Folha|03/08/2020|Collor desviou recursos de patrocínios da Petrobras e da Caixa, diz PF em  relatório. Documento aponta possível prática dos crimes de peculato e  lavagem; ex-...
