title|media|date|desc
Lula: Precisamos recuperar a Petrobras, não podemos deixar privatizar Eletrobras|UOL Economia|01/05/2022|Lula: Precisamos recuperar a Petrobras, não podemos deixar privatizar  Eletrobras. Lula discursa em ato do Dia do Trabalhador na praça Charles  Müller em São...
Gás natural fica mais caro a partir deste domingo|JC Online|01/05/2022|O novo reajuste trimestral, com validade até 31 de julho, foi divulgado na  sexta-feira (29) pela estatal. Segundo a Petrobras, a variação do preço do  gás...
Petrobras anuncia reajuste de 19% no gás natural a partir de domingo (1º)|Sul Fluminense Online|01/05/2022|A Petrobras anunciou na sexta-feira (29) que vai reajustar o preço de venda  de gás natural para as distribuidoras. Em média o aumento será de 19% a  partir...
Tarifa do gás natural aumenta no Grande Rio|G1|01/05/2022|Concessionária diz que o aumento foi causado por causa do reajuste de preço  da Petrobras. · residência: 6,80% · comércio: 7,05% · indústria: 18,52% ·  postos de GNV:...
Decisões do Fomc e Copom, emprego nos EUA e resultados de Petrobras (PETR4) e Bradesco (BBDC4): o que acompanhar na semana|InfoMoney|01/05/2022|Decisões do Fomc e Copom, emprego nos EUA e resultados de Petrobras (PETR4)  e Bradesco (BBDC4): o que acompanhar na semana.
Copasa (CSMG3), Petrobras (PETR4), Sanepar (SAPR11), Oi (OIBR3): Veja as empresas que divulgam seus resultados|Money Times|01/05/2022|Copasa (CSMG3), Petrobras (PETR4), Sanepar (SAPR11), Oi (OIBR3): Veja as  empresas que divulgam seus resultados. Por Bloomberg. 01/05/2022 - 18:00.
Reuniões de Copom e Fed, balanço da Petrobras e a agenda da semana|Exame|01/05/2022|Nos Estados Unidos, o Federal Reserve, o Fed, também deverá elevar os juros  na quarta, e da mesma forma investidores ficarão atentos à sinalização do  presidente...
Radar Corporativo traz Movida (MOVI3), Petrobras (PETR3, PETR4), Eletrobras (ELET3), e Nubank (NUBR33)|Eu Quero Investir|01/05/2022|Radar Corporativo traz Movida (MOVI3), Petrobras (PETR3, PETR4), Eletrobras  (ELET3), e Nubank (NUBR33). Por Redação EuQueroInvestir em 20:41 de  01/05/22.
Adriano Pires nega mágoa e diz que críticas pela indicação à Petrobras ‘eram para atacar Bolsonaro’|Jovem Pan|01/05/2022|O economista Adriano Pires Rodrigues, recentemente cotado para assumir a  presidência da Petrobras, defende a política de estabilização do preço  dos...
PGE vai recorrer de sentença que extinguiu ação contra ...|4oito|01/05/2022|O aumento nos valores do gás natural comercializado pela Petrobras também  foi alvo de ações judiciais protocoladas por outras unidades federativas,  como Alagoas...
Alta de 19% no gás natural da Petrobras para distribuidoras já está em vigor|G1|02/05/2022|Além do preço cobrado pela Petrobras, os tributos federais e estaduais,  além das margens de lucro de distribuidoras e revendedoras, formam o preço  final do gás.
Petrobras aumenta preço do GNV em 19%, mas reajuste nos postos pode ser maior|Autoesporte|02/05/2022|Petrobras aumenta preço do GNV em 19%, mas reajuste nos postos pode ser  maior. Gás Natural Veicular tem tabela reajustada a cada três meses;  valores para as...
Petrobrás anuncia reajuste no gás natural em 19%|GAZ|02/05/2022|Desde domingo, 1º, o gás natural vendido às distribuidoras pela Petrobras  está 19% mais caro. O novo reajuste trimestral, com validade até 31 de  julho,...
Petrobras inicia produção no Campo de Mero com plataforma Guanabara|Valor Investe|02/05/2022|A Petrobras anunciou que iniciou no último sábado a produção de petróleo e  gás natural na plataforma móvel (FPSO) Guanabara, o primeiro sistema de  produção...
Braskem não participa de discussões das acionistas Novonor e Petrobras sobre venda da empresa|Valor Econômico|02/05/2022|A Petrobras informa que não está conduzindo nenhuma estruturação de  operação de venda no mercado privado e que não tem conhecimento sobre  negociações com a J&F.
Petrobras anuncia novo reajuste no querosene de aviação; alta soma 48,7% no ano|Época Negócios|02/05/2022|"No ano passado, o aumento acumulado do QAV foi de 92%. ""Mais uma vez o  reajuste anunciado pela Petrobras comprova como as companhias aéreas  enfrentam..."
Exclusivo: Venda de refinaria da Petrobras em Manaus deve ser aprovada pelo Cade|Valor Econômico|02/05/2022|Exclusivo: Venda de refinaria da Petrobras em Manaus deve ser aprovada pelo  Cade. A venda é umas das obrigações firmadas entre a estatal e o órgão  antitruste em...
Diesel em alta gera pressão sobre Petrobras|Valor Econômico|02/05/2022|Essa situação amplia a pressão sobre a Petrobras para que reajuste nas  refinarias os preços do derivado, essencial ao transporte de cargas no país.
Sem privatizações por aqui: Lula quer recuperar a Petrobras (PETR4) e barrar a venda da Eletrobras (ELET3)|Seu Dinheiro|02/05/2022|Enquanto Bolsonaro promete privatizar tudo o que vê pela frente, Lula vem  na contramão e jura que não permitirá que estatais como a Petrobras (PETR4)  e a...
