title|media|date|desc
Bolsonaro fala em ‘fatiar a Petrobras’ e ir a debates na TV|Valor Econômico|01/06/2022|O presidente Jair Bolsonaro disse em entrevista exibida ontem que o governo  cogita “fatiar a Petrobras”. E criticou os acionistas minoritários da  empresa...
Petrobras (PETR4) gasta R$ 1,3 milhão cada vez que governo troca seu presidente|InfoMoney|01/06/2022|Toda vez que o governo do presidente Jair Bolsonaro promove uma mudança na  presidência da Petrobras (PETR3;PETR4), a estatal precisa desembolsar cerca  de R$...
Brasil: Bolsonaro diz que fatiar privatização da Petrobras será a solução|e-Global|01/06/2022|O presidente do Brasil, Jair Bolsonaro, defendeu esta terça-feira (31/6) o  fatiamento da Petrobras como forma de facilitar a privatização da estatal.
Petrobras lança site para explicar preços de combustíveis|Valor Investe|01/06/2022|A Petrobras anunciou nesta quarta-feira que lançou um novo site para  ensinar a população como são formados os preços da gasolina, diesel e gás  de cozinha.
Petrobras lança site sobre preço do combustível e diz ser responsável apenas por uma parte do valor|Exame|01/06/2022|Diante do aumento de preço dos combustíveis nos últimos meses, a Petrobras  (PETR4) lançou nesta quarta-feira, 1º de junho, um site para explicar aos...
Petrobras tem margem enorme para reduzir preço, se quiser, diz especialista|UOL Economia|01/06/2022|No caso da Petrobras, o governo federal é o acionista majoritário e, assim,  tem poderes para escolher a maior parte do conselho de administração, a  presidência...
Lira nomeia relator para projeto que altera política de preços da Petrobras e quer votá-lo hoje|Valor Econômico|01/06/2022|O projeto obriga a Petrobras a tornar mais transparente a composição dos  preços da gasolina, diesel e etanol. A estatal terá que divulgar  mensalmente para a...
Petrobras retoma o processo de venda da fábrica de fertilizantes nitrogenados que constrói em MS|G1|01/06/2022|A Petrobras retomou o processo de venda da fábrica de fertilizantes  nitrogenados que constrói em Três Lagoas (UFN3), Mato Grosso do Sul.
Lista da União para o conselho da Petrobras deve sair hoje, dizem fontes|Valor Econômico|01/06/2022|Lista da União para o conselho da Petrobras deve sair hoje, dizem fontes. A  informação é que pode haver uma troca geral nos nomes do governo para o  colegiado da...
Petrobras (PETR4) vai às compras e leva os 50% restantes da Ibiritermo; confira detalhes do negócio|Seu Dinheiro|01/06/2022|Petrobras (PETR4) vai às compras e leva os 50% restantes da Ibiritermo;  confira detalhes do negócio. A estatal já tinha 50% da empresa, que  controla uma usina...
Conselho do PPI aprova incluir Petrobras em estudos para privatização|Agência Brasil|02/06/2022|Um comitê interministerial, formado pelos Ministérios da Economia e de  Minas e Energia, se encarregará dos estudos, tanto sobre a desestatização  da Petrobras...
Conselho do PPI recomenda qualificar Petrobras para estudos de privatização|Valor Econômico|02/06/2022|"Westin evitou falar em prazos para os estudos da Petrobras e nem se a  petroleira seria ""fatiada"", como cogitou o presidente Jair Bolsonaro nesta  semana. Ele..."
Conselho do PPI recomenda incluir Petrobras na lista de estudos para privatização|G1|02/06/2022|O Conselho do Programa de Parcerias de Investimentos (PPI) decidiu nesta  quinta-feira (2) recomendar ao presidente Jair Bolsonaro a inclusão da  Petrobras na...
Petrobras sobe preço do querosene de aviação em 11,4% e joga mais pressão sobre passagem aérea|Valor Econômico|02/06/2022|Em um novo ajuste anunciado na quarta-feira, a Petrobras elevou em 11,4% o  preço do querosene de aviação (QAV) nas refinarias contra o valor praticado  em...
Petrobras eleva em 11,4% preço médio da querosene de aviação|Agência Brasil|02/06/2022|“A Petrobras esclarece que os preços de venda de querosene de aviação (QAV)  às companhias distribuidoras são ajustados mensalmente, sendo definidos  através...
Petrobras eleva preço do querosene de aviação em 11%|UOL Economia|02/06/2022|Na esteira da alta dos preços do petróleo, a Petrobras tem feito aumentos a  cada mês de 2022. No acumulado do ano, a alta do QAV supera 60%, aumentando  custos...
Petroleiros prometem 'maior greve da história' contra privatização da Petrobras|Valor Econômico|02/06/2022|Manifestações são resposta à decisão do Ministério de Minas e Energia de  recomendar a inclusão da Petrobras no Programa de Parcerias e Investimentos.
Governo pressiona por renúncia de presidente da Petrobras, mas ele já avisou que não antecipa a saída|G1|02/06/2022|O governo do presidente Jair Bolsonaro está pressionando pela renúncia do  atual presidente da Petrobras, José Mauro Ferreira Coelho. O governo quer  acelerar...
Lula, sobre privatizar Petrobras: 'Quem se meter a comprar, se prepare'|UOL Economia|02/06/2022|"Para Lula, a privatização da Eletrobras vai inviabilizar programas sociais  do governo que visem a levar energia elétrica às populações carentes. ""Se a  gente..."
Petrobras lança site com informação sobre preços de ...|Jornal do Vale do Itapocu|02/06/2022|A Petrobras lançou ontem (1) uma plataforma para facilitar o acesso a  informações sobre os preços dos combustíveis. A estatal apresenta, de forma  didática e...
Inserção da Petrobras (PETR3;PETR4) em programa de parcerias é passo para privatização, diz Itaú|Valor Investe|03/06/2022|A inclusão da Petrobras na carteira do Programa de Parcerias de  Investimentos (PPI) do Ministério da Economia é mero passo formal para  iniciar um possível...
Estudos para privatizar Petrobras têm aval de conselho de ministros|Valor Econômico|03/06/2022|O decreto é necessário para a qualificação formal da Petrobras no programa.  Se isso ocorrer, os estudos serão conduzidos por um comitê  interministerial,...
"O ""longo e árduo caminho"" para privatizar a Petrobras ..."|NeoFeed|03/06/2022|O “longo e árduo caminho” para privatizar a Petrobras, segundo o Itaú BBA.  Em relatório, analistas demonstram ceticismo em relação à venda da estatal,  diante...
Petrobras conclui teste de produção de querosene de conteúdo renovável|Agência Brasil|03/06/2022|Para o diretor de Refino e Gás Natural da Petrobras, Rodrigo Costa, o  BioQAV terá papel relevante para reduzir as emissões de CO2 do setor aéreo.  “A Petrobras...
Petrobras (PETR4) inicia a venda de fatia em sociedade feita com a Copel (CPLE6)|Suno|03/06/2022|“A Petrobras esclarece que os preços de venda de querosene de aviação (QAV)  às companhias distribuidoras são ajustados mensalmente, sendo definidos por  meio...
Petrobras fala em resultados 'promissores' em teste de ...|Dinheiro Rural|03/06/2022|A Petrobras informou nesta sexta-feira, 3, ter concluído com sucesso o  primeiro teste de produção de querosene de aviação com conteúdo renovável  do país.
Petroleiros reagem contra ameaça do governo de privatizar a ...|Hora do Povo|03/06/2022|“Vocês verão a maior greve da história da categoria petroleira se ousarem  colocar a privatização da Petrobrás em pauta”, afirma dirigente sindical.
Petrobras inicia análise de indicado a novo CEO|Valor Econômico|03/06/2022|Petrobras inicia análise de indicado a novo CEO. Documentos de Caio Paes de  Andrade foram entregues à estatal para checagens de conformidade e  integridade para...
XP altera preços-alvos de Petrobras, Petroreconcavo e 3R Petroleum; veja as análises|Valor Investe|03/06/2022|A XP revisou o preço-alvo de Petrobras, Petroreconcavo e 3R Petroleum,  reiterando recomendação de compra para as três, ao atualizar projeções para  as...
