title|media|date|desc
Petrobras avança com petróleo e Ibovespa fecha semana em alta|Valor Econômico|01/07/2022|Petrobras avança com petróleo e Ibovespa fecha semana em alta. Empresas  ligadas às commodities metálicas sofreram com a lenta reabertura da  economia chinesa,...
Petrobras (PETR4) e ANP assinam acordo sobre royalties por exploração de xisto|Suno|02/07/2022|A Petrobras (PETR4) anunciou o reinício dos processos de venda dos seus  ativos da Refinaria Abreu e Lima (RNEST), Refinaria Presidente Getúlio  Vargas (REPAR) e...
Quais seriam as alternativas à atual política de preços da Petrobras?|G1|03/07/2022|Mas quais são as reais alternativas à atual política de preços que poderiam  segurar os aumentos consecutivos sem quebrar os cofres da Petrobras e  onerar governo...
PGR quer ouvir ex-presidentes da Petrobras e do BB sobre suposta interferência de Bolsonaro|G1|04/07/2022|Pedido foi feito ao STF após notícias de que, em grupo de mensagem,  ex-presidente da Petrobras Roberto Castello Branco se referiu a material  que poderia...
Petrobras aumenta querosene de aviação em 3,9%|Agência Brasil|05/07/2022|A Petrobras anunciou aumento de 3,9% na querosene de aviação (QAV) no mês  de julho. A informação foi divulgada pela companhia nesta terça-feira (5).
Petrobras aumenta querosene de aviação em 3,9%|Exame|06/07/2022|A Petrobras anunciou aumento de 3,9% na querosene de aviação (QAV) no mês  de julho. A informação foi divulgada pela companhia nesta terça-feira (5).
Se petróleo seguir em queda, Petrobras poderá reduzir preços em breve, prevê UBS|CNN Brasil|07/07/2022|Ontem, a Acelen, refinaria privada concorrente da Petrobras, reduziu preços  da refinaria na Bahia em até 9% e já vende diesel mais barato que a média  nacional...
Comitê da Petrobras inicia análise de indicados|Valor Econômico|08/07/2022|O Comitê de Elegibilidade (Celeg) da Petrobras começou a análise dos nomes  indicados ao conselho de administração da estatal, passo necessário para  que a...
Petrobras é alvo de projeto que eleva a taxação sobre o lucro de empresas|Exame|09/07/2022|A cobrança do tributo poderá chegar a 20%. Se aprovado, o projeto atingirá  em cheio a Petrobras, que tem registrado lucros elevados com a alta dos  preços do...
Petrobras (PETR4): Funcionários aprovam indicativo de greve ...|Seu Dinheiro|10/07/2022|Segundo a Federação Única de Petroleiros (FUP), os 12 sindicatos espalhados  pelo país rejeitaram a contraproposta da Petrobras para acordo coletivo de  trabalho...
Petrobras recebe R$ 2,1 bilhões pela venda de 51% na Gaspetro para Compass|Valor Econômico|11/07/2022|Petrobras recebe R$ 2,1 bilhões pela venda de 51% na Gaspetro para Compass.  Tribunal do Conselho Administrativo de Defesa Econômica (Cade) aprovou a  venda da...
Petrobras conclui a venda da sua participação na Gaspetro|Negócios|12/07/2022|Petrobras conclui a venda da sua participação na Gaspetro. Gaspetro é uma  sociedade holding com participações em 18 empresas de distribuição de gás  natural...
