title|media|date|datetime|desc|link|img
O adeus da Petrobras ao Amazonas|VEJA|01/07/2020||A Petrobras está se desfazendo dos negócios no Amazonas, apesar de ser uma das regiões com maior potencial de produção de gás do país.|https://veja.abril.com.br/coluna/matheus-leitao/o-adeus-da-petrobras-ao-amazonas/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras vê adesão de mais de 20% dos funcionários a planos de demissão|UOL Economia|01/07/2020||Cerca de 10 mil funcionários aderiram ao mais recente programa de desligamento voluntário da Petrobras, disse o presidente da companhia Roberto Castello...|https://economia.uol.com.br/noticias/reuters/2020/07/01/petrobras-ve-adesao-de-mais-de-20-dos-funcionarios-a-planos-de-demissao.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras e Vale são excluídas da carteira Brazil Buy List do Itaú BBA para julho|Money Times|01/07/2020||As ações das blue chips Petrobras (PETR4) e Vale (VALE3) foram retiradas da carteira Brazil Buy List do Itaú BBA para julho, mostra um relatório enviado a...|https://www.moneytimes.com.br/petrobras-e-vale-sao-excluidas-da-carteira-brazil-buy-list-do-itau-bba-para-julho/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Para Lula, proximidade entre FBI e Lava Jato tinha Petrobras como objetivo|UOL Notícias|01/07/2020||"""O objetivo era a Petrobras. Era o Pré-Sal. E as empresas brasileiras que estavam ganhando licitações das empresas dos EUA no Oriente Médio. Um dia essa..."|https://noticias.uol.com.br/politica/ultimas-noticias/2020/07/01/para-lula-proximidade-entre-fbi-e-lava-jato-tinha-petrobras-como-objetivo.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petróleo ensaia recuperação em junho, mas futuro ainda é incerto|Valor Econômico|01/07/2020||Petroleiras como Petrobras, BP e Shell estão revendo valores de seus ativos. Por André Ramalho e Ana Paula Machado — Do Rio e de São Paulo. 01/07/...|https://valor.globo.com/empresas/noticia/2020/07/01/petroleo-ensaia-recuperacao-em-junho-mas-futuro-ainda-e-incerto.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
MAS/SP inaugura maior exposição digital de arte sacra do ...|TudoCelular.com|01/07/2020||Petrobras inicia a montagem do supercomputador Pégaso em Várzea Grande, no Rio de Janeiro 1. Economia e mercado 6 horas atrás A previsão é de que o...|https://www.tudocelular.com/curiosidade/noticias/n159046/museu-arte-sacra-sao-paulo-exposicao-50-anos-google-arts-culture.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Xbox Series S: console de entrada deve ser lançado com ...|TudoCelular.com|01/07/2020||Petrobras inicia a montagem do supercomputador Pégaso em Várzea Grande, no Rio de Janeiro 1. Economia e mercado 6 horas atrás A previsão é de que o...|https://www.tudocelular.com/rumores/noticias/n159056/xbox-series-s-rumores-design-semelhante-xbox-one-x.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Com sucesso na pré-venda, Volks libera novo lote do Nivus|Diário do Poder|01/07/2020||Moro acha 'risível' PT culpar juiz e não o ladrão por prejuízo na Petrobras ... Moro acha 'risível' PT culpar juiz e não o ladrão por prejuízo na Petrobras.|https://diariodopoder.com.br/diario-motor/com-sucesso-na-pre-venda-volks-libera-novo-lote-do-nivus|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Philips apresenta linha completa de áudio com fones de ...|TudoCelular.com|01/07/2020||Petrobras inicia a montagem do supercomputador Pégaso em Várzea Grande, no Rio de Janeiro 1. Economia e mercado 6 horas atrás A previsão é de que o...|https://www.tudocelular.com/philips/noticias/n159064/philips-apresenta-linha-audio-completa-brasil.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
MODEC perto de contratar flotel da GranEnergia para campanha de manutenção em 4 de suas plataformas|Click Petróleo e Gás|01/07/2020||SBM Offshore garante financiamento para construção de FPSO que irá operar para a Petrobras no campo de Mero. O empréstimo foi garantido pelo grupo de propósito...|https://clickpetroleoegas.com.br/modec-perto-de-contratar-flotel-da-granenergia-para-campanha-de-manutencao-em-4-de-suas-plataformas/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras almeja redução de seu quadro de funcionários, de 46.600 para 30.000|Click Petróleo e Gás|02/07/2020||Esse é o objetivo do presidente da Petrobrás, Roberto Castello Branco, que afirmou nesta quarta-feira (01), que a empresa deve reduzir o número de funcionários...|https://clickpetroleoegas.com.br/petrobras-almeja-reducao-de-seu-quadro-de-funcionarios-de-46-600-para-30-000/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Pandemia derruba produção de petróleo em maio|Agência Brasil|02/07/2020||“Os campos operados pela Petrobras foram responsáveis por 94,9% do petróleo e do gás natural produzidos no Brasil. Porém, os campos com participação...|https://agenciabrasil.ebc.com.br/economia/noticia/2020-07/pandemia-derruba-producao-de-petroleo-em-maio|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
FBI atuou na Lava Jato quando os focos da operação eram Petrobras e Odebrecht|Carta Capital|02/07/2020||Em 2018, a Petrobras aceitou pagar a maior multa cobrada de uma empresa pelo Departamento de Justiça americano: US$ 1,78 bilhão.|https://www.cartacapital.com.br/justica/fbi-atuou-na-lava-jato-quando-os-focos-da-operacao-eram-petrobras-e-odebrecht/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Elfe ganha mais três contratos com a Petrobras na UO-RIO, UO-BA e limpeza industrial|Click Petróleo e Gás|02/07/2020||E é com imenso prazer que anunciamos a conquista de três novos contratos junto a Petrobrás no mês de Junho de 2020; UO-Rio lote A, Limpeza Industrial e UOBA.|https://clickpetroleoegas.com.br/elfe-ganha-mais-tres-contratos-com-a-petrobras-na-uo-rio-uo-ba-e-limpeza-industrial/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
EA Games não perdoa e cobrará US$ 40 de quem quiser ...|TudoCelular.com|02/07/2020||Petrobras inicia a montagem do supercomputador Pégaso em Várzea Grande, no Rio de Janeiro 1. Economia e mercado 6 horas atrás A previsão é de que o...|https://www.tudocelular.com/novos-produtos/noticias/n159127/nba-2k21-cobra-caro-por-upgrade-playstation-5-e-xbox-series-x.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
