title|media|date|datetime|desc|link|img
Eneva vence 3R Petroleum na disputa pelo Polo Urucu da ...|EPBR|01/02/2021||A Petrobras já comunicou a Eneva sobre o resultado, com o convite para início das negociações diretas para o contrato de venda dos campos.|https://epbr.com.br/eneva-vence-3r-petroleum-na-disputa-pelo-polo-urucu-da-petrobras/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras anuncia venda de Polo Peroá à 3R Petroleum e DBO Energia por US$ 55 mi|Valor Econômico|01/02/2021||A Petrobras informou que assinou o contrato de venda da totalidade de suas participações nos campos de produção de Peroá e Cangoá, e na concessão de...|https://valor.globo.com/empresas/noticia/2021/02/01/petrobras-anuncia-venda-de-polo-peroa-a-3r-petroleum-e-dbo-energia-por-us-55-mi.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Ex-promotor do ES decide deixar cargo de diretor da Petrobras|A Gazeta|01/02/2021||Ex-promotor do ES decide deixar cargo de diretor da Petrobras. Marcelo Zenkner, que atualmente é diretor de Governança e Conformidade da estatal, decidiu não...|https://www.agazeta.com.br/es/economia/ex-promotor-do-es-decide-deixar-cargo-de-diretor-da-petrobras-0221|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Na Petrobras, diferença entre o maior e o menor salário chega a 6.932%|Blog do Correio Braziliense|01/02/2021||A pasta chefiada por Paulo Guedes, que, passados dois anos do governo de Jair Bolsonaro, ainda não conseguiu privatizar nenhuma estatal, aponta que a Petrobras...|https://blogs.correiobraziliense.com.br/vicente/na-petrobras-diferenca-entre-o-maior-e-o-menor-salario-chega-a-6-932/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras informa morte de colaborador em acidente ocorrido ontem (31/01), no FPSO Cidade de Mangaratiba|Click Petróleo e Gás|01/02/2021||Trabalhador morre em acidente durante uma atividade de inspeção no FPSO da Petrobras, o Cidade Mangaratiba, atualmente afretado pela japonesa Modec.|https://clickpetroleoegas.com.br/petrobras-informa-morte-de-colaborador-em-acidente-ocorrido-ontem-31-01-no-fpso-cidade-de-mangaratiba/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Venda de botijão de gás pela metade do preço causa grande fila em Salvador|G1|01/02/2021||Venda é uma ação do Sindicato dos Petroleiros da Bahia (Sindipetro-BA), em protesto contra a politica de preços da Petrobras. Na ação, 200 botijões de gás foram...|https://g1.globo.com/ba/bahia/noticia/2021/02/01/venda-de-botijao-de-gas-pela-metade-do-preco-causa-grande-fila-em-salvador.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Greve dos Caminhoneiros: Veja como estão as estradas na manhã desta segunda (1º) pelo Brasil|Tv Jornal|01/02/2021||Relatório da Petrobrás. A reportagem do Sistema Jornal do Commercio de Comunicação teve acesso a um relatório produzido pelo núcleo de Inteligência e Segurança...|https://tvjornal.ne10.uol.com.br/noticias/2021/02/01/greve-dos-caminhoneiros-veja-como-estao-as-estradas-na-manha-desta-segunda-1-pelo-brasil-203133/index.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Mesmo dividida, classe de caminhoneiros cruzará os braços|Correio Braziliense|01/02/2021||A Petrobras não será mais vilã. Em função da política independente de preços da Petrobras, sem interferência do governo, seguindo preços de paridade...|https://www.correiobraziliense.com.br/politica/2021/02/4903834-mesmo-dividida-classe-de-caminhoneiros-cruzara-os-bracos.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Fundo de ações da Moat Capital é a grande aposta de 2021 ...|E-Investidor|01/02/2021||Fundo de ações da Moat Capital é a grande aposta de 2021. Que responsa,. A Petrobras é uma das principais ações na carteira do fundo Moat Capital FIA (Foto:...|https://einvestidor.estadao.com.br/colunas/marcio-kroehn/moat-capital-fundo-acao-2021-levante/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Em diálogo, Moro repreende Dallagnol após MPF recorrer de ...|Consultor Jurídico|01/02/2021||O caso envolvia o engenheiro Mário Góes, apontado como operador de propinas em um esquema de corrupção na Petrobras; Pedro Barusco, ex-gerente executivo da...|https://www.conjur.com.br/2021-fev-01/dialogo-moro-briga-dallagnol-mpf-recorrer-decisao|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras registra em 2020 melhor desempenho operacional desde 2015|Agência Brasil|02/02/2021||Petrobras teve seu melhor desempenho operacional em 2020, com recordes de produção anual, com 2,28 milhões de barris diários (MMbpb) de petróleo e LGN...|https://agenciabrasil.ebc.com.br/economia/noticia/2021-02/petrobras-registra-em-2020-melhor-desempenho-operacional-desde-2015|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras recebe propostas para construção da P-78 e da P-79|Portos e Navios|02/02/2021||A Petrobras recebeu nesta segunda-feira (01) as propostas comerciais das empresas pré-qualificadas para a licitação de construção das plataformas P-78 e...|https://www.portosenavios.com.br/noticias/ind-naval-e-offshore/petrobras-recebe-propostas-para-construcao-da-p-78-e-da-p-79|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras mira cerca de R$ 26 por ação para vender fatia na BR Distribuidora|Money Times|02/02/2021||A Petrobras (PETR3;PETR4) está considerando vender sua fatia remanescente na BR Distribuidora (BRDT3) se a ação da companhia atingir 26 reais, disseram três...|https://www.moneytimes.com.br/petrobras-mira-cerca-de-r-26-por-acao-para-vender-fatia-na-br-distribuidora/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
3R Petroleum faz sexta aquisição de campos maduros da Petrobras|Valor Econômico|02/02/2021||A 3R Petroleum, em sociedade com a DBO Energia, assinou um contrato com a Petrobras, no valor de US$ 55 milhões, para a aquisição dos campos de gás natural...|https://valor.globo.com/empresas/noticia/2021/02/02/3r-petroleum-faz-sexta-aquisicao-de-campos-maduros-da-petrobras.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Produção de petróleo no Brasil cresceu 5,5% em 2020|Agência Brasil|02/02/2021||Os campos operados pela Petrobras, com ou sem parceiros, responderam por 93,7% da produção brasileira de petróleo e gás natural naquele mês.|https://agenciabrasil.ebc.com.br/economia/noticia/2021-02/producao-de-petroleo-no-brasil-cresceu-55-em-2020|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Advogados externos da Petrobras vazaram informação não oficial à Lava Jato|VEJA|02/02/2021||Advogados externos da Petrobras vazaram informação não oficial à Lava Jato. Descobertas feitas pelo escritório Trench Rossi Watanabe eram passadas para...|https://veja.abril.com.br/coluna/radar-economico/advogados-externos-da-petrobras-vazaram-informacao-nao-oficial-a-lava-jato/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras tem 52 benefícios diferentes para o funcionário|Correio Braziliense|02/02/2021||A assistência alimentar da Petrobras também está entre as maiores da lista: são R$ 1.254,48 mensais e os empregados têm direito a mais R$ 192 de vale-refeição.|https://www.correiobraziliense.com.br/economia/2021/02/4904097-petrobras-tem-52-beneficios-diferentes-para-o-funcionario.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
