title|media|date|datetime|desc|link|img
Valor de venda de refinaria da Petrobras é questionado em ...|Câmara dos Deputados|01/06/2021||Refinaria foi vendida por US$ 1,6 bilhões; Petrobras chegou a avaliar a refinaria baiana em US$ 3 bilhões; TCU lembra que a venda só será concluída em...|https://www.camara.leg.br/noticias/767001-valor-de-venda-de-refinaria-da-petrobras-e-questionado-em-debate-tcu-ainda-avalia-preco/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras vende sua participação na Eólica Mangue Seco 2 por 34,2 milhões de reais no Rio Grande do Norte|Click Petróleo e Gás|01/06/2021||Por R$ 34,2 milhões, a Petrobras vendeu sua participação de 51% da Sociedade Eólica Mangue Seco 2, localizada no estado do Rio Grande do Norte (RN).|https://clickpetroleoegas.com.br/petrobras-vende-sua-participacao-na-eolica-mangue-seco-2-por-342-milhoes-de-reais-no-rio-grande-do-norte/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Terreno da Planta de Amônia em Uberaba está à venda por mais de R$ 8 milhões|G1|01/06/2021||Fábrica de amônia foi um projeto da Petrobras para alavancar a produção de fertilizantes em uma das principais regiões agrícolas do país, mas foi suspensa...|https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/06/01/terreno-da-planta-de-amonia-em-uberaba-esta-a-venda-por-mais-de-r-8-milhoes.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Vale desativa píer que foi arrendado pela Petrobras, no Porto de Tubarão, no Espírito Santo. Cerca de 300 funcionários serão demitidos|CPG Click Petroleo e Gas|01/06/2021||O contrato entre a Vale e a Petrobras terminou ontem (31/05). A estatal realizava o serviço de fornecimento de bunker no Porto de Tubarão, em Vitória.|https://clickpetroleoegas.com.br/vale-desativa-pier-que-foi-arrendado-pela-petrobras-no-porto-de-tubarao-no-espirito-santo-cerca-de-300-funcionarios-serao-demitidos/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Produção de petróleo em abril cresceu 4,6% em relação a ...|Poder360|01/06/2021||Plataforma P-56, da Petrobras, durante batismo em Angra dos Reis-RJ. Produção de petróleo em abril de 2021 aumentou 4,6% em relação a março Poder360...|https://www.poder360.com.br/brasil/producao-de-petroleo-em-abril-cresceu-46-em-relacao-a-marco-diz-anp/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Demissão na Petrobras: 3 meses depois, empresa não ...|Poder360|01/06/2021||Mais de 3 meses depois de o presidente Jair Bolsonaro anunciar a demissão do ex-presidente da Petrobras Roberto Castello Branco, a companhia ainda não...|https://www.poder360.com.br/economia/demissao-na-petrobras-3-meses-depois-empresa-nao-recuperou-valor-de-mercado/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Investimento total no campo de Bacalhau é estimado em US ...|EPBR|01/06/2021||A Equinor comprou o ativo da Petrobras em 2012. Localizado no polígono do pré-sal, a maior parte do projeto – descobertas de Carcará e Guanxuma – estão no...|https://epbr.com.br/investimento-total-no-campo-de-bacalhau-e-estimado-em-us-8-bilhoes/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Gasmig busca amenizar impactos do aumento do gás natural|Estado de Minas|01/06/2021||A Petrobras reiterou, ainda, que o preço final do gás natural ao consumidor não é determinado somente pelo preço de venda, mas pelas margens das distribuidoras...|https://www.em.com.br/app/noticia/economia/2021/06/01/internas_economia,1272562/gasmig-busca-amenizar-impactos-do-aumento-do-gas-natural.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Em novo aumento, gasolina chega a ser vendida a R$ 6,29 ...|Cidade Verde|01/06/2021||Desde o dia 1º de maio, o valor do litro da gasolina não sofre reajuste da Petrobras nas refinarias, mas essa não é a realidade nos postos de combustíveis...|https://cidadeverde.com/noticias/347871/em-novo-aumento-gasolina-chega-a-ser-vendida-a-r-629-em-teresina|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Ibovespa sobe 1,5% e passa de 128 mil pontos após PIB surpreender positivamente o mercado|Valor Investe|01/06/2021||... ferro ajudam a impulsionar ações de gigantes da bolsa, como Vale e Petrobras ... Destaques de empresas: Vivara, Eletrobras, Gol, Totvs, Vale, Petrobras,...|https://valorinveste.globo.com/cotacoes/bolsa-ao-vivo/ao-vivo/bolsa-ao-vivo-1-de-junho-de-2021.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
