title|media|date|datetime|desc|link|img
Como o Brasil quer se tornar o quarto maior produtor de petróleo até 2030?|Money Times|01/08/2021||Segundo ele, a Petrobras se comprometeu a vender oito ativos de refinarias. “O governo federal queria trabalhar numa abertura do mercado, que o mercado tivesse...|https://www.moneytimes.com.br/como-o-brasil-quer-se-tornar-o-quarto-maior-produtor-de-petroleo-em-9-anos/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Para Macaé, o futuro está nas usinas térmicas|Estado de Minas|01/08/2021||Isso porque a Petrobras chegou a investir sozinha o que o conjunto de petrolíferas deve investir em uma década. Em 2013, por exemplo, foram US$ 9 bilhões.|https://www.em.com.br/app/noticia/economia/2021/08/01/internas_economia,1291810/para-macae-o-futuro-esta-nas-usinas-termicas.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Em crise hídrica, Brasil desperdiça energia de uma Itaipu por dia|Exame|01/08/2021||De acordo com Jorge Celestino Ramos, ex-diretor de Refino e Gás Natural da Petrobras, é importante promover o aumento na demanda firme de gás natural.|https://exame.com/bussola/em-crise-hidrica-brasil-desperdica-energia-de-uma-itaipu-por-dia/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Gasolina deve subir novamente devido a incidência de ICMS|Correio Braziliense|01/08/2021||O futuro já começou. O que é a Web 3.0 e como ela vai impactar as nossas Vidas! Petrobras perde R$ 27,3 bi em valor de mercado em apenas um dia...|https://www.correiobraziliense.com.br/economia/2021/08/4941064-gasolina-deve-subir-novamente-devido-a-incidencia-de-icms.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
"Usina de Quixadá: o que será vendido | jocelio-leal | OPOVO+"|O POVO Mais|01/08/2021||O time de funcionários da Petrobras Biocombustíveis foi transferido para as outras usinas ainda em operação, em Candeias (BA) e Montes Claros (MG).|https://mais.opovo.com.br/colunistas/jocelio-leal/2021/08/01/usina-de-quixada-o-que-sera-vendido.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
FlixBus estreia no Brasil para concorrer com a Buser, no modelo 'Uber de ônibus'|Suno|01/08/2021||Petrobras (PETR4) vai contratar soluções de startups; ... Petrobras (PETR4) paga R$ 6,6 por ação e lidera ranking de dividendos em 2022; veja lista...|https://www.suno.com.br/noticias/uber-onibus-flixbus-buser-estreia-brasil/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Gás natural atrai interesse de três gigantes para criar usina térmica no RJ|UOL Economia|01/08/2021||A Petrobras, por exemplo, alinha o preço de seu gás ao do produto importação. Na prática, seus clientes compram o produto brasileiro a preço do importado.|https://economia.uol.com.br/noticias/estadao-conteudo/2021/08/01/gas-natural-atrai-interesse-de-gigantes.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
BdF Explica: Por que os preços não param de subir?|Brasil de Fato|01/08/2021||Existe capacidade no Brasil para produzir o necessário a toda a demanda interna. No entanto, o desmonte da Petrobrás torna essa realidade cada vez mais distante...|https://www.brasildefato.com.br/2021/08/01/bdf-explica-por-que-os-precos-nao-param-de-subir|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Empresa pode exigir atestado de vacinação contra Covid-19? Tire dúvidas sobre o que vale no trabalho|O Globo|01/08/2021||STF anula correção de salários de empregados da Petrobras que custaria R$ 46 bi à estatal · Decisão vale apenas para trabalhadores de plataformas e...|https://oglobo.globo.com/economia/empresa-pode-exigir-atestado-de-vacinacao-contra-covid-19-tire-duvidas-sobre-que-vale-no-trabalho-25135624|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
SEC da Bahia oferece 6.510 mil vagas em cursos gratuitos nas áreas de Enfermagem, Mecânica, Eletrotécnica e muito mais|Click Petróleo e Gás|01/08/2021||... Petrobras vende sua participação na Eólica Mangue Seco 2 por 34,2 milhões de ... Para manter acordo confidencial com os EUA, a Petrobras solicita ao STF...|https://clickpetroleoegas.com.br/sec-da-bahia-oferece-6-510-mil-vagas-em-cursos-gratuitos-nas-areas-de-enfermagem-mecanica-eletrotecnica-e-muito-mais/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
