title|media|date|datetime|desc|link|img
Petrobras conclui venda de fatia no campo de Lapa para TotalEnergies|Forbes Brasil|01/09/2021||A Petrobras informou hoje (1°) que finalizou a cessão de sua participação de 10% no campo de Lapa para a TotalEnergies. A operação foi concluída com o...|https://forbes.com.br/forbes-money/2021/09/petrobras-conclui-venda-de-fatia-no-campo-de-lapa-para-totalenergies/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Presidente da Petrobras coloca militares na cúpula da estatal|UOL Economia|01/09/2021||Segundo apurou o Estadão, Silva e Luna já contratou pelo menos seis militares para atuar em postos de apoio à presidência da Petrobras e da Transpetro,...|https://economia.uol.com.br/noticias/estadao-conteudo/2021/09/01/silva-e-luna-militariza-cupula-da-petrobras.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Mubadala cria empresa para operar refinaria comprada da Petrobras na Bahia|Valor Econômico|01/09/2021||Mubadala cria empresa para operar refinaria comprada da Petrobras na Bahia. A Acelen vai fazer a gestão e a operação da refinaria de petróleo Landulpho Alves (...|https://valor.globo.com/empresas/noticia/2021/09/01/mubadala-cria-empresa-para-operar-refinaria-comprada-da-petrobras-na-bahia.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Observatório Social da Petrobras e FNP vão vender gás de cozinha a R$ 60 em SP, PA e RJ|CPG Click Petroleo e Gas|01/09/2021||O Observatório Social da Petrobras (OSP) e a Federação Nacional dos Petroleiros (FNP) venderão os botijões de gás de cozinha a R$ 60, na quinta-feira (2),...|https://clickpetroleoegas.com.br/observatorio-social-da-petrobras-e-fnp-vao-vender-gas-de-cozinha-a-r-60-em-sp-pa-e-rj/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Distribuidoras elevam preço do botijão de gás em 7% para o consumidor|Exame|01/09/2021||Rumores no setor indicam que a Petrobras também deverá reajustar o preço do combustível, que já acumula 38% de alta no ano. A política vai seguir dando o tom na...|https://exame.com/economia/distribuidoras-elevam-preco-do-botijao-de-gas-em-7-para-o-consumidor/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Economistas dizem que causa da alta da gasolina não é a política de preços da Petrobras|G1|01/09/2021||Em fevereiro, o presidente Bolsonaro anunciou a demissão de Roberto Castello Branco do comando da Petrobras. O presidente se mostrava irritado com Castello...|https://g1.globo.com/jornal-nacional/noticia/2021/09/01/economistas-dizem-que-causa-da-alta-da-gasolina-nao-e-a-politica-de-precos-da-petrobras.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
TIM e Petrobras projetam uso de constelação LEO após testes com Telesat|Teletime|01/09/2021||A TIM e a Petrobras estão planejando o uso de conectividade fornecida por satélites de baixa órbita (LEO) após testes bem sucedidos ao lado da operadora...|https://teletime.com.br/01/09/2021/tim-e-petrobras-projetam-uso-de-constelacao-leo-apos-testes-com-telesat/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
OceanPact firma contratos de serviços de embarcações com Petrobras|Valor Econômico|01/09/2021||A OceanPact comunicou ao mercado que formalizou quatro contratos de prestação de serviços com a Petrobras, sendo dois para afretamento de embarcações do...|https://valor.globo.com/empresas/noticia/2021/09/01/oceanpact-firma-contratos-de-servios-de-embarcaes-com-petrobras.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Combustíveis: fracasso em venda de refinaria acende sinal amarelo na Petrobras|Money Times|01/09/2021||A Petrobras (PETR4) fracassou na última semana ao tentar vender a refinaria Abreu e Lima, comentaram o Itaú BBA, Ágora Investimentos e BTG Pactual em...|https://www.moneytimes.com.br/combustiveis-fracasso-em-venda-de-refinaria-acende-sinal-amarelo-na-petrobras/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Vibra quer migrar funcionários para novo plano de aposentadoria em 2022|Valor Econômico|01/09/2021||Posto de Gasolina Posto BR — Foto: Divulgação/Petrobras 1 de 1 Posto de Gasolina Posto BR — Foto: Divulgação/Petrobras. Posto de Gasolina Posto BR — Foto:...|https://valor.globo.com/empresas/noticia/2021/09/01/vibra-quer-migrar-funcionarios-para-novo-plano-de-aposentadoria-em-2022.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
