title|media|date|datetime|desc|link|img
Petrobras busca parcerias para ampliar projeto social de oferta de gás de cozinha a famílias de baixa renda|G1|01/10/2021||A Petrobras está em busca de empresas que se disponham a colaborar com a ampliação do programa social de apoio a famílias de baixa renda para compra de gás...|https://g1.globo.com/rj/rio-de-janeiro/noticia/2021/10/01/petrobras-diz-buscar-parceiros-para-ampliar-projeto-social-de-oferta-de-gas-de-cozinha-a-familias-de-baixa-renda.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Bolsonaro quer usar dividendos da Petrobras (PETR4) para conter combustíveis|Suno|01/10/2021||A sugestão do presidente é criar um fundo regulador com os dividendos da Petrobras que são destinados à União. “Toda vez que der um aumento, você não repassar...|https://www.suno.com.br/noticias/petrobras-petr4-bolsonaro-fundo-para-combustiveis/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras e Ultrapar encerram negociações sobre venda da Refinaria Alberto Pasqualini|Valor Investe|01/10/2021||A Petrobras e a Ultrapar anunciaram nesta sexta-feira que encerraram, sem sucesso, as negociações sobre a venda da Refinaria Alberto Pasqualini (Refap),...|https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2021/10/01/petrobras-e-ultrapar-encerram-negociaes-sobre-venda-da-refinaria-alberto-pasqualini.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
“Transformacional”: por que a possível compra de campos da Petrobras impulsiona (ainda mais) as ações da PetroRio|InfoMoney|01/10/2021||No final do pregão da véspera, a Petrobras deu mais detalhes sobre o projeto de desinvestimento dos campos de Albacora e Albacora Leste, na Bacia de Campos,...|https://www.infomoney.com.br/mercados/prio3-por-que-a-possivel-compra-de-campos-da-petrobras-impulsiona-ainda-mais-as-acoes-da-petrorio/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras ‘vai falir’ se alterar sua política de preços (e de lucros), diz seu presidente|Diário do Poder|01/10/2021||O presidente da Petrobras, general Joaquim Silva e Luna, afirmou nesta sexta-feira que ... A Petrobras registrou lucro de R$42,8 bilhões somente no segundo...|https://diariodopoder.com.br/brasil-e-regioes/petrobras-vai-falir-se-alterar-sua-politica-de-precos-e-de-lucros-diz-seu-presidente|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras mantém intenção de venda em fatia na Braskem|InfoMoney|01/10/2021||SÃO PAULO – A Petrobras (PETR4) informou em comunicado ao mercado, nesta sexta-feira (1), que mantém seu posicionamento de buscar a venda integral de sua...|https://www.infomoney.com.br/mercados/petrobras-mantem-intencao-de-venda-em-fatia-na-braskem/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Justiça nega pedido do DF e 12 estados para suspender propaganda da Petrobras sobre preço da gasolina|G1|01/10/2021||"Em um vídeo publicado na internet, a empresa diz: ""Você sabia que hoje a Petrobras recebe em média R$ 2 a cada litro de gasolina que você utiliza?""."|https://g1.globo.com/df/distrito-federal/noticia/2021/10/01/justica-nega-pedido-do-df-e-12-estados-para-suspender-propaganda-da-petrobras-sobre-preco-da-gasolina.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Em 80% dos países, alta do petróleo é repassada para gasolina, como ocorre no Brasil|O Globo|01/10/2021||No Brasil, a Petrobras detém, na prática, um monopólio. A Malásia acabou com subsídios à gasolina e ao diesel em 2014. Os reajustes são feitos mensalmente,...|https://oglobo.globo.com/economia/macroeconomia/em-80-dos-paises-alta-do-petroleo-repassada-para-gasolina-como-ocorre-no-brasil-25220249|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras, 68, resiste e voltará a seu destino|Monitor Mercantil|01/10/2021||Petrobras, 68, resiste e voltará a seu destino. Somente cultivadores de fake news ou defensores de interesses externos podem duvidar do sucesso da estatal.|https://monitormercantil.com.br/petrobras-68-resiste-e-voltara-a-seu-destino/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Preço do diesel sobe 2% na semana com repasse de reajuste na refinaria|Folha|01/10/2021||Na quarta, Petrobras aumentou em 8,9% o valor de venda do combustível.|https://www1.folha.uol.com.br/mercado/2021/10/preco-do-diesel-sobe-2-na-semana-com-repasse-de-reajuste-na-refinaria.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Risco de Petrobras segurar preço de combustível é zero, diz CEO|Exame|02/10/2021||"O risco é ""zero"" de a Petrobras atuar para segurar os preços dos combustíveis no país em meio a um período de valores elevados que pressionam a inflação e o..."|https://exame.com/economia/risco-de-petrobras-segurar-preco-de-combustivel-e-zero-diz-ceo/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras não vai controlar preço dos combustíveis, diz Silva ...|Poder360|02/10/2021||Nenhum conselheiro vai aprovar isso”, disse Luna. Este ano, a Petrobras reajustou tanto o preço da gasolina quanto do diesel, nas refinarias, em cerca de 50%. A...|https://www.poder360.com.br/brasil/petrobras-nao-vai-controlar-preco-dos-combustiveis-diz-silva-e-luna/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras não vai segurar preço de combustível, risco é 'zero ...|ISTOÉ DINHEIRO|02/10/2021||Petrobras não vai segurar preço de combustível, risco é 'zero', diz CEO. Crédito: REUTERS/Adriano Machado. O presidente da Petrobras em audiência em Brasília (...|https://www.istoedinheiro.com.br/petrobras-nao-vai-segurar/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
A Petrobras multinacional (por André Gustavo Stumpf)|Metrópoles|02/10/2021||A Petrobras multinacional (por André Gustavo Stumpf). O país vende petróleo bruto e importa gasolina, diesel e outros produtos. Tudo em dólar. Mas, quanto mais...|https://www.metropoles.com/blog-do-noblat/artigos/a-petrobras-multinacional-por-andre-gustavo-stumpf|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Alta do preço do óleo diesel da Petrobras já chegou às bombas|UOL Economia|02/10/2021||O Estadão/Broadcast acompanhou dez postos no Rio de Janeiro e em São Paulo, da última terça-feira, 28, quando a Petrobras anunciou o reajuste, até esta sexta-...|https://economia.uol.com.br/noticias/estadao-conteudo/2021/10/02/competicao-entre-os-postos-ajuda-a-segurar-alta-do-diesel.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Soluções para baixar o preço da gasolina, escreve William ...|Poder360|02/10/2021||Produtor de gasolina – é a Petrobras, produtor exclusivo da gasolina no território nacional, que tem seus custos e margem de lucro e sofre impacto das...|https://www.poder360.com.br/opiniao/solucoes-para-baixar-o-preco-da-gasolina-escreve-william-douglas/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Gestão da economia é outra face genocida do governo Bolsonaro|Carta Capital|02/10/2021||Bolsonaro acabou com essa gestão que a Petrobras fazia, repassando ao consumidor final toda e qualquer variação internacional do petróleo ou do dólar. Na...|https://www.cartacapital.com.br/opiniao/frente-ampla/gestao-da-economia-e-outra-face-genocida-do-governo-bolsonaro/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Universidades lideram ranking de pedidos de patentes de invenção no INPI|Valor Econômico|02/10/2021||Só uma empresa, a Petrobras, figura na lista das dez maiores depositantes. Brasília. 02/10/2021 12h00 Atualizado há 9 meses...|https://valor.globo.com/legislacao/valor-juridico/coluna/universidades-lideram-ranking-de-pedidos-de-patentes-de-invencao-no-inpi.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Lula livre? Como ficaram as 20 ações e investigações contra o petista|Gazeta do Povo|02/10/2021||A empreiteiras Odebrecht e OAS teriam custeado as reformas do local, em troca de favorecimentos em contratos com a Petrobras. Resultado: Lula havia sido...|https://www.gazetadopovo.com.br/republica/lula-livre-como-ficaram-as-20-acoes-e-investigacoes-contra-o-ex-presidente/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Alagoas é 1º estado do Nordeste a receber a oficina Previne Brasil|Diário do Poder|02/10/2021||Lucro abusivo da Petrobras é de meio bilhão por dia · Diário do Poder. Novo ministro define privatização da Petrobras como prioridade · Diário do Poder...|https://diariodopoder.com.br/brasil-e-regioes/alagoas-e-1o-estado-do-nordeste-a-receber-a-oficina-previne-brasil|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Governo prevê fundo para combustíveis com ativos da Petrobras e sem dividendos|CNN Brasil|03/10/2021||O governo desistiu de incluir dividendos da Petrobras na proposta que cria um fundo de compensação à alta de combustíveis. A ideia é que o fundo seja...|https://www.cnnbrasil.com.br/business/governo-preve-fundo-para-combustiveis-com-ativos-da-petrobras-e-sem-dividendos/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Como a pressão política pode prejudicar a recuperação da Petrobras|VEJA|03/10/2021||Assim que soube que a Petrobras iria fazer um novo reajuste ao preço do diesel nas refinarias, o presidente Jair Bolsonaro correu para o seu 'cercadinho' de...|https://veja.abril.com.br/economia/como-a-pressao-politica-pode-prejudicar-a-recuperacao-da-petrobras/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Presidente da Petrobras alerta para falta de combustível se não houver reajuste|iG Economia|03/10/2021||O presidente da Petrobras, Joaquim Silva e Luna afirmou que segurar os reajustes dos preços dos combustíveis pode provocar desabastecimento do produto nos...|https://economia.ig.com.br/2021-10-03/presidente-da-petrobras-alerta-para-falta-de-combustivel-se-nao-houver-reajuste.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras completa 68 anos sob o mais perigoso desmonte de sua história|Carta Capital|03/10/2021||A Petrobras completa 68 anos em 3 de outubro. Certamente, muitos acionistas da empresa, sobretudo os privados e os estrangeiros, terão motivos para...|https://www.cartacapital.com.br/opiniao/petrobras-completa-68-anos-sob-o-mais-perigoso-desmonte-de-sua-historia/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Escritório do Panamá opera offshores para mais de 160 ...|Poder360|03/10/2021||Na lista, estão nomes brasileiros envolvidos em escândalos de corrupção, como a Odebrecht, o ex-diretor da Petrobras Paulo Roberto Costa e o ex-presidente...|https://www.poder360.com.br/economia/escritorio-do-panama-opera-offshores-para-mais-de-160-politicos-na-al/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Custo Brasil: Se o ICMS fosse zerado, saiba quanto custaria a ...|Porto Ferreira Hoje|03/10/2021||No preço que o consumidor paga, já estão inclusos o serviço da Petrobras, o custo do etanol (definido livremente por seus produtores), as margens das...|https://www.portoferreirahoje.com.br/noticia/2021/10/03/custo-brasil-se-o-icms-fosse-zerado-saiba-quanto-custaria-a-gasolina-e-o-diesel/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Corrida dos eVTOLs: conheça os principais projetos de ‘carros voadores’|CNN Brasil|03/10/2021||Petrobras tem preços 8% mais caros que internacionais · Rosa Weber autoriza oitiva de ex-presidentes da Petrobras e do Banco do Brasil...|https://www.cnnbrasil.com.br/business/corrida-dos-evtols-conheca-os-principais-projetos-de-carros-voadores/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Guedes e Campos Neto dizem que offshores foram declaradas|Poder360|03/10/2021||Aras arquiva pedido para investigar Guedes por offshore · MP pede que TCU apure contrato da Etesco com a Petrobras · Contrato renovado com Etesco seguiu...|https://www.poder360.com.br/governo/guedes-e-campos-neto-dizem-que-offshores-foram-declaradas/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
