title|media|date|datetime|desc|link|img
Árabes assumem nesta quarta primeira refinaria da Petrobras posta à venda|Exame|01/12/2021||A Petrobras concluiu a venda da Refinaria Landulpho Alves (Rlam) e seus ativos logísticos associados, na Bahia, para o grupo Mubadala Capital,...|https://exame.com/negocios/arabes-assumem-nesta-quarta-primeira-refinaria-da-petrobras-posta-a-venda/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras (PETR3; PETR4) conclui venda da Refinaria Landulpho Alves, na Bahia|InfoMoney|01/12/2021||A Petrobras (PETR3; PETR4) finalizou na terça-feira (30) a venda da Refinaria Landulpho Alves (RLAM), em São Francisco do Conde, na Bahia e seus ativos...|https://www.infomoney.com.br/mercados/petrobras-petr3-petr4-conclui-venda-da-refinaria-landulpho-alves-na-bahia/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras: venda da Repar e da Refap deve ficar para depois ...|EPBR|01/12/2021||O diretor-executivo Financeiro e de Relacionamento com Investidores da Petrobras, Rodrigo Araujo, disse nessa terça (30/11) que a venda das refinarias...|https://epbr.com.br/petrobras-venda-da-repar-e-da-refap-deve-ficar-para-depois-das-eleicoes-de-2022/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras e frigoríficos são retirados do índice de sustentabilidade|VEJA|01/12/2021||A Petrobras, que havia entrado no ranking em 2021, foi retirada da lista pela B3. Além da Petrobras, outras empresas deixarão a carteira do ISE em 2022,...|https://veja.abril.com.br/coluna/radar-economico/petrobras-e-frigorificos-sao-retirados-do-indice-de-sustentabilidade/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras: Lula quer repetir política desastrosa de Dilma|VEJA|01/12/2021||A presidente Dilma Rousseff fez exatamente o que Lula agora anuncia como política de seu eventual governo. Ela obrigou a Petrobras a vender gasolina, diesel e...|https://veja.abril.com.br/coluna/mailson-da-nobrega/petrobras-lula-quer-repetir-politica-desastrosa-de-dilma/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras (PETR4) espera vender campos de petróleo apesar de eleições|InfoMoney|01/12/2021||A Petrobras (PETR3;PETR4) planeja continuar vendendo campos de petróleo menos rentáveis em 2022 e manter políticas de mercado, mesmo com o provável debate...|https://www.infomoney.com.br/mercados/petrobras-petr4-espera-vender-campos-de-petroleo-apesar-de-eleicoes/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Dossiê contra paridade internacional da Petrobras é entregue ao Congresso|CNN Brasil|01/12/2021||Diante de diversos reajustes no valor dos combustíveis, o Observatório Social da Petrobrás (OSP) entrega ao Congresso Nacional, nesta quarta-feira (1),...|https://www.cnnbrasil.com.br/business/dossie-contra-paridade-internacional-da-petrobras-e-entregue-ao-congresso/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Vale a pena comprar Petrobras para contar com os ...|Investing.com|01/12/2021||Investing.com - Hoje, 01, é o último dia para quem quer montar uma posição em Petrobras (SA:PETR4) para aproveitar a distribuição de R$ 42,4 bilhões que...|https://br.investing.com/news/stock-market-news/vale-a-pena-comprar-petrobras-para-contar-com-os-dividendos-deste-mes-948588|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Guedes diz que Eletrobras está ‘condenada à irrelevância' e Correios correm risco nos próximos anos|O Globo|01/12/2021||Guedes diz que Eletrobras está 'condenada à irrelevância' e Correios correm risco nos próximos anos. O ministro da Economia ainda disse que a Petrobras também...|https://oglobo.globo.com/economia/macroeconomia/guedes-diz-que-eletrobras-esta-condenada-irrelevancia-correios-correm-risco-nos-proximos-anos-1-25301579|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Efeito da variante Ômicron no petróleo pode atingir etanol, diz ...|ISTOÉ DINHEIRO|01/12/2021||... a Petrobras ajustar a gasolina dentro da sua política de preços”, afirmou. ... mudar de patamar, a Petrobras reajusta a gasolina, e aí afeta o etanol.”.|https://www.istoedinheiro.com.br/efeito-da-variante-omicron-no-petroleo-pode-atingir-etanol-diz-bioagencia/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
