title|media|date|datetime|desc|link|img
Em post, Bolsonaro culpa desvios na Petrobras por preço do combustível|Metrópoles|01/01/2022||O presidente Jair Bolsonaro (PL) dedicou o primeiro post de 2022 a fazer comentários sobre a Petrobras. Em publicação feita no início da manhã deste sábado...|https://www.metropoles.com/brasil/politica-brasil/em-post-bolsonaro-culpa-desvios-na-petrobras-por-preco-do-combustivel|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
A partir deste dia 1º, nenhum salário será menor que R$1.212 mensais|Diário do Poder|01/01/2022||Petrobras transforma redução do ICMS em lucro · Diário do Poder. Petrobras lucrou em 3 meses o equivalente à soma de seis gigantes da bolsa.|https://diariodopoder.com.br/brasil-e-regioes/a-partir-deste-dia-1o-nenhum-trabalhador-ganhara-menos-que-r1-212-mensais|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
A crise de energia nunca ocorreu, diz ministro, mas governo mantém incentivo para reduzir consumo|Folha|01/01/2022||Em 2021, apenas uma empresa [a Petrobras] atuava. Em 2022, teremos oito empresas, sendo quatro nacionais. O mercado está sendo aberto, mas isso não é da noite...|https://www1.folha.uol.com.br/mercado/2022/01/a-crise-de-energia-nunca-ocorreu-diz-ministro.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Polícia investiga morte de menino de 6 anos que foi arrastado por enxurrada da chuva e caiu em córrego na Zona Leste de SP|G1|01/01/2022||Segundo ela, a Petrobrás foi a responsável pela obra feita há seis meses no local.|https://g1.globo.com/sp/sao-paulo/noticia/2022/01/01/policia-investiga-morte-de-menino-de-6-anos-que-foi-arrastado-por-enxurrada-da-chuva-e-caiu-em-corrego-na-zona-leste-de-sp.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Parque do Itatiaia não ganhou melhorias dois anos após concessão|Folha|01/01/2022||... 17ª fase da operação Lava Jato, após ter sido citada em delação premiada como beneficiária de um esquema de direcionamento de licitações da Petrobras.|https://www1.folha.uol.com.br/cotidiano/2022/01/parque-do-itatiaia-nao-ganhou-melhorias-dois-anos-apos-concessao.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Governo entrega 27 campos de petróleo|Hora do Povo|02/01/2022||Venda reforça política de lucro máximo para acionistas estrangeiros. A direção da Petrobrás concluiu, ao apagar das luzes de 2021, a venda da totalidade de...|https://horadopovo.com.br/direcao-da-petrobras-entrega-27-campos-de-petroleo-no-apagar-das-luzes/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Venda de refinarias pela Petrobras é o maior passo para a ...|Portos e Navios|02/01/2022||A venda da Refinaria Landulpho Alves (RLAM), na Bahia, e da Refinaria Isaac Sabbá, no Amazonas, representa o maior passo que o País já deu para a criação de um...|https://www.portosenavios.com.br/noticias/geral/venda-de-refinarias-pela-petrobras-e-o-maior-passo-para-a-concorrencia-privada-no-setor-de-refino|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Por que a gasolina sobe tanto no Brasil?|Yahoo Finanças|02/01/2022||A Petrobras tem resistido às pressões políticas tanto do governo quanto da oposição para tornar o combustível artificialmente mais barato para os motoristas.|https://br.financas.yahoo.com/noticias/por-que-a-gasolina-sobe-tanto-no-brasil-080004575.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
132 concursos e seleções com salário de até R$ 33 mil pra começar bem 2022|A Gazeta|02/01/2022||Prova de concurso público. Crédito: Pixabay. Já as inscrições para o concurso público da Petrobras terminam nesta quarta-feira (5).|https://www.agazeta.com.br/concursos/132-concursos-e-selecoes-com-salario-de-ate-r-33-mil-pra-comecar-bem-2022-0122|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Procon-RJ investiga aumento abusivo no preço do gás natural veicular|Band|02/01/2022||Segundo o órgão, o Código de Defesa do Consumidor proíbe a mudança nos preços sem justa causa. O reajuste teria ocorrido após a Petrobras anunciar um aumento em...|https://www.band.uol.com.br/noticias/procon-rj-investiga-aumento-abusivo-no-preco-do-gas-natural-veicular-16468462|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
