title|media|date|datetime|desc|link|img
Inflação e eleições podem afetar política de preços da Petrobras, dizem especialistas|CNN Brasil|01/03/2022||A Petrobras vai completar nesta quarta-feira (2) 50 dias sem reajustes nos combustíveis, enquanto a guerra na Ucrânia continua pressionando o mercado de...|https://www.cnnbrasil.com.br/business/inflacao-e-eleicoes-podem-afetar-politica-de-precos-da-petrobras-dizem-especialistas/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Lula critica a mesma Petrobras que o PT levou à ruína|VEJA|01/03/2022||Lula se esquece de que em 2015, sob o governo Dilma Rousseff, a Petrobras teve o pior prejuízo da sua história: nada menos que 34,8 bilhões de reais, superando...|https://veja.abril.com.br/coluna/maquiavel/lula-critica-a-mesma-petrobras-que-o-pt-levou-a-ruina/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Com disparada do petróleo e da Petrobras, índice de ADRs Brazil Titans destoa de Bolsas americanas e sobe|InfoMoney|01/03/2022||Com disparada do petróleo e da Petrobras, índice de ADRs Brazil Titans destoa de Bolsas americanas e sobe. Barril de petróleo Brent subia 6,66%, para US$ 104,49...|https://www.infomoney.com.br/mercados/indice-de-adrs-brazil-titans-destoa-de-bolsas-americanas-e-abre-a-sessao-em-alta/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Empresariado da Rússia pode efetivar compra da fábrica de fertilizantes da Petrobras em Três Lagoas, no estado do Mato Grosso do Sul até o final do primeiro semestre de 2022, segundo expectativas do presidente Bolsonaro|Click Petróleo e Gás|01/03/2022||A compra da Unidade de Fertilizantes Nitrogenados (UFN3) da Petrobras, localizada na cidade de Três Lagoas, no Mato Grosso do Sul, foi feita pela Acron, grupo...|https://clickpetroleoegas.com.br/empresariado-da-russia-pode-efetivar-compra-da-fabrica-de-fertilizantes-da-petrobras-em-tres-lagoas-no-estado-do-mato-grosso-do-sul-ate-o-final-do-primeiro-semestre-de-2022-segundo-expectativas-do-pre/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Nando Reis lança álbum junto da Orquestra Petrobrás Sinfônica|Boomerang Music|01/03/2022||Gravado no início 2019 em estúdio, como resultado de uma turnê que contemplou seis capitais brasileiras, o álbum “Nando Reis e Orquestra Petrobras...|https://boomerangmusic.com.br/nando-reis-lanca-album-junto-da-orquestra-petrobras-sinfonica/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras não tem decisões tomadas sobre preços de combustíveis, diz Luna|Exame|02/03/2022||A Petrobras analisa a pressão de alta da cotação do barril de petróleo, mas por enquanto não há nenhuma decisão tomada quanto a ajustes nos preços dos...|https://exame.com/negocios/petrobras-nao-tem-decisoes-tomadas-sobre-precos-de-combustiveis-diz-luna/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Elevação do preço do petróleo aumenta desgaste entre ...|Correio Braziliense|02/03/2022||Elevação do preço do petróleo aumenta desgaste entre Petrobras e Bolsonaro. Presidente tenta evitar que a estatal repasse a alta das cotações internacionais do...|https://www.correiobraziliense.com.br/economia/2022/03/4989560-elevacao-do-preco-do-petroleo-aumenta-desgaste-entre-petrobras-e-bolsonaro.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Diesel e gasolina da Petrobras têm 25% de defasagem, maior nível em cerca de 10 anos, diz Abicom|UOL Economia|02/03/2022||"No entanto, a empresa tem demorado a fazer reajustes, alegando que assim evita repassar volatilidades internacionais ao mercado interno. ""A Petrobras vem..."|https://economia.uol.com.br/noticias/reuters/2022/03/02/diesel-e-gasolina-da-petrobras-tem-25-de-defasagem-maior-nivel-em-cerca-de-10-anos-diz-abicom.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras fecha fábricas e expõe Brasil à falta de fertilizantes ...|Brasil de Fato|02/03/2022||O fechamento de três fábricas de fertilizantes da Petrobras durante os governos de Michel Temer (MDB) e Jair Bolsonaro (PL) aumentou a dependência do Brasil...|https://www.brasildefato.com.br/2022/03/02/petrobras-fecha-fabricas-e-expoe-brasil-a-falta-de-fertilizantes-russos-durante-guerra|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Vale (VALE3) e Petrobras (PETR4) em forte alta, aéreas e bancos em queda: os maiores destaques dos ADRs durante o Carnaval|InfoMoney|02/03/2022||Vale (VALE3) e Petrobras (PETR4) em forte alta, aéreas e bancos em queda: os maiores destaques dos ADRs durante o Carnaval. Ativos foram bastante impactados –...|https://www.infomoney.com.br/mercados/vale-vale3-e-petrobras-petr4-em-forte-alta-aereas-e-bancos-em-queda-os-maiores-destaques-dos-adrs-durante-o-carnaval/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
