title|media|date|datetime|desc|link|img
Bolsonaro tentou intervir na Petrobras, diz Silva e Luna a revista|Valor Econômico|01/04/2022||O presidente demissionário da Petrobras, general Joaquim Silva e Luna, contou à revista “Veja” como o presidente Jair Bolsonaro tentou intervir na companhia...|https://valor.globo.com/politica/noticia/2022/04/01/bolsonaro-tentou-intervir-na-petrobras-diz-silva-e-luna-a-revista.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras indica risco ao alterar a política de preços ...|Correio Braziliense|01/04/2022||Na semana em que foi anunciada a troca da diretoria, a Petrobras encaminhou o relatório anual para os investidores, com todos os riscos possíveis para a...|https://www.correiobraziliense.com.br/economia/2022/04/4997469-petrobras-indica-risco-ao-alterar-a-politica-de-precos-internacionais.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras avisa investidores que pode mudar política de ...|Brasil de Fato|01/04/2022||A Petrobras pode deixar de vender combustíveis com preços baseados no mercado internacional A estatal citou essa possibilidade em comunicado enviado à Sec,...|https://www.brasildefato.com.br/2022/04/01/petrobras-avisa-investidores-que-pode-mudar-politica-de-precos-para-conter-aumentos|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Gasolina de refinaria privatizada na BA custa 10% mais que a da Petrobras|UOL Economia|01/04/2022||Gasolina de refinaria privatizada na BA custa 10% mais que a da Petrobras. Refinaria de Mataripe, antiga Landulpho Alves (Rlam), na Bahia - divulgação/.|https://economia.uol.com.br/noticias/redacao/2022/04/01/refinaria-privada-vende-gasolina-r-038-acima-da-petrobras.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras eleva preço do querosene de aviação em mais de 18% em vários polos|CNN Brasil|01/04/2022||A Petrobras elevou o preço do querosene de aviação (QAV) em vários polos, conforme publicação no site da estatal, com aumentos de mais de 18% em Duque de...|https://www.cnnbrasil.com.br/business/petrobras-eleva-preco-do-querosene-de-aviacao-em-mais-de-18-em-varios-polos/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras informa sobre nova descoberta de petróleo no pré-sal - O São Gonçalo|O São Gonçalo|01/04/2022||A Petrobras descobriu nova acumulação de petróleo no pré-sal da porção sul da Bacia de Campos, em poço pioneiro no bloco Alto de Cabo Frio Central.|https://www.osaogoncalo.com.br/geral/120076/petrobras-informa-sobre-nova-descoberta-de-petroleo-no-pre-sal|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras descobre petróleo no pré-sal do sul da Bacia de Campos|Valor Econômico|01/04/2022||De acordo com a companhia, a porção está em poço pioneiro no bloco Alto de Cabo Frio Central, na região sul do ativo ... A Petrobras comunicou ao mercado que...|https://valor.globo.com/empresas/noticia/2022/04/01/petrobras-descobre-petrleo-no-pr-sal-do-sul-da-bacia-de-campos.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras pode ampliar refino de combustíveis e reduzir importações, indica estudo do governo|Folha|01/04/2022||A Petrobras e outras refinarias privadas poderiam ampliar a produção nacional de combustíveis para atender à demanda dos consumidores brasileiros no momento...|https://www1.folha.uol.com.br/mercado/2022/04/petrobras-pode-ampliar-refino-de-combustiveis-e-reduzir-importacoes-indica-estudo-do-governo.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Nem Lula, nem Bolsonaro podem mexer na Petrobras, segundo general|VEJA|01/04/2022||Nem Lula, nem Bolsonaro podem mexer na Petrobras, segundo general. A VEJA, Joaquim Silva e Luna afirma que a governança da companhia não permite que o novo...|https://veja.abril.com.br/economia/nem-lula-nem-bolsonaro-podem-mexer-na-petrobras-segundo-general/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras é condenada a pagar R$ 1,9 bi por quebra de contrato|Valor Econômico|01/04/2022||O Tribunal de Justiça do Rio de Janeiro (TJRJ) condenou a Petrobras a pagar indenização de R$ 1,9 bilhão à Paragon Offshore, sua ex-fornecedora de sondas de...|https://valor.globo.com/legislacao/noticia/2022/04/01/petrobras-e-condenada-a-pagar-r-19-bi-por-quebra-de-contrato.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras descobre nova acumulação de petróleo em poço do pré-sal da Bacia de Campos|Forbes Brasil|02/04/2022||A Petrobras disse ontem (1) que descobriu uma nova acumulação de petróleo no pré-sal da porção sul da Bacia de Campos, em poço no bloco Alto de Cabo Frio...|https://forbes.com.br/forbes-money/2022/04/petrobras-descobre-nova-acumulacao-de-petroleo-em-poco-do-pre-sal-da-bacia-de-campos/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Bolsonaro tentou nomear ex-capitão do Bope em alto cargo da Petrobras|iG Economia|02/04/2022||O presidente Jair Bolsonaro tentou fazer pelo menos uma nomeação na Petrobras enquanto a estatal era presidida pelo general da reserva Joaquim Silva e Luna,...|https://economia.ig.com.br/2022-04-02/bolsonaro-tentou-nomear-ex-capitao-bope-petrobras.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Fatos da Semana: queda de ministro, Petrobras e recuos da ...|Poder360|02/04/2022||Fatos da Semana: queda de ministro, Petrobras e recuos da 3ª via. Milton Ribeiro deixou o MEC, presidente da Petrobras demitido e pré-candidatos desistem de...|https://www.poder360.com.br/brasil/fatos-da-semana-queda-de-ministro-petrobras-e-recuos-da-3a-via/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Não é possível ter preços baratos às custas do lucro da Petrobras, diz professora|CNN Brasil|02/04/2022||Em entrevista à CNN neste sábado (2), ela afirmou que “a Petrobras é uma empresa, não é só do governo, é dele e de vários outros acionistas.|https://www.cnnbrasil.com.br/business/nao-e-possivel-ter-precos-baratos-as-custas-do-lucro-da-petrobras-diz-professora/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Priner (PRNR3): Troca no comando da Petrobras não afeta operações offshore|InfoMoney|02/04/2022||Na última segunda-feira (28), o presidente Jair Bolsonaro anunciou a demissão do segundo presidente da Petrobras (PETR3 ; PETR4) durante o seu mandato.|https://www.infomoney.com.br/mercados/priner-prnr3-troca-no-comando-da-petrobras-nao-afeta-operacoes-offshore/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Rodolfo Landim desiste de concorrer à presidência do Conselho de Administração da Petrobras|G1|03/04/2022||"""Apesar do tamanho e da importância da Petrobras para o nosso país, e da enorme honra para mim em exercer este cargo, gostaria de informá-lo que resolvi..."|https://g1.globo.com/economia/noticia/2022/04/03/rodolfo-landim-recusa-indicacao-para-comandar-conselho-de-administracao-da-petrobras.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Rodolfo Landim desiste do Conselho de Administração da Petrobras|O Globo|03/04/2022||RIO - A Petrobras sofreu mais uma reviravolta. Rodolfo Landim, presidente do Clube de Regatas do Flamengo, desistiu de assumir a presidência do Conselho de...|https://oglobo.globo.com/economia/negocios/rodolfo-landim-desiste-do-conselho-de-administracao-da-petrobras-25460740|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Rodolfo Landim desiste de presidir o conselho da Petrobras|Folha|03/04/2022||Rodolfo Landim desiste de presidir o conselho da Petrobras. Presidente do Flamengo foi indicado pelo governo e seria avaliado pelos acionistas no dia 13 de...|https://www1.folha.uol.com.br/mercado/2022/04/rodolfo-landim-desiste-de-presidir-o-conselho-da-petrobras.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras dobra a remuneração em 2021|Valor Econômico|03/04/2022||Compõem a diretoria executiva da Petrobras hoje oito executivos, além do presidente. A estatal propôs o pagamento de um salário de R$ 14,17 milhões aos...|https://valor.globo.com/empresas/noticia/2022/04/03/petrobras-dobra-a-remuneracao-em-2021.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras: veja o estágio do processo ao qual Landim responde na Justiça Federal|Valor Econômico|03/04/2022||Petrobras: veja o estágio do processo ao qual Landim responde na Justiça Federal. Por Gabriel Vasconcelos, Valor — Rio. 03/04/2022 16h50 Atualizado...|https://valor.globo.com/brasil/noticia/2022/04/03/petrobras-veja-o-estagio-do-processo-ao-qual-landim-responde-na-justica-federal.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras pode ampliar refino de combustíveis e reduzir ...|Portos e Navios|03/04/2022||A Petrobras e outras refinarias privadas poderiam ampliar a produção nacional de combustíveis para atender à demanda dos consumidores brasileiros no momento...|https://www.portosenavios.com.br/noticias/geral/petrobras-pode-ampliar-refino-de-combustiveis-e-reduzir-importacoes-indica-estudo-do-governo|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
