title|media|date|datetime|desc|link|img
Lula: Precisamos recuperar a Petrobras, não podemos deixar privatizar Eletrobras|UOL Economia|01/05/2022||Lula: Precisamos recuperar a Petrobras, não podemos deixar privatizar Eletrobras. Lula discursa em ato do Dia do Trabalhador na praça Charles Müller em São...|https://economia.uol.com.br/noticias/estadao-conteudo/2022/05/01/lula-precisamos-recuperar-a-petrobras-nao-podemos-deixar-privatizar-eletrobras.htm|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Copasa (CSMG3), Petrobras (PETR4), Sanepar (SAPR11), Oi (OIBR3): Veja as empresas que divulgam seus resultados|Money Times|01/05/2022||Copasa (CSMG3), Petrobras (PETR4), Sanepar (SAPR11), Oi (OIBR3): Veja as empresas que divulgam seus resultados. Por Bloomberg. 01/05/2022 - 18:00.|https://www.moneytimes.com.br/copasa-csmg3-petrobras-petr4-sanepar-sapr11-oi-oibr3-veja-as-empresas-que-divulgam-seus-resultados/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Reuniões de Copom e Fed, balanço da Petrobras e a agenda da semana|Exame|01/05/2022||Nos Estados Unidos, o Federal Reserve, o Fed, também deverá elevar os juros na quarta, e da mesma forma investidores ficarão atentos à sinalização do presidente...|https://exame.com/invest/mercados/reunioes-de-copom-e-fed-balanco-da-petrobras-e-a-agenda-da-semana/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Decisões do Fomc e Copom, emprego nos EUA e resultados de Petrobras (PETR4) e Bradesco (BBDC4): o que acompanhar na semana|InfoMoney|01/05/2022||Decisões do Fomc e Copom, emprego nos EUA e resultados de Petrobras (PETR4) e Bradesco (BBDC4): o que acompanhar na semana.|https://www.infomoney.com.br/mercados/fomc-copom-emprego-eua-resultados-petrobras-petr4-bradesco-bbdc4-proxima-semana/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Alta de 19% no gás natural da Petrobras para distribuidoras já está em vigor|G1|02/05/2022||Para botijão, o valor de referência é o GLP. Compartilhe no WhatsApp · Compartilhe no Telegram. Além do preço cobrado pela Petrobras, os tributos federais e...|https://g1.globo.com/economia/noticia/2022/05/02/alta-de-19percent-no-gas-natural-da-petrobras-para-distribuidoras-ja-esta-em-vigor.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras inicia produção no Campo de Mero com plataforma Guanabara|Valor Investe|02/05/2022||A Petrobras anunciou que iniciou no último sábado a produção de petróleo e gás natural na plataforma móvel (FPSO) Guanabara, o primeiro sistema de produção...|https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2022/05/02/petrobras-inicia-produo-no-campo-de-mero-com-plataforma-guanabara.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Braskem não participa de discussões das acionistas Novonor e Petrobras sobre venda da empresa|Valor Econômico|02/05/2022||A Petrobras informa que não está conduzindo nenhuma estruturação de operação de venda no mercado privado e que não tem conhecimento sobre negociações com a J&F.|https://valor.globo.com/empresas/noticia/2022/05/02/braskem-nao-participa-de-discussoes-das-acionistas-novonor-e-petrobras-sobre-venda-da-empresa.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras anuncia novo aumento de 6,7% no querosene de aviação|AERO Magazine|02/05/2022||A Petrobras anunciou,...|https://aeromagazine.uol.com.br/artigo/petrobras-anuncia-novo-aumento-de-67-no-querosene-de-aviacao.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Exclusivo: Venda de refinaria da Petrobras em Manaus deve ser aprovada pelo Cade|Valor Econômico|02/05/2022||Exclusivo: Venda de refinaria da Petrobras em Manaus deve ser aprovada pelo Cade. A venda é umas das obrigações firmadas entre a estatal e o órgão antitruste em...|https://valor.globo.com/empresas/noticia/2022/05/02/exclusivo-venda-de-refinaria-da-petrobras-em-manaus-deve-ser-aprovada-pelo-cade.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Diesel em alta gera pressão sobre Petrobras|Valor Econômico|02/05/2022||Essa situação amplia a pressão sobre a Petrobras para que reajuste nas refinarias os preços do derivado, essencial ao transporte de cargas no país.|https://valor.globo.com/empresas/noticia/2022/05/02/diesel-em-alta-gera-pressao-sobre-petrobras.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Sem privatizações por aqui: Lula quer recuperar a Petrobras (PETR4) e barrar a venda da Eletrobras (ELET3)|Seu Dinheiro|02/05/2022||Enquanto Bolsonaro promete privatizar tudo o que vê pela frente, Lula vem na contramão e jura que não permitirá que estatais como a Petrobras (PETR4) e a...|https://www.seudinheiro.com/2022/economia/lula-privatizacao-petrobras-petr4-eletrobras-elet3-miql/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Redução de preço do gás de cozinha pela Petrobras ainda não chega ao consumidor|CNN Brasil|02/05/2022||Há três semanas, a Petrobras anunciou uma queda de 5,58% no preço do gás de cozinha (GLP) para as distribuidoras. No entanto, até o momento, segundo dados...|https://www.cnnbrasil.com.br/business/reducao-de-preco-do-gas-de-cozinha-pela-petrobras-ainda-nao-chega-ao-consumidor/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras segura reajuste, mas preço da gasolina bate novo ...|EPBR|02/05/2022||A Petrobras está há 52 dias sem reajustar os preços nas refinarias, mas o valor do litro da gasolina bateu novo recorde nos postos brasileiros na semana...|https://epbr.com.br/petrobras-segura-reajuste-mas-preco-da-gasolina-bate-novo-recorde/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras (PETR4) e mais 3 ações são as mais recomendadas para esta semana, segundo 13 analistas|SpaceMoney|02/05/2022||Petrobras (PETR4) e mais 3 ações são as mais recomendadas para esta semana, segundo 13 analistas. Kepler Weber (KEPL3), Minerva (BEEF3) e Telefônica Brasil -...|https://www.spacemoney.com.br/spacedicas/petrobras-petr4-e-mais-2-acoes-sao-as-mais-recomendadas-para-esta/180509/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Governo publica plano para reduzir fatia da Petrobras nas vendas de gás|Folha|03/05/2022||Governo publica plano para reduzir fatia da Petrobras nas vendas de gás. Resolução detalha medidas para ampliar a concorrência no fornecimento.|https://www1.folha.uol.com.br/mercado/2022/05/governo-publica-plano-para-reduzir-fatia-da-petrobras-nas-vendas-de-gas.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Petrobras anuncia reajuste no querosene de aviação; alta soma 48,7% no ano|Exame|03/05/2022||"No ano passado, o aumento acumulado do QAV foi de 92%. ""Mais uma vez o reajuste anunciado pela Petrobras comprova como as companhias aéreas enfrentam..."|https://exame.com/economia/petrobras-anuncia-reajuste-no-querosene-de-aviacao-alta-soma-487-no-ano/|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
Cade tende a aprovar venda da refinaria da Petrobras no AM|Valor Econômico|03/05/2022||A Superintendência Geral do Conselho Administrativo de Defesa da Concorrência (SG/Cade) está perto de aprovar a venda da refinaria da Petrobras em Manaus,...|https://valor.globo.com/empresas/noticia/2022/05/03/cade-tende-a-aprovar-venda-da-refinaria-da-petrobras-no-am.ghtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==
