,title,media,date,desc
0,Eneva vence 3R Petroleum na disputa pelo Polo Urucu da ...,EPBR,02/02/2021,"A Petrobras já comunicou a Eneva sobre o resultado, com o convite para  início das negociações diretas para o contrato de venda dos campos."
1,Petrobras anuncia venda de Polo Peroá à 3R Petroleum e DBO Energia por US$ 55 mi,Valor Econômico,02/02/2021,"A Petrobras informou que assinou o contrato de venda da totalidade de suas  participações nos campos de produção de Peroá e Cangoá, e na concessão de..."
2,Petrobras descobre hidrocarboneto em poço no pré-sal da ...,Portos e Navios,02/02/2021,"A Petrobras identificou a presença de hidrocarboneto em poço pioneiro do  bloco C-M-411, localizado no pré-sal da Bacia de Campos, no Estado do Rio  de..."
3,"Na Petrobras, diferença entre o maior e o menor salário chega a 6.932%",Blog do Correio Braziliense,02/02/2021,"A pasta chefiada por Paulo Guedes, que, passados dois anos do governo de  Jair Bolsonaro, ainda não conseguiu privatizar nenhuma estatal, aponta que  a Petrobras..."
4,Petrobras anuncia reabertura de licitação para venda do terminal de GNL da Bahia,CPG Click Petroleo e Gas,02/02/2021,Petrobras abriu o primeiro processo de arrendamento do Terminal de  Regaseificação de GNL da Bahia e seu gasoduto integrante no final de 2019.
5,Venda de botijão de gás pela metade do preço causa grande fila em Salvador,G1,02/02/2021,"Venda é uma ação do Sindicato dos Petroleiros da Bahia (Sindipetro-BA), em  protesto contra a politica de preços da Petrobras. Na ação, 200 botijões de  gás foram..."
6,"Petrobras informa morte de colaborador em acidente ocorrido ontem (31/01), no FPSO Cidade de Mangaratiba",CPG Click Petroleo e Gas,02/02/2021,"Trabalhador morre em acidente durante uma atividade de inspeção no FPSO da  Petrobras, o Cidade Mangaratiba, atualmente afretado pela japonesa Modec."
7,Greve dos Caminhoneiros: Veja como estão as estradas na manhã desta segunda (1º) pelo Brasil,Tv Jornal,02/02/2021,Relatório da Petrobrás. A reportagem do Sistema Jornal do Commercio de  Comunicação teve acesso a um relatório produzido pelo núcleo de  Inteligência e Segurança...
8,"Mesmo dividida, classe de caminhoneiros cruzará os braços",Correio Braziliense,02/02/2021,"A Petrobras não será mais vilã. Em função da política independente de  preços da Petrobras, sem interferência do governo, seguindo preços de  paridade..."
9,"Em diálogo, Moro repreende Dallagnol após MPF recorrer de ...",Consultor Jurídico,02/02/2021,"O caso envolvia o engenheiro Mário Góes, apontado como operador de propinas  em um esquema de corrupção na Petrobras; Pedro Barusco, ex-gerente  executivo da..."
10,Petrobras registra em 2020 melhor desempenho operacional desde 2015,Agência Brasil,03/03/2021,"Petrobras teve seu melhor desempenho operacional em 2020, com recordes de  produção anual, com 2,28 milhões de barris diários (MMbpb) de petróleo e  LGN..."
