title|media|date|desc
TCU diz que Petrobrás vendeu refinaria a preço abaixo do ...|BiodieselBR.com|02/04/2021|TCU diz que Petrobrás vendeu refinaria a preço abaixo do mercado e avalia  ... da venda da Refinaria Landulpho Alves (Rlam) pela Petrobrás ao  Mubadala,...
TCU avalia barrar venda de refinaria da Petrobras para fundo árabe|Folha|02/04/2021|Demitido da presidência da Petrobras por divergências com Jair Bolsonaro,  Roberto Castello Branco explicou aos funcionários em uma carta de despedida  que o...
Venda de refinaria da Petrobras na Bahia pode ser suspensa, diz TCU|CPG Click Petroleo e Gas|02/04/2021|A Refinaria Landulpho Alves, na Bahia, foi vendida pelo valor de US$ 1,65  bilhão pela Petrobras. Segundo o TCU, esse valor estaria abaixo do preço  de...
Petrobras aumenta gás de cozinha em 5% para as distribuidoras|CNN Brasil|02/04/2021|Petrobras aumenta gás de cozinha em 5% para as distribuidoras. O valor  passará a ser de R$ 3,21 por quilo, com um aumento médio de R$ 0,15 por  quilo; mudança...
Ex-gerente da Petrobras acusado de manipular mercado recorre contra estatal|iG Economia|02/04/2021|O ex-gerente executivo de Recursos Humanos (RH) da Petrobras, Claudio  Costa, protocolou petição na Comissão de Valores Mobiliários ( CVM )...
Balança comercial tem superávit de US$ 1,482 bilhão em março|Agência Brasil|02/04/2021|Até meados da década passada, o Brasil registrava em subsidiárias da  Petrobras no exterior plataformas de petróleo que na prática jamais saíam  do país.
Lucro das empresas de capital aberto dobra no 4º tri, mas despenca 40% no ano|CNN Brasil|02/04/2021|Mas se colocarmos Vale e a Petrobras na lista, a queda de lucratividade em  2020 chega a “apenas” 41,2%. Quando as instituições financeiras são levadas  em conta,...
TCU tem 5 dias para avaliar suspensão da venda de refinaria|Noticias R7|02/04/2021|"""Recebi Ofício do Subprocurador-Geral, Lucas Rocha Furtado, ressaltando a  recente decisão do conselho de administração da Petrobras em vender a  Rlam..."
Ibeps avalia que preço justo da gasolina seria de R$ 3,60|Repórter Diário|02/04/2021|“A gente não daria prejuízo para a Petrobras, ela deixaria de ganhar mais  dinheiro, mas ainda mantendo a empresa com um lucro muito acima do mercado,  fecharia...
Preço médio da gasolina sobe quase 11% em março nos postos do Brasil, diz ValeCard|Money Times|02/04/2021|O cenário de preços em alta nos postos vem com o impulso de reajustes  realizados ao longo do ano pela Petrobras (PETR4) nas refinarias do país,...
Ex-presidente da Petrobras segurou preços até saber de demissão, diz Guedes a site|Valor Investe|03/04/2021|A Petrobras vinha segurando os preços dos combustíveis até que o  ex-presidente da estatal, Roberto Castello Branco, ficou sabendo que seria  demitido.
Petrobras aumenta preço do GLP em quase 5%|G1|03/04/2021|A Petrobras aumentou em quase 5% o preço médio de venda do gás liquefeito  de petróleo (GLP) para as distribuidoras. O novo valor do gás de cozinha  começa a...
