title|media|date|desc
A construção naval brasileira tem chances de arrematar obras de plataformas Petrobras a partir de 2021|CPG Click Petroleo e Gas|01/01/2021|Dentre os principais pontos do plano estratégico da Petrobras, foco em seus  recursos no pré-sal e otimização de receita é prioridade da estatal. Está  última,...
Refinaria Abreu e Lima da Petrobras, a RNEST produz primeiro tanque de gasolina e atenderá distribuidoras em Pernambuco, Pará e Ceará|CPG Click Petroleo e Gas|01/01/2021|Petrobras informou em fato relevante na última quarta-feira (30/12) que a  gasolina “A” passou a fazer parte da cesta de produtos da Refinaria Abreu e  Lima...
5 Dicas de Tony Robbins para Ficar Rico Investindo|The Capital Advisor|01/01/2021|O QUE LER AGORA... ibovespa-sobe-021-apos-demissao-na-petrobras-prio3-.  Notícias. Ibovespa Sobe +0...
Acadêmicos de engenharia Mecânica criam projeto surpreendente de broca para mineração|CPG Click Petroleo e Gas|01/01/2021|Petrobras cancela a venda da fábrica de fertilizantes para Acron e gigante  Unigel, a maior empresa no ramo dentro da América Latina, está interessada  na...
Multinacional dinamarquesa European Energy faz investimento milionário e Pernambuco vai ganhar mais três parques eólicos|CPG Click Petroleo e Gas|01/01/2021|Petrobras encerra sociedade com a Sete Brasil por apenas 7 euros · CADE  autoriza Compass voltar a disputar a compra da Gaspetro, da Petrobras...
Vale, Ambev: 10 ações recomendadas por corretoras para investir em janeiro|CNN Brasil|01/01/2021|Nas dez ações mais recomendadas por analistas, estão empresas ligadas a  commodities (Petrobras e Vale), bancos e instituições financeiras (B3 e  Itaú),...
"Papa Francisco diz que mundo precisa de ""vacina para o ..."|Expresso das Ilhas|01/01/2021|Justiça aceita denúncia contra ex-juiz Sergio Moro por danos à Petrobras  Expresso das Ilhas. 2. França apreende 1,7 toneladas de cocaína no Golfo da  Guiné
Ano de 2021 terá três feriados nacionais prolongados|Valor Econômico|01/01/2021|Petrobras: Câmbio deve jogar lucro acima do previsto, diz Credit Suisse.  Por outro lado, dizem os analistas, as ações estão incorporando um desconto  de...
Empresa de apoio marítimo, construção e reparo naval, convoca com URGÊNCIA, para trabalhar no Rio de Janeiro e Bahia|CPG Click Petroleo e Gas|01/01/2021|Vagas de emprego anunciadas na noite de ontem (07/06) para contratos  Petrobras: Toyo Setal convoca Técnicos, Operadores, Ajudantes e mais, para  trabalhar em...
A falta do abraço, por Kakay|Poder360|01/01/2021|Ministério de Minas e Energia recomenda incluir Petrobras no PPI · MPF  recomenda volta das Comissões de Direitos Humanos na PRF · ANS inclui 4  remédios...
Governo vê retomada da exploração de petróleo na Amazônia após leilão|Folha|02/01/2021|O Amazonas é hoje o terceiro maior produtor de gás no país, por meio das  operações da Petrobras no polo Urucu, conectado a Manaus por um gasoduto de  660...
Preço da gasolina chega a R$ 4,89 no DF. Veja onde abastecer mais barato|Metrópoles|02/01/2021|Posto Petrobras (Plano Piloto – 309 Norte) – R$ 4,89, no débito e no  crédito (aumento de R$ 0,20 em relação ao preço anterior ao último  reajuste).
Morre padre defensor do uso medicinal da cannabis sativa|Diário do Poder|02/01/2021|Moro acha 'risível' PT culpar juiz e não o ladrão por prejuízo na Petrobras  ... Ministro Sachsida substitui presidente da Petrobras a pedido de  Bolsonaro.
Fux derruba liminar que liberava abertura de bares no interior de SP|Diário do Poder|02/01/2021|Lucro abusivo da Petrobras é de meio bilhão por dia · Diário do Poder. Novo  ministro define privatização da Petrobras como prioridade.
Saiba quais são as empresas que mais patrocinaram via Lei Federal de Incentivo à Cultura nos últimos 8 anos|POPline|02/01/2021|Em destaque estão os grupos econômicos como Bradesco, Banco do Brasil, Itaú  e Petrobras ... Analisar o comportamento e a participação dos maiores  incentivadores...
Adolfo Lutz divulga na segunda análise de variante do ...|ISTOÉ DINHEIRO|02/01/2021|Lira nega que projeto defendido por ele mude política de preços da  Petrobras ... nega que projeto defendido por ele mude política de preços da  Petrobras.
Dez suplentes assumem cargo de deputado federal, oito deles como titulares do mandato|Diário do Poder|02/01/2021|Bolsonaro afirma que Petrobras tem que cumprir função social ... Bolsonaro  afirma que Petrobras tem que cumprir função social.
Bebida fica mais cara em 2021, e lata ganha espaço para ...|Amazonas Atual|02/01/2021|30 de maio de 2022 · Refinaria Lubnor: Prefeitura de Fortaleza quer  indenização (Foto: Juarez Cavalcanti/Agência Petrobras.
Bitcoin supera casa dos US$ 30 mil pela primeira vez na História|Eu Quero Investir|02/01/2021|O que esperar do bitcoin para 2021? · Leia mais: · Radar traz Eletrobras  (ELET3; ELET6), Petrobras (PETR3; PETR4) e Vale (VALE3) · O Grande Ganhador  da Pandemia:...
Fim da Lava Jato? Cinco fatos que mostram a perda de força da operação que levou Lula à prisão|Jovem Pan|02/01/2021|... que investigou esquemas de corrupção e lavagem de dinheiro envolvendo  grandes empresas, como a Odebrecht e a Petrobras, e prendeu muitos  políticos,...
Concessionária diz que 98% da energia já foi restabelecida em Teresina|Diário do Poder|03/01/2021|Bolsonaro afirma que Petrobras tem que cumprir função social ... Bolsonaro  afirma que Petrobras tem que cumprir função social. Apagão no ano novo...
Governo proíbe exportação de seringas e agulhas|CNN Brasil|03/01/2021|DOU registra recomendação de inclusão da Petrobras em estudo para  privatização. CNN Brasil. Editoria. Ao Vivo · Eleições 2022 · Política ·  Nacional...
Tendências 2021: Setor de máquinas aposta no digital para alavancar vendas|Revista Globo Rural|03/01/2021|“Diesel verde” da Petrobras ameaça mercado de biocombustíveis, afirma  Abiove. O otimismo com o desempenho nas vendas deve continuar em 2021,  segundo a CSMIA, e...
Ano de 2021 começa com desemprego e sem auxílio ...|Amazonas Atual|03/01/2021|Sinais de Lula para economia são péssimos, afirma banqueiro · 4 de junho de  2022 · Petrobras deixa diesel mais caro e litro custará R$ 4,91 nas  refinarias.
Brasil busca mais reformas na indústria de petróleo para atrair investidores|O Petróleo|03/01/2021|A Petrobras deve concluir as vendas até o final de 2021, mas funcionários  da empresa disseram que a pandemia de coronavírus provavelmente empurrará a  conclusão...
Turismo liderado por comunidades locais gera preservação ambiental|Agência Brasil|03/01/2021|Trent também é mentor do projeto Bichos do Pantanal, do Instituto  Sustentar, desenvolvido no âmbito no programa Petrobras Socioambiental,  desde 2012,...
Petrobras é condenada em arbitragem iniciada pela Iesa|Forbes Brasil|04/01/2021|A Petrobras disse que a sentença determinou que sua subsidiária, Petrobras  Netherlands (PNBV), deverá pagar cerca de US$ 37 milhões. Redação.
Petrobras fez provisionamento para indenizar Iesa|Valor Econômico|04/01/2021|Petrobras fez provisionamento para indenizar Iesa. Ação ocorre no âmbito do  processo que envolve o pagamento de perdas em consequência de violação de  contratos,...
Petrobras é condenada, nos EUA, a indenizar a IESA Óleo e Gás|Money Times|04/01/2021|A Petrobras (PETR3; PETR4) foi condenada por uma câmara arbitral de Nova  York a pagar uma indenização à IESA Óleo e Gás. A condenação refere-se a  um...
Novembro foi mês com menor produção da Petrobras em ...|Poder360|04/01/2021|Novembro foi mês com menor produção da Petrobras em 2020, aponta ANP.  Petróleo caiu 11% em relação a 2019. Já o gás natural, teve queda de 7,5%.  Dados de...
Vigiar e punir: a Petrobras durante a ditadura militar|Café História|04/01/2021|Uma história ainda pouco conhecida é a da repressão na Petrobras, a maior e  mais importante estatal brasileira, criada em outubro de 1953, durante o  segundo...
Governo vê retomada da exploração de petróleo na Amazônia após leilão|Diario do Nordeste|04/01/2021|Localizado em meio à floresta amazônica, a 725 quilômetros de Manaus, o  campo de petróleo de Juruá foi descoberto pela Petrobras em 1978.
Mulher é presa acusada de invadir e tentar furtar refinaria da Petrobras em Cubatão|Diário do Litoral|04/01/2021|Mulher é presa acusada de invadir e tentar furtar refinaria da Petrobras em  Cubatão. Um comparsa que agiu com a acusada conseguiu fugir; o caso ocorreu  na...
Preço médio da gasolina nos postos do Brasil sobe pelo 7º mês, diz ValeCard|CNN Brasil|04/01/2021|Ao longo do último mês, a Petrobras elevou o preço da gasolina nas  refinarias em duas ocasiões. Ao longo de todo ano de 2020, no entanto, o  preço de venda...
Nova carteira do Índice de Sustentabilidade Empresarial da B3 começa hoje|CNN Brasil|04/01/2021|Dias Branco, Marfrig, Minerva, Movida, MRV, Natura, Neoenergia, Petrobras,  Santander, Suzano, Telefônica, Tim e Weg. Juntas, as companhias somam 1,8  trilhão em...
Rodolfo Saboia será o entrevistado da epbr na quinta, 14 de ...|EPBR|04/01/2021|Lira pautará projeto do PT que prevê controle de preços da Petrobras ·  Gustavo Gaudarde · 26 de maio de 2022 · Gasoduto de distribuição de gás.
