title|media|date|datetime|desc|link|img|site
Em post, Bolsonaro culpa desvios na Petrobras por preço do combustível|Metrópoles|1/01/2022||"O presidente Jair Bolsonaro (PL) dedicou o primeiro post de 2022 a fazer 
comentários sobre a Petrobras. Em publicação feita no início da manhã deste 
sábado..."|https://www.metropoles.com/brasil/politica-brasil/em-post-bolsonaro-culpa-desvios-na-petrobras-por-preco-do-combustivel|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|
RS estuda o que fazer sobre reajuste de 50% do gás da ...|GZH|1/01/2022||"Entra em vigor neste sábado (1º) o aumento de 50% do gás natural definido 
pela Petrobras, que argumenta elevação dos custos e falta de oferta mundial 
do..."|https://gauchazh.clicrbs.com.br/colunistas/giane-guerra/noticia/2022/01/rs-estuda-o-que-fazer-sobre-reajuste-de-50-do-gas-da-petrobras-ckxvtlj0f00080188zagzl5l4.html|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|
A crise de energia nunca ocorreu, diz ministro, mas governo mantém incentivo para reduzir consumo|Folha|1/01/2022||"Em 2021, apenas uma empresa [a Petrobras] atuava. Em 2022, teremos oito 
empresas, sendo quatro nacionais. O mercado está sendo aberto, mas isso não 
é da noite..."|https://www1.folha.uol.com.br/mercado/2022/01/a-crise-de-energia-nunca-ocorreu-diz-ministro.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|
Parque do Itatiaia não ganhou melhorias dois anos após concessão|Folha|1/01/2022||"... 17ª fase da operação Lava Jato, após ter sido citada em delação 
premiada como beneficiária de um esquema de direcionamento de licitações da 
Petrobras."|https://www1.folha.uol.com.br/cotidiano/2022/01/parque-do-itatiaia-nao-ganhou-melhorias-dois-anos-apos-concessao.shtml|data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|
Governo federal vai levar R$ 17,7 bilhões em dividendos da Petrobras||6 de mai.||bookmark_border|news.google.com/./articles/CAIiEAiv4s-ewm2UkV4EIvQYV_oqGQgEKhAIACoHCAowos6mCzCK2b4DMKqTsgc?uo=CAUicmh0dHBzOi8vdm9jZXNhLmFicmlsLmNvbS5ici9tZXJjYWRvLWZpbmFuY2Vpcm8vZ292ZXJuby1mZWRlcmFsLXZhaS1sZXZhci1yLTE3Ny1iaWxob2VzLWVtLWRpdmlkZW5kb3MtZGEtcGV0cm9icmFzL9IBAA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/sT9Exbz7f0DnfFL8J3L3lvXJkaZK_wBhEE-hu_DJIF2fox4TiXsYp9XAExTRh3CnT4-XjWAqXoVDwR5gaYsS4dUdMwjWpKkAYCqaN9fg6HOOxKPtp0a6hogBFW-d5F9LHIqFeKCrXHmyef693ZvsUN7Je7QAeh3AjZALLWFE2zBVBOuj0DoNYag1=s0-w100-h100-dcDROK7ZmqsSsC|VC S/A
Ações da Petrobras despencam 7% com incerteza sobre política de preços||7 de mar.||bookmark_border|news.google.com/./articles/CAIiEOL771XmGKPZIw8-3tuK5vsqGQgEKhAIACoHCAowos6mCzCK2b4DMKqTsgc?uo=CAUidWh0dHBzOi8vdm9jZXNhLmFicmlsLmNvbS5ici9tZXJjYWRvLWZpbmFuY2Vpcm8vYWNvZXMtZGEtcGV0cm9icmFzLWRlc3BlbmNhbS03LWNvbS1pbmNlcnRlemEtc29icmUtcG9saXRpY2EtZGUtcHJlY29zL9IBAA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/pI18dQNgUX6Ed4i3OiKotjZcDjOcbgfxUBNGGBcGzpy7BjX_-L7jHlFov348jfsYNLJ0ZcmMA98Hl94qxZALE09pHpPiNEIxFVE_BEYUP4W3TWzkMdvjUt8HpYKP9fzwkbZD0t8rlO6GDCriY1VPg6WpBr4=s0-w100-h100-dchTCMziEpLpAB|VC S/A
Analistas reforçam recomendação de compra para as ações da Petrobras. Mas cuidado||30 de mar.||bookmark_border|news.google.com/./articles/CAIiEKyFCWDiFbzlD4Mg4jYyuIgqGQgEKhAIACoHCAowos6mCzCK2b4DMKqTsgc?uo=CAUigAFodHRwczovL3ZvY2VzYS5hYnJpbC5jb20uYnIvbWVyY2Fkby1maW5hbmNlaXJvL2FuYWxpc3Rhcy1yZWZvcmNhbS1yZWNvbWVuZGFjYW8tZGUtY29tcHJhLXBhcmEtYXMtYWNvZXMtZGEtcGV0cm9icmFzLW1hcy1jdWlkYWRvL9IBAA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/rLfSo6KoNSQuBfTEiczicwznL1ZZgav7sce2EQTF2NHZL_DAmU-sjO8Ou88Lh5q-w6sKakGNubkbUov7wbLW68Gzg7_YEfJYlxmkiE9r0RFCOtUA-jFovy9G_H__XjQFkGzfcGpyhOQV3hlKz9m5CmCZpaY6c1xR6m7SOA_7RD4-fNuyapGufeuUaA=s0-w100-h100-dcATGKpbIF|VC S/A
Prepare o bolso: Petrobras (PETR4) aumenta preço da gasolina em 19% a partir de amanhã; diesel vai subir 25%||10 de mar.||bookmark_border|news.google.com/./articles/CAIiEKP01xY8JKLJeOFYY0zClgcqGQgEKhAIACoHCAowpcyPCzCshKMDMLXjrwY?uo=CAUiV2h0dHBzOi8vd3d3LnNldWRpbmhlaXJvLmNvbS8yMDIyL2Vjb25vbWlhL3BldHJvYnJhcy1wZXRyNC1hdW1lbnRhLWdhc29saW5hLWRpZXNlbC12dmthL9IBAA&hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/mF6RCzhxQKNa4z2GODuJgwhw4pTViSqC927uCXQ61hRyKg0IN_Pn-Wbh6TSP_xq_fn96hYJWmPaZQVHkGtG2o7s7QL3Mjsee_2tcLvfrP0Q1go9r9w=s0-w100-h100-dcATCOB6oG|Seu Dinheiro
Presidente do Flamengo é indicado pelo governo para chefiar Conselho da Petrobras||6 de mar.||bookmark_border|news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmVzcG4uY29tLmJyL2Z1dGVib2wvYXJ0aWdvL18vaWQvMTAwMjkzMDAvcHJlc2lkZW50ZS1mbGFtZW5nby1pbmRpY2Fkby1nb3Zlcm5vLWNoZWZpYXItY29uc2VsaG8tcGV0cm9icmFz0gGBAWh0dHBzOi8vd3d3LmVzcG4uY29tLmJyL2Z1dGVib2wvYXJ0aWdvL18vaWQvMTAwMjkzMDAvcHJlc2lkZW50ZS1mbGFtZW5nby1pbmRpY2Fkby1nb3Zlcm5vLWNoZWZpYXItY29uc2VsaG8tcGV0cm9icmFzP3BsYXRmb3JtPWFtcA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/qKHbsL5Rc9yGtcshSBTdHAelNfOx4qgeBB60c8Mu1UIkJX6SKijWKZ9LtL3sns6WAGGwqLg02tX_fbTAXVCkoVqriRErkq1Ept8gcaGGFUGC31gjQfSLDrwr=s0-w100-h100-dcgWWEzaEI|ESPN.com.br
Gabarito Extraoficial Petrobras – Conhecimentos Básicos||20 de fev.||bookmark_border|news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmVzdHJhdGVnaWFjb25jdXJzb3MuY29tLmJyL2Jsb2cvZ2FiYXJpdG8tZXh0cmFvZmljaWFsLXBldHJvYnJhcy1jb25oZWNpbWVudG9zLWJhc2ljb3Mv0gFmaHR0cHM6Ly93d3cuZXN0cmF0ZWdpYWNvbmN1cnNvcy5jb20uYnIvYmxvZy9nYWJhcml0by1leHRyYW9maWNpYWwtcGV0cm9icmFzLWNvbmhlY2ltZW50b3MtYmFzaWNvcy9hbXAv?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://lh3.googleusercontent.com/proxy/tSOGCr5B0xeXimBww18GrsCCNrAUohCP4XtVna5xCm0p_LsUFXM0HQBwjghrTSs6RBUWdegzrH0mAFHz38Dl_y96z-IsUm9m0GOe8Qt5bFbCtAxOf7LVqADSPcHc9XDhcLAveA=s0-w100-h100-dcAZCOZbYG|Estratégia Concursos
