title|media|date|desc
Petrobras reajusta preço da gasolina pela quinta vez no ano, em meio a troca de comando|O Globo|02/03/2021|RIO — A Petrobras vai reajustar os preços da gasolina novamente nesta  terça-feira. Será o quinto aumento no ano, levando a uma alta acumulada  desde janeiro...
Petrobras anuncia reajuste nas refinarias de 4,8% na gasolina e 5% no diesel|CNN Brasil|02/03/2021|A Petrobras anunciou, nesta segunda-feira (1º de março), novo reajuste nas  refinarias de 4,8% na gasolina e 5% no diesel. Isso significa uma alta de  R$ 0,12...
GLP: Petrobras aumenta preço do gás de cozinha nas refinarias|UOL Economia|02/03/2021|A Petrobras informou hoje que aumentou o GLP (Gás Liquefeito de Petróleo),  o terceiro reajuste do ano, em R$ 0,15 por quilo, o equivalente a um  impacto de...
Agência Brasil explica: como é a composição do preço dos combustíveis|Agência Brasil|02/03/2021|Ao sair da Petrobras, o combustível sai com o valor do produto mais os  tributos federais: a Contribuição de Intervenção no Domínio Econômico  (Cide), partilhada...
Castello Branco deixa Petrobras mais enxuta|Valor Econômico|02/03/2021|O atual presidente assumiu a empresa respaldado pelo ministro da Economia,  Paulo Guedes. A missão do executivo, na Petrobras, era acelerar a execução  do plano...
Petrobras fecha venda de usina eólica ao fundo de investimento PirineusTurbina|CNN Brasil|02/03/2021|A Petrobras assinou contrato para a venda de sua participação majoritária  no parque eólico Mangue Seco 2 ao fundo de investimento em participações  FIP...
Usina térmica de meio bilhão da Petrobras vira 'elefante ...|A Gazeta|02/03/2021|"Usina térmica de meio bilhão da Petrobras vira ""elefante branco"" na Bahia.  A estatal já pediu o encerramento formal das operações da usina,  simplesmente porque..."
Especialistas temem que interferência na Petrobras prejudique economia|iG Economia|02/03/2021|Após mais um reajustes nos preços do combustíveis, mercado financeiro teme  mais interferências do Governo Federal na Petrobras...
Após três prósperas gerações, Petrobras já não assegura mais trabalho para a família Reis|El País|02/03/2021|A família do petroleiro aposentado Wilson Reis é um retrato da decadência  econômica do Norte Fluminense provocada pela redução das atividades da  Petrobras...
Você tem FGTS na Petrobras ou fundo dedicado à empresa? Saiba o que fazer|Valor Investe|02/03/2021|Com a forte queda dos papéis da Petrobras na última semana e a insegurança  jurídica que se formou em cima da empresa, quem investe em fundos que têm  apenas...
Guedes: Vamos pegar os dividendos da Petrobras e entregar uma parte ao povo|Valor Econômico|03/03/2021|"Guedes: Vamos pegar os dividendos da Petrobras e entregar uma parte ao  povo. Ideia é criar fundo com ativos: ""se [o petróleo] é nosso, dá para a  gente,..."
Guedes diz que privatizaria tudo, mas Bolsonaro barra Petrobras, BB e Caixa|UOL Economia|03/03/2021|"Guedes diz que privatizaria tudo, mas Bolsonaro barra Petrobras, BB e  Caixa. ""Estatal boa é a que foi privatizada"", disse Guedes, em entrevista à."
Guedes diz que há ideia de criar fundo pra pagar dividendos da Petrobras para os “mais pobres”|InfoMoney|03/03/2021|O ministro da Economia, Paulo Guedes, disse que o governo quer criar um  fundo com ativos da Petrobras para pagar dividendos “principalmente a  pessoas mais...
A Petrobras é do Brasil e do povo brasileiro|Carta Capital|03/03/2021|Por Deyvid Bacelar. O presidente Jair Bolsonaro, enfim, demitiu o  presidente da Petrobras, Roberto Castello Branco, que há dois anos ocupava  a direção da...
Após reajuste da gasolina, Bolsonaro critica Castello Branco e diz que vai combater 'preço abusivo' de combustíveis|O Globo|03/03/2021|Receba notícias em tempo real no app. Baixar. BRASÍLIA - O presidente Jair  Bolsonaro criticou na noite desta segunda-feira o presidente da Petrobras,  Roberto...
Após reajuste da Petrobras, gasolina, diesel e gás ficam mais caros no DF|G1|03/03/2021|A Petrobrás também anunciou o aumento do preço do gás de cozinha. O botijão  de 13kg vai subir R$ 1,90.
Quatro integrantes do Conselho da Petrobras pedem para deixar o cargo|Correio Braziliense|03/03/2021|Quatro integrantes do Conselho da Petrobras pedem para deixar o cargo.  Decisão é uma resposta à mudança na presidência da estatal. O presidente  Jair Bolsonaro...
CVM vai investigar operação suspeita com ações da Petrobras|iG Economia|03/03/2021|"No mesmo dia, o presidente Jair Bolsonaro realizou a tradicional live das  quintas-feiras, quando afirmou que ""o presidente da Petrobras falou que..."
Currículo atrapalha general indicado por Bolsonaro para a Petrobras|Estado de Minas|03/03/2021|General Joaquim Silva e Luna está encontrando obstáculos para assumir a  presidência da Petrobras por indicação do presidente Jair Bolsonaro  (foto:...
Polícia combate furto de combustível de dutos da Petrobras|Agência Brasil|03/03/2021|... Rio de Janeiro (MPRJ) cumprem hoje (2) cinco mandados de prisão e 14 de  busca e apreensão contra suspeitos de furtar combustível de dutos da  Petrobras.
Suspeita de insider trading da Petrobras já estava no radar da B3|InfoMoney|05/03/2021|As operações atípicas com ações da Petrobras (PETR3;PETR4) já haviam  chamado a atenção dentro da B3, a bolsa paulista, nos dias que se seguiram  à...
Risco de processo faz conselheiros da Petrobras desistirem de novo mandato|CNN Brasil|05/03/2021|Risco de processo faz conselheiros da Petrobras desistirem de novo mandato.  Os acionistas da estatal ameaçam ir à justiça após o presidente Jair  Bolsonaro...
Os dois problemas do caso Petrobras seguem sem solução|Valor Investe|05/03/2021|Os dois problemas do caso Petrobras seguem sem solução. Um desses percalços  é a governança corporativa das empresas de capital misto e o outro é  referente aos...
CVM pode investigar insider na Petrobras; operação já estava no radar da bolsa|CNN Brasil|05/03/2021|As operações atípicas com ações da Petrobras já haviam chamado a atenção  dentro da B3, a bolsa paulista, nos dias que se seguiram à sinalização dada  pelo...
Crime de 'insider trading', como o da Petrobras, teve só uma ...|UOL Economia|05/03/2021|Na recente crise da Petrobras, tudo indica que a investigação da CVM terá  como principal alvo uma operação atípica com opções de venda de ações da  estatal no...
Litro da gasolina sobe pelo 9º mês e supera R$ 5; diesel bate R$ 4, diz ValeCard|CNN Brasil|05/03/2021|A Petrobras elevou os preços de diesel e gasolina nas refinarias em duas  ocasiões ao longo de fevereiro, e no início de março voltou a reajustá-los  para cima.
Saída de diretor Gustavo Gonzalez da CVM não tem relação com caso Petrobras|JOTA|05/03/2021|... de Valores Mobiliários (CVM) não tem nenhuma relação com o episódio  envolvendo um possível crime de insider trading na operação de ações da  Petrobras.
Gasolina a preço justo para entregadores no Dia Nacional de ...|Revista Forum|05/03/2021|Ao fazer isso, a Petrobras, uma empresa dos brasileiros, atende apenas aos  ... de importação, que a gestão da Petrobrás implementou há quase cinco  anos.
Petroleiros fazem venda de combustíveis 'a preço justo' nesta ...|Rede Brasil Atual|05/03/2021|Esses cálculos levam em consideração os preços e custos da Petrobras, além  da garantia de lucratividade das empresas produtoras, distribuidoras e  revendedores.
Governo avalia colchão tributário e fundo para baixar preço ...|A Gazeta|05/03/2021|... tem sido criticada constantemente pelo presidente e foi apontada como  possível estopim para a queda do presidente da Petrobras, Roberto Castello  Branco.
CVM abre investigação por uso de informação privilegiada com ações da Petrobras|G1|06/03/2021|"CVM abre investigação por uso de informação privilegiada com ações da  Petrobras. Conhecida no jargão do mercado como ""insider trading"", operação  busca a..."
CVM abre investigação sobre uso de informação privilegiada ...|Poder360|06/03/2021|2021) que abriu um processo para investigar o uso de informação  privilegiada nos negócios com ações da Petrobras. O processo administrativo  está sob sigilo. A...
CVM afirma que investiga Petrobras por uso de informação privilegiada com ações|CNN Brasil|06/03/2021|... para investigar uso de informação privilegiada nos negócios com ações  da Petrobras, no episódio envolvendo anúncio de troca no comando da  companhia.
CVM confirma processo para investigar suposta informação privilegiada sobre mudanças na Petrobras|GZH|06/03/2021|... administrativo para investigar o suposto uso de informação privilegiada  (insider trading, no jargão do mercado) na negociação de papéis da  Petrobras.
