title|media|date|desc
Silva e Luna 'militariza' cúpula da Petrobras|UOL Economia|01/09/2021|Segundo apurou o Estadão, Silva e Luna já contratou pelo menos seis  militares para atuar em postos de apoio à presidência da Petrobras e da  Transpetro,...
Petrobras conclui venda de fatia no campo de Lapa para TotalEnergies|G1|01/09/2021|A Petrobras informou nesta quarta-feira (1) que finalizou a cessão de sua  participação de 10% no campo de Lapa para a TotalEnergies.
Mubadala cria empresa para operar refinaria comprada da Petrobras na Bahia|Valor Econômico|01/09/2021|Mubadala cria empresa para operar refinaria comprada da Petrobras na Bahia.  A Acelen vai fazer a gestão e a operação da refinaria de petróleo Landulpho  Alves (...
Reajuste de 7% no preço do gás começa a valer a partir desta quarta|Metrópoles|01/09/2021|GO: homem cata galhos para usar como lenha e economizar gás de cozinha. Em  agosto, a Petrobras já tinha reajustado o valor do gás em 7%. No ano, o  botijão de...
Observatório Social da Petrobras e FNP vão vender gás de cozinha a R$ 60 em SP, PA e RJ|CPG Click Petroleo e Gas|01/09/2021|O Observatório Social da Petrobras (OSP) e a Federação Nacional dos  Petroleiros (FNP) venderão os botijões de gás de cozinha a R$ 60, na  quinta-feira (2),...
OceanPact firma contratos de serviços de embarcações com Petrobras|Valor Econômico|01/09/2021|A OceanPact comunicou ao mercado que formalizou quatro contratos de  prestação de serviços com a Petrobras, sendo dois para afretamento de  embarcações do...
Economistas dizem que causa da alta da gasolina não é a política de preços da Petrobras|G1|01/09/2021|Em fevereiro, o presidente Bolsonaro anunciou a demissão de Roberto  Castello Branco do comando da Petrobras. O presidente se mostrava irritado  com Castello...
TIM e Petrobras projetam uso de constelação LEO após testes com Telesat|TELETIME News|01/09/2021|A TIM e a Petrobras estão planejando o uso de conectividade fornecida por  satélites de baixa órbita (LEO) após testes bem sucedidos ao lado da  operadora...
Combustíveis: fracasso em venda de refinaria acende sinal amarelo na Petrobras|Money Times|01/09/2021|A Petrobras (PETR4) fracassou na última semana ao tentar vender a refinaria  Abreu e Lima, comentaram o Itaú BBA, Ágora Investimentos e BTG Pactual em...
Ibovespa: fundo do poço pode ser uma queda até os 114.800 pontos|Money Times|01/09/2021|O primeiro fato pesa sobre as ações da Vale (VALE3); o segundo, sobre a  Petrobras (PETR3; PETR4). Trata-se “apenas” das empresas com a maior  participação no...
Petrobras pode perder R$ 13 bi com decisão do Senado sobre planos de saúde|CNN Brasil|02/09/2021|A Petrobras informou nesta quinta-feira (2) que avalia os impactos  financeiros da alteração sobre a coparticipação da empresa no custeio dos  planos de saúde...
Pré-sal: começa produção de volumes excedentes no Campo de Búzios|Agência Brasil|02/09/2021|A operadora do Contrato de Partilha de Produção de Búzios é a Petrobras,  com participação de 90%, tendo como parceiros as empresas CNODC Brasil  Petróleo e...
Coparticipação de plano de saúde da Petrobras será mantida em 40%|Valor Investe|02/09/2021|A Petrobras comunicou ao mercado há pouco que será mantida a coparticipação  de 40% dos beneficiários de seus planos de saúde durante a vigência do  atual...
Preço Justo: Ação solidária vende hoje botijão de gás a R$ 60 em cinco cidades do país|Pragmatismo Político|02/09/2021|Nesta quinta-feira (02/09), o Observatório Social da Petrobrás (OSP) e a  Federação Nacional dos Petroleiros (FNP) vão vender botijão de gás de  cozinha a R$...
'Skandi Achiever' da DOF permanecerá com a Petrobras até o ...|Portos e Navios|02/09/2021|A operadora de navios offshore norueguesa DOF Subsea obteve novo contrato  com a Petrobras. Após o recente acordo de três anos garantido para uma  dupla de...
Senado revoga resolução sobre planos de saúde de estatais; Petrobras (PETR4) e outras são prejudicadas|Suno|02/09/2021|No caso da Petrobras, a resolução permitiu à estatal reduzir o custeio dos  planos de saúde dos seus empregados. O resultado foi um ganho de R$ 13  bilhões no...
