title|media|date|desc
Empossado, Bolsonaro deixa o Congresso Nacional|Agência Brasil|01/01/2019|Caio Mário Paes de Andrade é o novo presidente da Petrobras ... Edifício  sede da Petrobras ... Petrobras reinicia processo de venda de três  refinarias.
‘Vamos desestatizar tudo que for possível, diz Doria em posse|Seu Dinheiro|01/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu.
Trecho crítico da BR-163 de Mato Grosso ao Pará será leiloado à iniciativa privada|Seu Dinheiro|01/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
BB diz que assina com União aditivo a contratos de crédito rural, receberá R$1,65 bi|Terra|01/01/2019|Notícias relacionadas · Veja também: · Recomendado para você · Lira ameaça  dobrar imposto sobre lucro da Petrobras · Governo recebe parcela de R$ 8,8  bi do lucro da...
EUA e China fazem escolhas protocolares para posse de Bolsonaro|Época Negócios|01/01/2019|Vital para a economia boliviana, o contrato se encerra em meados de 2019 e  a Petrobras já sinalizou que pretende cortar suas compras pela metade.
Carlos Moisés toma posse em SC propondo reforma administrativa|Money Times|01/01/2019|Queremos ser ágeis nos processos e fazer mais com menos, entregando os  serviços na medida e qualidade esperada pela população.” Leia também:  Petrobras.
Vigilante penitenciário é preso no Complexo Prisional de ...|Jornal Opção|01/01/2019|Embora não tenha recebido produtos com reajustes da Petrobras, companhias  definiram ... Mesmo com reajuste, Petrobras despenca 8,7% na Bolsa de  Valores...
Neymar curte réveillon rodeado de mulheres; confira a virada ...|ISTOÉ Independente|01/01/2019|Petrobras aprova Andrade como conselheiro e CEO · Ana Maria Braga mostra  solidariedade a Klara Castanho no 'Mais Você' · Aston Martin confia em  permanência de...
Morre a atriz Etty Fraser; corpo é velado em SP|ISTOÉ Independente|01/01/2019|Petrobras aprova Andrade como conselheiro e CEO · Ana Maria Braga fala  sobre o caso de Klara Castanho ao vivo na Globo: 'Sórdida' · Aston Martin  confia em...
João Doria toma posse como governador de São Paulo e ...|Poder360|01/01/2019|... Tarcísio diz que mudou domicílio como segue a lei, e Moro, não ·  Petrobras retoma processos de venda de 3 refinarias · Volkswagen dá férias  coletivas a...
Presidente do conselho de administração da Petrobras renuncia|Época Negócios|02/01/2019|O mesmo comunicado da Petrobras informa que também apresentou renúncia como  membro do conselho Francisco Petros Oliveira Lima Papathanasiadis, bem como  aos...
Apesar de queda na refinaria, preço da gasolina nos postos fecha 2018 em alta|Folha|02/01/2019|Após disparar em meados do ano, o preço da gasolina nas refinarias da  Petrobras entrou em trajetória de queda e fechou 2018 14,3% menor do que o  verificado...
As ações que devem pagar bons dividendos em 2019|Seu Dinheiro|02/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
Marisete Dadald é nomeada secretária-executiva do MME|EPBR|02/01/2019|Comandava a Assessoria Econômica do Ministério de Minas e Energia e está no  Conselho Fiscal da Petrobras desde 2011. Em setembro, a agência Infra fez  um...
No 1º pregão do governo Bolsonaro, Ibovespa atinge máxima ...|Poder360|02/01/2019|Sabesp subiu 9,11%, Cielo 8,32% e Petrobras, 6,08%. o Poder360 integra o  the trust project. saiba mais. autores Poder360 enviar e-mail Poder360.
Elite divulga carteiras recomendada, de dividendos e small caps para janeiro|Money Times|02/01/2019|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
Bradesco substitui Tim por Banco ABC em carteira de dividendos|Money Times|02/01/2019|... Bradesco (BBDC4) ou BB (BBAS3)? Por dividendos, uma empresa é melhor  agora, diz BBA · CVC (CVCB3), Petrobras (PETR4) e outras empresas para  ficar de...
Fluxo cambial foi negativo em US$ 12,756 bilhões em dezembro, maior desde 2014|Seu Dinheiro|02/01/2019|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal. Menu.
Cardeal brasileiro diz que Igreja acoberta abusos desde 1943 ...|IstoÉ|02/01/2019|Bolsonaro reage, sugere CPI sobre Petrobras e chama reajuste de  inconcebível ... Bolsonaro reage, sugere CPI sobre Petrobras e chama  reajuste de...
Paulo Guedes quer encolher o Estado como nunca antes na história do país|El País|02/01/2019|Roberto Castello Branco que irá presidir a Petrobras, Rubem Novaes,  responsável pelo Banco do Brasil, e Levy, o novo presidente do BNDES, foram  os primeiros...
Castello Branco toma posse na presidência da Petrobras e critica monopólios: 'Inadmissíveis'|G1|03/01/2019|O novo presidente da Petrobras, Roberto Castello Branco, criticou a  existência de monopólios e defendeu menor intromissão do Estado na economia  ao tomar...
Bolsonaro anuncia concessões de portos, ferrovia e aeroportos|Negócios|03/01/2019|A estratégia é privatizar os ativos públicos - admite-se até a privatização  da Petrobras - para reduzir o endividamento público.
Banco Inter faz sua primeira emissão de LIG, no valor de R$ 12 milhões|Seu Dinheiro|03/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis · Banco Inter faz sua primeira emissão de LIG,  no valor de...
XP Investimentos indica 5 ações em Carteira Longo Prazo|Money Times|03/01/2019|... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, não há mais · Celulose é o novo minério de ferro?
Presidente chinês diz que está disposto a trabalhar com Bolsonaro|Seu Dinheiro|03/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis ... Brasil e China unidos? Presidente chinês  diz que está...
A partir de março, Rio não terá mais voos diretos para Nova ...|Poder360|03/01/2019|Petrobras retoma processos de venda de 3 refinarias · Virgin Orbit vai  lançar nova subsidiária no Brasil · Argentina limita acesso de empresas a  mercado de...
Bradesco indica lista Top 10 e 5 ações arrojadas para janeiro|Money Times|03/01/2019|A carteira arrojada, que possui uma maior chance de ganho em uma alta da  bolsa, contou com duas mudanças. Deixam a lista os papéis da Suzano (SUZB3)  e Petrobras...
XP Investimentos renova portfólio de 10 ações para janeiro|Money Times|03/01/2019|No momento atual de volatilidade, o movimento pretende reduzir o risco da  carteira”, aponta a avaliação. A Petrobras (PETR4) teve o seu peso na  carteira cortado...
Ferrari homenageia Schumacher: 'Estamos com você' - ISTOÉ ...|IstoÉ|03/01/2019|Comitê da Petrobras aprova nome de Caio Andrade para presidência ... Comitê  aprova Andrade para presidência da Petrobras; falta respaldo do conselho.
Telebras tem alta de mais de 8% com permuta relacionada a cabo submarino|Money Times|03/01/2019|... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio...
Presidente da Petrobras nomeia novos diretores para estatal|Agência Brasil|04/01/2019|O novo presidente da Petrobras, Roberto Castello Branco, que tomou posse  ontem (3), nomeou novos diretores para a estatal. A informação foi  divulgada em...
Petrobras admite vazamento de óleo na Bacia de Campos|VEJA|04/01/2019|A Petrobras sustenta, ainda, que a plataforma “já se encontrava com a  produção interrompida desde julho de 2018 para processo de  descomissionamento (desativação...
Petrobras: 4.900 litros de óleo vazaram para o mar no Rio de Janeiro|Metrópoles|04/01/2019|A Petrobras informou que fez uma nova estimativa do vazamento de óleo no  mar, na Bacia de Campos, a 130km da costa do Rio de Janeiro.
Gasolina atinge o menor preço nas refinarias nos últimos 15 ...|Correio Braziliense|04/01/2019|A Petrobras reduziu para R$ 1,4537 o valor cobrado pelo litro do  combustível nas refinarias. O preço é o menor dos últimos 15 meses.
Apple perde US$ 72,4 bilhões em valor de mercado na maior queda de 5 anos|Seu Dinheiro|04/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis · Apple perde US$ 72,4 bilhões em valor de  mercado na...
Matheus & Kauan lança música 'Cerveja, sal e limão'|Correio Braziliense|04/01/2019|Últimas Notícias · Comitê de Elegibilidade da Petrobras se reúne na sexta  para analisar Caio Paes · Depósito pega fogo em Santa Maria; Dono diz que  incêndio foi...
3 fatos que pais deveriam saber sobre os benefícios do jogo da memória|Noticias ao Minuto|04/01/2019|"Petrobras: ""Tinha mensagens que podiam incriminar Bolsonaro"". Política  Brasil Há 7 Horas. Petrobras: ""Tinha mensagens que podiam incriminar  Bolsonaro""..."
Marcelo Yuka, ex-integrante d'O Rappa, está em internado em ...|Correio Braziliense|04/01/2019|Petrobras perde R$ 27,3 bi em valor de mercado em apenas um dia. Only  murders in the building estreia nova temporada repetindo fórmula de forma  certeira...
Preço médio de venda residencial cai em 2018, segundo Índice FipeZap|Money Times|04/01/2019|Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Curitiba, Distrito Federal...
Débito ou crédito? Vale a pena investir nas donas das maquininhas de cartões?|Seu Dinheiro|04/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu.
Presidente da Petrobras indica 3 novos nomes para diretorias da estatal|VEJA|05/01/2019|O presidente da Petrobras, Roberto Castello Branco, nomeou três novos  diretores para a estatal. A informação foi divulgada em comunicado pela  empresa na...
De volta para o futuro? Por que você deve investir na bolsa em 2019|Seu Dinheiro|05/01/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
Vítima de acidente com quatro mortos é transferida de avião a ...|O Presente|05/01/2019|Vítima de acidente com quatro mortos é transferida de avião a Curitiba ·  Navegação de Post · Petrobras, eleições e os brasileiros · Líder dos  caminhoneiros...
15 empresas para ficar de olho em 2019|Época Negócios|05/01/2019|Petrobras Depois de estar no centro de um escândalo político que deu início  à Operação Lava Jato, a Petrobras é a única empresa de origem brasileira na  lista da...
Desfiles da Abertura Não-Oficial do Carnaval do Rio|Diário do Rio|05/01/2019|E, você já sabe, a Agenda dos Blocos de Rua do Rio em 2019 já foi  publicada. Programação 11:00- Escadaria da Lavradio/Petrobras – FANFARRA  BLACK CLUBE 13:00-...
Atriz argentina 'brinca' com gafe de Michelle Bolsonaro: 'No Brasil sou Eva Perón'|Yahoo Notícias|05/01/2019|Lula e Ciro criticam política de preços da Petrobras, assim como Bolsonaro;  veja reação de candidatos. há 26 minutos. Folhapress...
