title|media|date|desc
Petrobras decide hibernar fábricas de fertilizantes|Estado de Minas|01/02/2019|A Petrobras informa que iniciou o processo de hibernação da fábrica de  fertilizantes em Sergipe (Fafen-SE) e que segue com o processo licitatório  para...
Petrobras reduz em 0,99% o preço da gasolina nas refinarias|VEJA|01/02/2019|O valor vai passar de 1,4907 reais para 1,4758 reais. O custo do óleo  diesel foi mantido pela petroleira em 2,0198 reais. A política de preços da  Petrobras leva...
Petrobras inicia produção da plataforma P-67 no Campo de Lula - Bem Paraná|Bem Paraná|01/02/2019|A Petrobras informa que iniciou hoje, com os seus parceiros do Consórcio  BM-S-11, a produção de petróleo e gás natural, por meio da plataforma  P-67,...
Dissecando o RFI da Petrobras: descomissionamento de ...|EPBR|01/02/2019|Neste artigo, irei tecer minhas considerações acerca da RFI para  descomissionamento de boias de sustentação de risers (BSR) e monoboias. ++  Petrobras consulta...
BB-BI aposta em CSN, MRV, GPA e Petrobras em carteira recomendada de fevereiro|ADVFN|01/02/2019|No portfólio principal, destaque para as entradas de CSN, MRV, Pão de  Açúcar e Petrobras, nos lugares de CCR (CCRO3), Magazine Luíza, Suzano  (SUZB3) e Taesa...
Incêndio na Petrobrás pode ter atingido materiais radioativos|Portal Tempo Novo|01/02/2019|O depósito de materiais da Petrobrás no TIMS que pegou fogo entre a tarde  de domingo (27) e a noite da última segunda-feira (28) pode ter queimado  produtos...
Petrobras lança licitação para embarcação de apoio à ...|CPG Click Petroleo e Gas|01/02/2019|A Petrobras lançou uma nova licitação para o afretamento de uma embarcação  de apoio a mergulho raso para auxiliar nas operações no estado do Espírito  Santo,...
Em alta velocidade! Valor de mercado das 5 maiores estatais aumenta quase R$ 90 bilhões só em janeiro de 2019|Seu Dinheiro|01/02/2019|As privatizações ainda não aconteceram, mas já rendem bilhões para quem  investiu nas ações das cinco maiores estatais brasileiras – Eletrobras,  Petrobras,...
Mangaratiba suspende interdição do terminal da Vale, mas ...|EPBR|01/02/2019|Petrobras não garante demanda atípica das distribuidoras para novembro ...  Petrobras distribui dividendos recordes, que entram na mira do Congresso  para...
A estrada não percorrida: faça do seu jeito, mas faça com cuidado|Seu Dinheiro|01/02/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu.
Chanceler viaja aos EUA para preparar encontro de Bolsonaro e Trump|Seu Dinheiro|02/02/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu.
Justiça solta seis suspeitos de fraudes|Correio Braziliense|02/02/2019|Últimas Notícias · Comitê de Elegibilidade da Petrobras se reúne na sexta  para analisar Caio Paes · Depósito pega fogo em Santa Maria; Dono diz que  incêndio foi...
Servidor com salário atrasado pode ser penalizado por atraso ...|Jornal Opção|02/02/2019|Chegou a hora de tirar a máscara da Petrobrás  https://www.jornalopcao.com.br/bastidores/chegou-a-hora-de-tirar-a-mascara-da-petrobras-406451/  …
O catolicismo na Península Arábica|ISTOÉ Independente|02/02/2019|Conselho aprova Caio de Andrade para presidência da Petrobras. Geral 14:47  ... Ibovespa flerta com 101 mil pontos apoiado em Vale e Petrobras.
Filho de João de Deus é preso em Goiás|ISTOÉ Independente|02/02/2019|Petrobras aprova Andrade como conselheiro e CEO ... Correção: Conselho da  Petrobras aprova Paes de Andrade presidente da empresa.
Bolsonaro passa mal no 5º dia após a cirurgia; filho Carlos fala em recaída|UOL Notícias|02/02/2019|Bolsonaro consolida a intervenção na Petrobras. 28/06/2022 09h20 · Estadão  Conteúdo ... Bolsonaro agrava escândalos de MEC, PF e Petrobras. 28/06/2022  08h08.
Impacto de meteorito é registrado em Cuba|Epoch Times|02/02/2019|EX-GUERRILHEIRO SOCIALISTA PETRO ELEITO NA COLÔMBIA; TROCA NO COMANDO DA  PETROBRAS - JNTD 20/06/22. Info. Shopping. Tap to unmute...
Imóveis podem ser considerados uma forma de investimento?|Money Times|02/02/2019|... Gasolina e etanol têm primeira queda de preço depois de três meses de  altas · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol  nas...
Renan retira candidatura à Presidência: “Este processo não é ...|Senado Federal|02/02/2019|Aprovação do nome de Caio Paes de Andrade para presidir Petrobras na Coluna  ... Aprovação do nome de Caio Paes de Andrade para presidir Petrobras na  Coluna...
Davi Alcolumbre é o novo presidente do Senado|Senado Federal|02/02/2019|Aprovação do nome de Caio Paes de Andrade para presidir Petrobras na Coluna  ... Aprovação do nome de Caio Paes de Andrade para presidir Petrobras na  Coluna...
Pasadena, a realidade dentro da ideologia, por André Araujo|Jornal GGN|03/02/2019|A direita raivosa usou a compra da refinaria de Pasadena no Texas, pela  Petrobras, como simbolo máximo de mau negócio causado pela corrupção.
Importação de diesel cai 10% e de gasolina 34% em 2018|Economia & Negócios|03/02/2019|A queda pode ser explicada pelo aumento do consumo de etanol no País. A  política de preços dos derivados de petróleo da Petrobras, monopolista no  setor de...
Que tal colocar uma cesta (de ações) de maconha na sua carteira?|Seu Dinheiro|03/02/2019|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal ... Oportunidades à vista! Que tal colocar uma cesta (de ações) de  maconha na sua...
Alto escalão: Karla Bertocco, ex-Sabesp, vai para o BNDES|Economia & Negócios|03/02/2019|Petrobras. A Petrobras fará nova indicação para a diretoria de Estratégia,  Organização e Sistema de Gestão, já que Lauro Cotta, alegou motivos  particulares...
Gustavo Kahil: Em Brasília, ninguém dorme na balada|Money Times|03/02/2019|Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, não há mais · Gasolina e etanol têm primeira queda de preço depois  de três...
Católicos se animam com visita do papa aos Emirados ...|ISTOÉ DINHEIRO|03/02/2019|Comitê aprova Andrade para presidência da Petrobras; falta respaldo do  conselho. Giro 20:35. Aprovação de Andrade para presidente da Petrobras é  dada como...
Há dois anos, morria dona Marisa Letícia, em São Paulo|O POVO|03/02/2019|... em 2016, ré em duas ações na Operação Lava Jato, que investiga esquema  bilionário de desvio e lavagem de dinheiro envolvendo a Petrobras.
Co-fundador da Tim Hortons, Ron Joyce, morre aos 88 anos|Epoch Times|03/02/2019|EX-GUERRILHEIRO SOCIALISTA PETRO ELEITO NA COLÔMBIA; TROCA NO COMANDO DA  PETROBRAS ... Gustavo Petro foi eleito o próximo presidente da Colômbia. A  vitória do ex-...
Escritor Flávio Gordon vence Facebook em ação na justiça|Boletim da Liberdade|03/02/2019|Pressionado, presidente da Petrobras renuncia ao posto ... Segundo Gordon,  o post era uma piada “sobre o duplo padrão da militância LGBT, que  escarnece da Igreja...
Gleisi: Governo brasileiro volta a ser comandado por militares ...|Blog do Esmael|03/02/2019|... 20:55; Celular bomba: O que dizem as mensagens do ex-presidente da  Petrobras que incriminam Bolsonaro 27 de junho de 2022, 19:28; Requião:  Matinhos está...
Petrobras aumenta preço do gás de cozinha|Diário da Região|04/02/2019|O Sindicato Nacional das Indústrias Distribuidoras de Gás Liquefeito de  Petróleo (Sindigás) informou que a Petrobras anunciou o aumento do GLP  Residencial...
Petrobras lança licitação para três sondas de perfuração|Click Petróleo e Gás|04/02/2019|A Petrobras está solicitando unidades de ancoragem para operar no Brasil em  atividades offshore nas Bacias de Campos e Santos.
Moradores de Laranjeiras passam mal e suspeitam de ...|Infonet|04/02/2019|A Petrobras informou, por meio de nota enviada pela assessoria de imprensa,  que tomou conhecimento de reclamações dos moradores do povoado Bom Jesus e  garante...
Renúncias previdenciárias vão tirar R$ 54 bilhões dos cofres do INSS em 2019|Seu Dinheiro|04/02/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
Gás de cozinha fica mais caro|Jornal da Região|04/02/2019|O botijão de até 13 quilos de gás liquefeito de petróleo (GLP) residencial  recebeu novo preço médio, pela Petrobras. A partir desta terça-feira (5),...
Bolsa de Valores nos anos 90: gritaria, muvuca e calças bag|InfoMoney|04/02/2019|Em 1990, por exemplo, a Petrobras possuía um valor de mercado de US$ 2,7  bilhões. O montante subiu para cerca de US$ 17,5 bilhões em 1997 e neste  ano a...
Desligue o Netflix e ligue a TV Senado|Seu Dinheiro|04/02/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu. Seu Dinheiro. Últimas Notícias.
Vale vai adotar medidas judiciais contra paralisia de operação em mina|Money Times|04/02/2019|... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio...
Investi os recursos do FGTS em fundos da Vale. E agora?|O Globo|04/02/2019|... era vender suas ações na Vale e, ao mesmo tempo, popularizar os  investimentos em Bolsa no país. O mesmo mecanismo foi usado para ações da  Petrobras.
Muriaé passa a ter a gasolina mais barata de Minas Gerais|Guia Muriaé|04/02/2019|Petrobras reduz preço da gasolina em 1% nas refinarias ... Já o preço do  litro do óleo diesel foi mantido em R$ 2,0198, segundo a Petrobras.
Petrobras aumenta preço da gasolina em 1,57%|G1|05/02/2019|A Petrobras anunciou aumento de 1,57% no preço médio da gasolina nas  refinarias. Com isso, o preço médio do litro da gasolina passará de R$  1,4758 para R$ 1...
Botijão de gás tem novo aumento de preço a partir de hoje|O Imparcial|05/02/2019|Reajuste trimestral ocorre desde janeiro de 2018, Petrobras estabeleceu  reajuste de 1,0% a partir de hoje no preço do gás de cozinha. Gás de  cozinha tem aumento...
Gás sobe e preço do botijão fica mais caro a partir desta terça-feira|Cidade Marketing|05/02/2019|O Sindigás calcula que o valor do GLP empresarial está 13,4% acima do GLP  para embalagens até 13 quilos. Petrobras Em nota, a Petrobras informou que  a alta será...
Gás de cozinha fica mais caro a partir desta terça (05)|sãobernardo.info|05/02/2019|De acordo com a Associação Brasileira dos Revendedores de GLP, o aumento  praticado pela Petrobras foi de R$ 0,26 na origem, mas o repasse aos  revendedores varia...
Reinjeção de gás na exploração de petróleo cresce 40% em ...|Diario de Pernambuco|05/02/2019|Os poços de petróleo, sobretudo os do pré-sal, têm uma quantidade grande de  gás, mas, sem mercado, a Petrobras tem duas alternativas: queimar,...
Do you wanna dance?|Seu Dinheiro|05/02/2019|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal. Menu.
Bolsa cairá muito em caso de frustração com reforma da Previdência, diz Itaú|Seu Dinheiro|05/02/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu.
Bolsonaro diz estar com saúde em “plena evolução”|Seu Dinheiro|05/02/2019|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal. Menu.
Trafigura armazena e-mails de Mariano Marcondes Ferraz|VEJA|05/02/2019|... organizaram um esquema de corrupção e lavagem de dinheiro em 31  operações de compra e venda de petróleo e derivados da empresa com a  Petrobras.
Acusada de sequestro, Damares publica foto com pais da ...|Poder360|05/02/2019|Deputado diz que tem 65 assinaturas para a CPI da Petrobras · Mourão  divulga vaquinha para campanha a senador · “Se não deve, investiga”, diz  Bolsonaro...
Orquestra Petrobras Sinfônica apresenta versão inédita do “Black Album”, do Metallica|Diário do Rio|06/02/2019|O disco de maior sucesso na trajetória da banda norte-americana Metallica,  “Black Album”, lançado em 1991, será a próxima aposta da Orquestra  Petrobras...
Reajuste do preço do gás de cozinha fica entre 0,5% e 1,4 ...|Correio Braziliense|06/02/2019|A Petrobras anunciou, na segunda-feira (4/2), o aumento no preço do botijão  de gás de cozinha de 13kg (GLP residencial). O produto, que estava sendo...
TechnipFMC ganha da Petrobras um grande contrato para 13 poços em Mero 1|CPG Click Petroleo e Gas|06/02/2019|A TechnipFMC recebeu da Petrobras um grande contrato de engenharia,  aquisição, construção e instalação (EPCI) para o campo do pré-sal Mero 1,  localizado na...
Há provas de sobra contra Lula no caso do sítio, mas elo com Petrobras é frágil|Folha|06/02/2019|“Eu não fiz nenhuma tratativa, direta ou indireta, com o presidente Lula  envolvendo contratos da Petrobras”, afirmou o ex-presidente da Odebrecht em  depoimento.
O que é regime de capitalização da Previdência, afinal?|Seu Dinheiro|06/02/2019|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis · O que é regime de capitalização da  Previdência, afinal?
