title|media|date|desc
Plataformas de petróleo impactaram balança comercial em maio|Agência Brasil|01/06/2020|Embora operem no país, essas plataformas estavam registradas em  subsidiárias da Petrobras no exterior. Com a migração para o regime  aduaneiro especial...
Petrobras avança processo de venda de campos de petróleo na Bacia de Camamu, Bahia|CPG Click Petroleo e Gas|01/06/2020|A Petrobras é a operadora do campo de petróleo, com 35%, em parceria com a  Enauta (45%), E&P de Petróleo e Gás Ltda. (10%) e Brasoil Manati. (10%).
Petrobras coloca à venda blocos de exploração de petróleo no ES|A Gazeta|01/06/2020|OPERAÇÃO E PARTICIPAÇÃO. Atualmente, a Petrobras tem participação nesses  blocos em consórcios com a norueguesa Equinor (antiga Statoil) além das  petroleiras...
Preço da gasolina cai 5,15% em maio afetado por medidas contra Covid-19, diz  ValeCard|Money Times|01/06/2020|No acumulado de 2020, contudo, a gasolina da Petrobras ainda registra queda  de cerca de 31%, de acordo com dados da petroleira, enquanto nos postos a  redução...
ConJur - Acordo de leniência afasta ação de improbidade, diz ...|Consultor Jurídico|01/06/2020|Na ação, ajuizada em 2017, a AGU pedia que a UTC reparasse a Petrobras por  irregularidades durante a assinatura de contratos com estatal.
BB Investimentos realiza 3 mudanças em atualização de carteira recomendada para junho|Money Times|01/06/2020|... e Pão de Açúcar (PCAR3) deixaram o portfólio, o que permitiu a entrada  das ações da Transmissão Paulista (TRPL4), Multiplan (MULT3) e Petrobras  (PETR4).
Cardano valoriza 58% na última semana de maio Por ...|Investing.com|01/06/2020|Bolsonaro afirma que Petrobras terá nova dinâmica sobre combustíveis com  Andrade ... Petrobras PN · Vale ON · Usiminas PNA · Gerdau PN...
Opep e Rússia discutem ampliar duração de acordo sobre cortes de produção|Valor Investe|01/06/2020|Mais lidas do valor-investe. 1. Bolsas e índices. Apesar dos pesares,  Petrobras (PETR3; PETR4) salva o dia do Ibovespa.
As ações mais indicadas pelas corretoras para junho ...|E-Investidor|01/06/2020|Petrobras e Vale renovam o favoritismo, pois tendem a se beneficiar com a  retomada da economia de mercados que consomem suas commodities,...
Exportações de soja, açúcar, café e petróleo do Brasil disparam em maio|Money Times|01/06/2020|... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, ... Petrobras (PETR4), dividendos e mais: Veja os destaques da  semana no...
Produção de petróleo segue estável e fecha em 2,958 ...|EPBR|02/06/2020|Campos operados pela Petrobras, em consórcio ou não, produziram 94,9% do  ... No começo de abril, a Petrobras anunciou que ampliou em 100 mil barris  por dia...
Direto ao ponto: comprar ou não comprar dólar?|Seu Dinheiro|02/06/2020|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis. Menu.
Relatório contra fake news propõe pena de até 5 anos para ...|Poder360|02/06/2020|... Líder petista apoia CPI da Petrobras sugerida por Bolsonaro · Pacheco  diz que não há separação entre governo e Petrobras · PT posta foto antiga  de...
Devolva o brilho à pele com uma máscara caseira de laranja e mel|Noticias ao Minuto|02/06/2020|"Petrobras: ""Tinha mensagens que podiam incriminar Bolsonaro"". Política  Brasil Há 6 Horas. Petrobras: ""Tinha mensagens que podiam incriminar  Bolsonaro""..."
Bolsonaro entrega cargos a caciques investigados no ...|UOL Notícias|02/06/2020|Petrobras pagará R$ 32 bi ao governo até julho; como esse valor será usado?  ... Bolsonaro exonera Caio Andrade após secretário ser aprovado na  Petrobras.
7 alimentos que você não deve comprar em supermercados|Noticias ao Minuto|02/06/2020|"Petrobras: ""Tinha mensagens que podiam incriminar Bolsonaro"". Política  Brasil Há 6 Horas. Petrobras: ""Tinha mensagens que podiam incriminar  Bolsonaro""..."
