title|media|date|desc
Partidos de oposição criticam projeto da nova lei do gás ...|Câmara dos Deputados|01/09/2020|Para o deputado Carlos Zarattini (PT-SP), o projeto é negativo porque tira  poderes da Petrobras. “O projeto não discute infraestrutura, mas tem o  único...
Câmara rejeita todas emendas e aprova nova Lei do Gás|Valor Econômico|01/09/2020|Mas um futuro governo, que não for privatista, terá que mudar a lei para a  Petrobras voltar a atuar nessa área”, criticou. O relator do projeto,  deputado...
Câmara aprova nova Lei do Gás; texto vai ao Senado|Poder360|01/09/2020|O governo federal também estimula mudanças nas regulações do setor nos  Estados e a saída da Petrobras do segmento de destruição e transporte de  gás.
Refinarias da Petrobras apresentam queda na carga global de processamento de petróleo nos últimos dias|CPG Click Petroleo e Gas|01/09/2020|De acordo com dados do MME, a capacidade de utilização das refinarias da  Petrobras apresentou uma redução de 82% para 78,7%, valor registrado no  último domingo...
3R Petroleum pede registro para IPO e foca ativos da ...|Investing.com|01/09/2020|Com os recursos, a companhia comprou da Petrobras campos de exploração no  Rio Grande do Norte: Macau, Aratum, Serra, Salina Cristal, Porto Carão,...
Gigantes do petróleo enfrentam o desafio da adaptação à economia verde|Exame|01/09/2020|A Petrobrás, porém, se alinhou a companhias norte-americanas e tem  preferido focar em projetos de redução de emissão de carbono. A estatal tem  só uma usina...
Ministro do TCU Vital do Rêgo vira réu por corrupção e lavagem de dinheiro na Justiça do Paraná|O Globo|01/09/2020|Procuradores acreditam que Vital do Rêgo recebeu vantagens indevidas para  enterrar a CPMI da Petrobras no Senado Foto: Antonio Cruz / ABr.
Tem como investir em ações com pouco dinheiro, mas é mais ...|UOL Economia|01/09/2020|Se um investidor compra ações da Petrobras a R$ 22 e decide vender quando  ela atinge R$ 30, essa cotação é a que vai valer no lote padrão. Mas no  mercado...
Símbolo da Lava Jato, Deltan Dallagnol deixa a força-tarefa em meio a dúvidas sobre o futuro da operação|El País|01/09/2020|Com a saída anunciada, quem assumirá o posto de comandar as investigações  do esquema de corrupção na Petrobras é Alessandro José Fernandes de  Oliveira,...
Em Pernambuco, Tabata Amaral faz live com Andrea de ...|Folha PE|01/09/2020|Interferência do governo na Petrobras para frear aumento de diesel e  gasolina deixa estatal à deriva. Rússia bombardeia capital da Ucrânia antes  de cúpula...
Petrobras anuncia redução de 3% no preço da gasolina e 6% no do diesel|Correio Braziliense|02/09/2020|A Petrobras anunciou, nesta quarta-feira (2/9), mais um reajuste nos  combustíveis. Desta vez, a gasolina terá redução de 3% e o diesel, de 6%.
Nova Lei do Gás: o que dizem defensores e críticos do projeto|Carta Capital|02/09/2020|Os gasodutos existentes são controlados pela Petrobras. Para expandir a  malha de transporte do gás natural, o governo aposta em facilitar a entrada  de empresas...
Altas sucessivas elevam o preço do gás a até R$ 73,00 em Santa Cruz|GAZ|02/09/2020|Último reajuste da Petrobras, na semana passada, fez o valor subir 5%.  Restaurantes adaptam alternativas ao uso do produto.
Posto de São Paulo clonou identidade visual dos Postos ...|Blog do Caminhoneiro|02/09/2020|O Posto Xaranga, do centro de São Paulo, foi processado pela BR  Distribuidora por ter clonado a identidade visual dos postos da rede  Petrobrás.
Empresa de helicópteros de apoio offshore com base em Macaé se funde com gigante global, muda de nome e vai otimizar operações a Petrobras e outras operadoras petrolíferas no Brasil|CPG Click Petroleo e Gas|02/09/2020|Com a recente demanda da Petrobras e outras operadoras no Brasil por  logística aérea, essa fusão poderá trazer muitos benefícios e investimentos  nacionais.
O onshore do Brasil acaba de ganhar mais três campos de petróleo comerciais|CPG Click Petroleo e Gas|02/09/2020|À serviço da Petrobras, SBM contrata para vagas offshore nos FPSO's ...  Petrobras concretiza venda de 27 campos de petróleo no ES para Karavan O&G  e...
Ex-tesoureiro do PT absolvido de sentença de Moro quer retomar carreira política|GZH|02/09/2020|Paulo Ferreira, condenado em primeira instância pela 13ª Vara Federal de  Curitiba, sob acusação de recebimento de propinas da Petrobras, diz que  decisão do TRF4...
Lenda da NBA Michael Jordan aposta na DraftKings, ações sobem 7%|SpaceMoney|02/09/2020|Ibovespa fecha estável, abaixo dos 100 mil pontos com Petrobras e Vale;  dólar avança 0,8% ... (RECV3) e PetroRio (PRIO3) caem até 10%, com  Petrobras (PETR4).
Vale entra em carteira recomendada mensal de dividendos da Necton|Money Times|02/09/2020|Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Bradesco, BTG Pactual...
Sem contrato, viaturas e ambulâncias têm abastecimento limitado no RN|G1|02/09/2020|"... em outro posto"" de Natal desde 1 de agosto, ""mediante contrato de  doação celebrado entre a Petrobrás e o Governo do Estado ainda em julho""."
Dinheiro norueguês vai financiar produção de petróleo no Norte do ES|A Gazeta|03/09/2020|Já foi feito um investimento vultuoso por parte da Petrobras nesses campos  e agora precisa ser feito investimento adicional. O volume vai depender da  análise...
Porto de Macaé é autorizado a receber embarcações de grande porte da Petrobras|CPG Click Petroleo e Gas|03/09/2020|Petrobras colocou avisos para evitar acidentes no Porto de Macaé. A fim de  evitar possíveis acidentes, logo depois de anunciar que o tamanho dos  navios...
Rotas existentes garantem escoamento do pré-sal por seis ...|EPBR|03/09/2020|O Rota 3 está sendo construído pela Petrobras para interligar a produção de  gás do pré-sal da Bacia de Santos com a unidade de processamento (UPGN)  do...
Petrobras recebe nesta quinta-feira propostas para o gerenciamento do Projeto Búzios 5|Click Petróleo e Gás|03/09/2020|A empresa vencedora da licitação também vai auxiliar a Petrobras com  serviços de diligenciamento do sistema submarino do projeto Búzios 5.
Empresas de refino se beneficiam da baixa do petróleo para lucrar na crise|Economia & Negócios|03/09/2020|No Brasil, a Petrobrás registrou receita de refino de R$ 44,3 bilhões, mas  prejuízo de R$ 3 bilhões. Apesar do custo por barril na produção de  derivados ter...
Governo apresenta hoje proposta enxuta da reforma administrativa|Exame|03/09/2020|Veja Também · Petrobras (PETR4) segue na mira do governo mesmo após  renúncia do CEO; ADRs caem 4% · Por diesel, ofensiva dos caminhoneiros  sobre governo volta a...
Embraer vai demitir 2.500 funcionários nas fábricas do Brasil|Poder360|03/09/2020|Petrobras retoma processos de venda de 3 refinarias · Virgin Orbit vai  lançar nova subsidiária no Brasil · Argentina limita acesso de empresas a  mercado de...
Macaé conta com vagas offshore abertas pela empresa prestadora de serviços no ramo de petróleo e gás JG Engenharia, neste dia 03|CPG Click Petroleo e Gas|03/09/2020|Tem como principais clientes a Petrobras e Transpetro. Pratica sempre a  excelência na execução dos serviços. A empresa destaca a constante busca  pela...
Governo endurece regras para ter auxílio emergencial. Veja mudanças|Exame|03/09/2020|CPI da Petrobras (PETR4) 'não vai andar', diz Mourão sobre pressão ... CPI  da Petrobras (PETR4) 'não vai andar', diz Mourão sobre pressão de Bolsonaro.
Reforma administrativa não atinge militares, magistrados e parlamentares|Correio Braziliense|03/09/2020|Maior acionista, governo recebe mais R$ 8,8 bi do lucro da Petrobras ...  Lira volta a criticar a Petrobras e diz que País vai enfrentar estatal.
