title|media|date|desc
Petrobras vende áreas de produção e abre espaço para empresas menores investirem R$ 10,6 bi|O Globo|01/12/2020|Petrobras vende áreas de produção e abre espaço para empresas menores  investirem R$ 10,6 bi. BW Energy, Perenco e Trident compraram 14 campos nos  quais a...
Petrobras espera concluir venda da Liquigás ainda este mês|Valor Econômico|01/12/2020|A executiva falou durante o Petrobras Day, apresentação do plano de  negócios da petroleira para os investidores internacionais. A estatal  assinou contrato para...
Castello Branco: Vamos concluir venda das 8 refinarias em ...|BiodieselBR.com|01/12/2020|O presidente da Petrobras, Roberto Castello Branco, afirmou nesta  segunda-feira, 30, que mesmo com os atrasos causados pela pandemia de  covid-19,...
Petrobras prioriza cortes de carbono enquanto Equinor mira renováveis no Brasil|Notícias RIC Mais|01/12/2020|Roberto Castello Branco já afirmou diversas vezes que a Petrobras não  possui vantagem comparativa em renováveis e que diversas metas ambientais  estabelecidas...
O vídeo da Petrobras que milhares de funcionários ‘não curtiram'|Blogs|01/12/2020|A Petrobras postou nos últimos dias, no Youtube, um vídeo publicitário  tecendo loas à sua própria estratégia de vender ativos. Tem sido um sucesso  de...
MPF ajuíza ação de improbidade contra multinacional do ...|Consultor Jurídico|01/12/2020|De acordo com a ação, os ex-funcionários da Petrobras teriam recebido o  equivalente a R$ 6,86 milhões para favorecer a Trafigura em operações que  envolveram...
Óleo combustível fica mais caro que diesel e afeta cabotagem|Folha|01/12/2020|A Petrobras vem vendendo óleo diesel a preços menores do que o cobrado pelo  óleo combustível (OC) e pelo asfalto, produtos menos nobres e que, por  isso,...
Grande cortina de fumaça na plataforma da Petrobras Cherne-2 assusta petroleiro ao ponto de pensar que a unidade estava em chamas|Click Petróleo e Gás|01/12/2020|Procedimento normal em qualquer plataforma de produção, inclusive de  unidades Petrobras, a queima do gás acontece quando não é possível  processa-lo,...
Aprenda o que é o come-cotas nos fundos de investimentos|Eu Quero Investir|01/12/2020|Radar traz Petrobras (PETR4), Embraer (EMBR3) e Braskem (BRKM5) · Futuros  de NY sobem e demais mercados operam em terreno positivo; tendência se  mostra de...
Como a França pretende reduzir a dependência da soja do Brasil e dos EUA|Exame|01/12/2020|CPI da Petrobras (PETR4) 'não vai andar', diz Mourão sobre pressão ... CPI  da Petrobras (PETR4) 'não vai andar', diz Mourão sobre pressão de Bolsonaro.
