title|media|date|desc
Pré-sal: Centro Oeste fica com R$ 1 bilhão dos recursos da cessão onerosa|Correio Braziliense|01/01/2020|O dinheiro que será distribuído veio do leilão de petróleo da cessão  onerosa, contrato feito pela União com a Petrobras, que permitiu que a  estatal explorasse 5...
Preço do etanol fecha 2019 em alta de 11,5% nas bombas|Diario de Pernambuco|01/01/2020|O diesel foi o segundo combustível com maior alta no ano passado, de 8,7%,  motivada por reajustes promovidos pela Petrobras no preço de refinaria –até  15 de...
"Série ""Cineastas"" e mais dicas para curtir na TV nesta quarta-feira"|GZH|01/01/2020|Cosmatos; e, por fim, às 23h15min, Rambo III (1988), de Peter MacDonald.  Especial Lenine e Petrobras Sinfônica - TV Brasil, 22h. Concerto especial  com o...
Feriados em 2020: 11 datas serão em dias da semana e comércio pode perder R$ 11,8 bi|Money Times|01/01/2020|O dia 29 de fevereiro cairá em um sábado. Veja o calendário de feriados:  Leia também: Petrobras.
O incêndio que matou quase todos os macacos em um zoológico da Alemanha|BBC|01/01/2020|Principais notícias. Como a Petrobras virou tema central das eleições. em  11 horas. Como funciona o rigoroso sistema de pontos para imigrar para o  Canadá.
Multa adicional de 10% do FGTS será extinta a partir de hoje|UOL Economia|01/01/2020|MP-RJ investiga Petrobras por suspeita de improbidade em reajustes ...  MP-RJ investiga Petrobras por suspeita de improbidade em reajustes.  23/06/2022 22h07...
Vizinha do Brasil, Guiana deve crescer 86,5% em 2020, segundo o FMI|O Globo|01/01/2020|Petrobras planeja mais sete plataformas em campo gigante do megaleilão ·  Plataforma P-74, no campo de Búzios, uma das quatro áreas do megaleilão.  Economia...
Cojuv levou ações a 13 municípios e atendeu a centenas de ...|Piauí Hoje|01/01/2020|Dr. Pessoa é furtado durante procissão de Corpus Christi e diz que quer  encontrar suspeito · Petrobras anuncia novo aumento nos preços do diesel  (14,2%) e...
Após alta, distribuidores 'seguram' preço do gás de cozinha|O Liberal|01/01/2020|Esse é o terceiro aumento seguido no preço do gás: em novembro, a Petrobras  reajustou em 4% o preço do botijão de 13 kg. Por Danilo Reenlsober.
Em Guaratuba já dá para abastecer growlers e beber cerveja na praia|Gazeta do Povo|01/01/2020|Inflação global descontrolada e alta de juros nos EUA. O Brasil está  preparado? Preço do combustível atormenta a vida dos brasileiros. Culpa da  Petrobras?
Indústria tem maior nível de emprego em 4 anos; petrobras quer investir na Bacia de Campos|G1|02/01/2020|Indústria tem maior nível de emprego em 4 anos; petrobras quer investir na  Bacia de Campos. Veja quais são as notícias de destaque nos jornais  brasileiros. 02/...
Clarissa Lins, do IBP, renuncia como integrante de conselho da Petrobras|Época Negócios|02/01/2020|A Petrobras informa que a conselheira de administração Clarissa Lins pediu  renúncia ao cargo. Ela é diretora presidente do Instituto Brasileiro de  Petróleo,...
Petrobras viverá momento de transformação nos anos 2020|Valor Econômico|02/01/2020|Os anos 2020 prometem ser de profundas transformações para a Petrobras.  Diferente do momento auspicioso do início dos anos 2010, quando a  petroleira vivia...
