title|media|date|desc
Petrobras reduz preços do diesel e da gasolina nas refinarias|Mídia Bahia|01/03/2020|O presidente Jair Bolsonaro destacou através de seu Twitter para revelar a  redução. “Este ano, a Petrobras reduziu quatro vezes o valor dos  combustíveis nas...
Quanto custou para pisar na lua?|Money Times|01/03/2020|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
Como escolher ações: saiba quais indicadores avaliar|Money Times|01/03/2020|... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio...
Petrobras anuncia Cristiane Marsillac como nova presidente ...|Investimentos e Notícias|02/03/2020|O anúncio foi realizado pela Petrobras nesta segunda (2), que informou a  substituição de Antonio Rubens Silva Silvino, que comandava a subsidiária  da...
47% do valor da gasolina no Ceará são de impostos|O POVO Mais|02/03/2020|O anúncio da Petrobras no fim da última semana representou o sexto reajuste  de valores dos combustíveis nas refinarias. Quatro destes foram de redução.  Mas o...
A renúncia de Ivan Monteiro no IRB e seus motivos|VEJA|02/03/2020|Monteiro foi o último presidente da Petrobras no governo Temer, tendo sido  levado para lá ainda por Aldemir Bendine e assumido após a saída de Pedro  Parente.
O FPSO MV-14 da Modec operado pela Petrobras por 16 anos, deixa o Brasil rumo a Europa para descomissionamento|CPG Click Petroleo e Gas|02/03/2020|o FPSO Cidade do Rio de Janeiro interrompeu suas operações com a Petrobras  em 2018 e a Modec vem conduzindo o descomissionamento da unidade desde  então.
Rachaduras em Maceió expõem riscos bilionários para Braskem e drama de milhares|Época Negócios|02/03/2020|Representantes da Petrobras, que tem 36% da Braskem, e da Odebrecht, que  possui 38% da empresa, não comentaram o assunto. FRUSTRAÇÃO
BB Investimentos inclui Itaú, Marfrig, MRV e Raia Drogasil na carteira recomendada de março|Money Times|02/03/2020|... Movida (MOVI3), Petrobras (PETR4) e Tupy (TUPY3) e incluído Itaú  Unibanco (ITUB4), Marfrig (MRFG3), MRV (MRVE3) e Raia Drogasil (RADL3).
Largar tudo e ir viajar|Correio do Povo|02/03/2020|Do desempregado ao concursado da Petrobras, como Marauê. Aos 34 anos, após  nove anos na estatal, o engenheiro mecânico largou o emprego e prepara as  malas...
Coronavírus está afundando economia global em recessão, alerta OCDE|Money Times|02/03/2020|... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, ... Petrobras (PETR4), dividendos e mais: Veja os destaques da  semana no...
