title|media|date|desc
Petrobras reajusta preço da gasolina pela quinta vez no ano, em meio a troca de comando|O Globo|01/03/2021|RIO — A Petrobras vai reajustar os preços da gasolina novamente nesta  terça-feira. Será o quinto aumento no ano, levando a uma alta acumulada  desde janeiro...
Petrobras anuncia reajuste nas refinarias de 4,8% na gasolina e 5% no diesel|CNN Brasil|01/03/2021|A Petrobras anunciou, nesta segunda-feira (1º de março), novo reajuste nas  refinarias de 4,8% na gasolina e 5% no diesel. Isso significa uma alta de  R$ 0,12...
GLP: Petrobras aumenta preço do gás de cozinha nas refinarias|UOL Economia|01/03/2021|A Petrobras informou hoje que aumentou o GLP (Gás Liquefeito de Petróleo),  o terceiro reajuste do ano, em R$ 0,15 por quilo, o equivalente a um  impacto de...
Castello Branco deixa Petrobras mais enxuta|Valor Econômico|01/03/2021|Castello Branco deixa Petrobras mais enxuta. Presidente se despede da  estatal com queda na dívida, foco no pré-sal e aumento de dividendos.
Agência Brasil explica: como é a composição do preço dos combustíveis|Agência Brasil|01/03/2021|Ao sair da Petrobras, o combustível sai com o valor do produto mais os  tributos federais: a Contribuição de Intervenção no Domínio Econômico  (Cide), partilhada...
Petrobras fecha venda de usina eólica ao fundo de investimento PirineusTurbina|CNN Brasil|01/03/2021|A Petrobras assinou contrato para a venda de sua participação majoritária  no parque eólico Mangue Seco 2 ao fundo de investimento em participações  FIP...
Usina térmica de meio bilhão da Petrobras vira 'elefante ...|A Gazeta|01/03/2021|"Usina térmica de meio bilhão da Petrobras vira ""elefante branco"" na Bahia.  A estatal já pediu o encerramento formal das operações da usina,  simplesmente porque..."
Especialistas temem que interferência na Petrobras prejudique economia|iG Economia|01/03/2021|Após mais um reajustes nos preços do combustíveis, mercado financeiro teme  mais interferências do Governo Federal na Petrobras...
Após três prósperas gerações, Petrobras já não assegura mais trabalho para a família Reis|El País|01/03/2021|A família do petroleiro aposentado Wilson Reis é um retrato da decadência  econômica do Norte Fluminense provocada pela redução das atividades da  Petrobras...
Você tem FGTS na Petrobras ou fundo dedicado à empresa? Saiba o que fazer|Valor Investe|01/03/2021|Com a forte queda dos papéis da Petrobras na última semana e a insegurança  jurídica que se formou em cima da empresa, quem investe em fundos que têm  apenas...
Guedes: Vamos pegar os dividendos da Petrobras e entregar uma parte ao povo|Valor Econômico|02/03/2021|"Guedes: Vamos pegar os dividendos da Petrobras e entregar uma parte ao  povo. Ideia é criar fundo com ativos: ""se [o petróleo] é nosso, dá para a  gente,..."
Guedes diz que há ideia de criar fundo pra pagar dividendos da Petrobras para os “mais pobres”|InfoMoney|02/03/2021|O ministro da Economia, Paulo Guedes, disse que o governo quer criar um  fundo com ativos da Petrobras para pagar dividendos “principalmente a  pessoas mais...
