title|media|date|desc
Petrobras confirma venda da fatia na BR Distribuidora e embolsa R$ 11,4 bilhões|Valor Investe|01/07/2021|A Petrobras confirmou na noite de ontem que vendeu os 37,5% que ainda  detinha na BR Distribuidora, ao preço de R$ 26 por ação. A informação havia  sido publicada...
Petrobras arrecada R$ 11,4 bi com venda de ações da BR e sai de vez da empresa|O Globo|01/07/2021|RIO - A Petrobras vai arrecadar R$ 11,4 bilhões com a venda de 37,5% das  ações que ainda tem na BR Distribuidora, na maior operação deste tipo este  ano.
Petrobras deixa de ser acionista da BR Distribuidora|UOL Economia|01/07/2021|Petrobras embolsa R$ 11,4 bilhões e sai de vez do capital da BR  Distribuidora. Posto de gasolina da BR Distribuidora; Petrobras não é  mais...
RJ: em Itaguaí, reintegração de posse em terreno da ...|Brasil de Fato|01/07/2021|“Justamente por conta da doação de alimentos ao acampamento, o Alessandro,  que organizou a campanha “Petroleiro Solidário”, acabou demitido da  Petrobras sob a...
Tensão marca reintegração de posse de terreno da Petrobras no Rio|Agência Brasil|01/07/2021|A Polícia Militar do Rio de Janeiro cumpre hoje (1º) um mandado de  reintegração de posse de um terreno da Petrobras, na avenida Deputado  Otávio Cabral,...
Justiça determina reintegração de posse em Itaguaí; policiais e sem-terra se enfrentam e PM joga bombas no local|G1|01/07/2021|A Justiça determinou reintegração de posse de um terreno da Petrobras em  Itaguaí, Região Metropolitana do Rio. Cerca de 400 famílias sem terra  ocupam o...
Petrobras vende suas sete unidades em Alagoas por quase R ...|GazetaWeb|01/07/2021|O conselho de administração da Petrobras aprovou nesta quarta-feira (30) a  venda, por US$ 300 milhões - o equivalente a R$ 1,49 bilhão no câmbio atual  - das...
Petrobras vende ações e zera participação na BR Distribuidora|Nexo Jornal|01/07/2021|No governo de Jair Bolsonaro, a Petrobras vendeu seu controle acionário de  outras subsidiárias, como a TAG (Transportadora Associada de Gás) e a  Liquigás.
Petrobras e Repsol apresentam suas estratégias de ...|Portos e Navios|01/07/2021|Gigantes do mercado de óleo e gás, como Petrobras e Repsol, apostam em  editais de inovação com apoio da Firjan SENAI para selecionar startups e  impulsionar...
Opinião: Fatia dos FPSOs da Petrobras investida no Brasil é ...|EPBR|01/07/2021|Enquanto isso, diversos estaleiros nacionais que, no passado, foram  contratados para construir sondas, FPSOs e/ou navios petroleiros/gaseiros  para a Petrobras...
Líder de ocupação de terreno da Petrobras em Itaguaí é preso|G1|02/07/2021|O líder do Campo de Refugiados 1º de Maio, em Itaguaí, foi preso por agente  da 50ª DP (Itaguaí). Wellington Moreira da Silva, conhecido como Eric  Vermelho,...
Liderança de acampamento em Itaguaí é presa|Extra Online|02/07/2021|Um dos coordenadores do acampamento Refugiados 1º de Maio, ocupação no  terreno da Petrobras que foi desapropriado nesta quinta-feira, Eric  Vermelho foi...
Menino de 12 anos é ferido na cabeça em reintegração de posse no RJ|UOL Notícias|02/07/2021|A ação policial cumpriu decisão da Justiça do Rio de Janeiro após pedido da  Petrobras, dona do terreno. Procurada pelo UOL, a corporação ainda não se  pronunciou...
Funcionários da Petrobras denunciam médicos da empresa por receitarem remédios sem eficácia contra a Covid|G1|02/07/2021|Os trabalhadores apresentaram receitas em papel timbrado da Petrobras com  prescrição de Ivermectina e outros remédios. A OMS recomenda que a  medicação não seja...
Importância do refino e da distribuição para o Brasil e Petrobrás|Monitor Mercantil|02/07/2021|– graves prejuízos para a Petrobrás, que perderá receitas de bilhões de  reais e ficará sujeita a riscos operacionais e financeiros desnecessários.  Destacamos...
Petrobras doa microusina de oxigênio para Hospital do Trabalhador|Gazeta do Povo|02/07/2021|De acordo com a estatal, a doação faz parte de um pacote de auxílio ao  combate à pandemia da Covid-19 – a usina é uma das 12 que serão repassadas  pela Petrobras...
Privatização da BR Distribuidora acentua desintegração do Sistema Petrobrás|O Cafezinho|02/07/2021|“A população não consegue ver a Petrobrás em plataformas de petróleo e sim  nos postos de gasolina. Com a venda da BR, isso acaba, pois a empresa perde  o contato...
Subsídios ao gás de cozinha|EPBR|02/07/2021|Citando os das últimas duas décadas, tivemos auxílio-gás, subsídio via  Petrobras e redução de impostos. Neste breve artigo serão discutidas essas  políticas,...
Veja as 10 ações mais recomendadas para comprar em julho|Valor Investe|02/07/2021|Em julho, a Vale conquista a liderança pela sexta vez seguida, apontada por  12 das 20 corretoras participantes. As ações da Petrobras também seguem na  lista,...
Fundo Samambaia, de Ronaldo Cezar Coelho, assume 7,95% da BR Distribuidora|Valor Econômico|02/07/2021|“Apostei que a saída da Petrobras do capital da BR ia destravar valor. A BR  está vinculada ao PIB e está com uma nova gestão, num movimento de  consolidação...
'A saída da Petrobras destrava o valor da BR', diz Ronaldo Cezar Coelho, que pretende comprar 10% da distribuidora|O Globo|03/07/2021|'A saída da Petrobras destrava o valor da BR', diz Ronaldo Cezar Coelho,  que pretende comprar 10% da distribuidora. Controlador do Fundo Samambaia,  maior...
Replan investe em nova unidade para ampliar produção de diesel S-10 a partir de 2025|G1|03/07/2021|Modernização da planta, a maior do Brasil, faz parte de pacote de  investimentos da Petrobras. Por G1 Campinas e Região. 03/07/2021 18h04  Atualizado há 11 meses...
