title|media|date|desc
Possibilidade de gás barato no pré-sal atrai investimentos de gigantes|CNN Brasil|01/08/2021|Shell e Pátria Investimentos estão entre empresas com projetos na bacia;  hoje, Petrobras alinha os preços dos produtos às cotações internacionais.
Como o Brasil quer se tornar o quarto maior produtor de petróleo até 2030?|Money Times|01/08/2021|Segundo ele, a Petrobras se comprometeu a vender oito ativos de refinarias.  “O governo federal queria trabalhar numa abertura do mercado, que o mercado  tivesse...
Conhecida como capital brasileira do petróleo, Macaé aposta em usinas elétricas|CNN Brasil|01/08/2021|Isso porque a Petrobras chegou a investir sozinha o que o conjunto de  petrolíferas deve investir em uma década. Em 2013, por exemplo, foram US$ 9  bilhões.
Em crise hídrica, Brasil desperdiça energia de uma Itaipu por dia|Exame|01/08/2021|De acordo com Jorge Celestino Ramos, ex-diretor de Refino e Gás Natural da  Petrobras, é importante promover o aumento na demanda firme de gás natural.
"Usina de Quixadá: o que será vendido | jocelio-leal | OPOVO+"|O POVO Mais|01/08/2021|O time de funcionários da Petrobras Biocombustíveis foi transferido para as  outras usinas ainda em operação, em Candeias (BA) e Montes Claros (MG).
Gasolina formulada ou refinada? Tanto faz! O problema é o ...|AutoPapo|01/08/2021|Esse posto deve ter uma bandeira conhecida: marca Petrobras, Ale, Shell,  Raízen, Ipiranga… E o outro é chamado bandeira branca: ele não compra  gasolina de...
Commodities: perfil da recuperação chinesa traz volatilidade aos preços|Suno|01/08/2021|Petrobras (PETR4) e Eletrobras (ELET3) são destaques do mercado · Notícias  Mercado Commodities: perfil da recuperação chinesa traz volatilidade aos  preços.
BdF Explica: Por que os preços não param de subir?|Brasil de Fato|01/08/2021|Existe capacidade no Brasil para produzir o necessário a toda a demanda  interna. No entanto, o desmonte da Petrobrás torna essa realidade cada vez  mais distante...
SEC da Bahia oferece 6.510 mil vagas em cursos gratuitos nas áreas de Enfermagem, Mecânica, Eletrotécnica e muito mais|CPG Click Petroleo e Gas|01/08/2021|... Petrobras vende sua participação na Eólica Mangue Seco 2 por 34,2  milhões de ... Para manter acordo confidencial com os EUA, a Petrobras  solicita ao STF...
Empresa pode exigir atestado de vacinação contra Covid-19? Tire dúvidas sobre o que vale no trabalho|O Globo|01/08/2021|STF anula correção de salários de empregados da Petrobras que custaria R$  46 bi à estatal · Decisão vale apenas para trabalhadores de plataformas e...
Petrobras deve reportar melhora nos principais indicadores financeiros do 2º tri|Valor Investe|02/08/2021|A Petrobras deve divulgar, na próxima quarta-feira, os resultados do  segundo trimestre, com melhoras expressivas nos principais indicadores  financeiros da...
Petrobras diz não ter definição sobre vale-gás prometido por ...|Sagres 730|02/08/2021|NICOLA PAMPLONA RIO DE JANEIRO, RJ (FOLHAPRESS) – Após o presidente Jair  Bolsonaro dizer que a Petrobras tem um plano para reduzir o custo do  botijão de gás...
