title|media|date|desc
Em post, Bolsonaro culpa desvios na Petrobras por preço do combustível|Metrópoles|01/01/2022|O presidente Jair Bolsonaro (PL) dedicou o primeiro post de 2022 a fazer  comentários sobre a Petrobras. Em publicação feita no início da manhã deste  sábado...
RS estuda o que fazer sobre reajuste de 50% do gás da ...|GZH|01/01/2022|Entra em vigor neste sábado (1º) o aumento de 50% do gás natural definido  pela Petrobras, que argumenta elevação dos custos e falta de oferta mundial  do...
Polícia investiga morte de menino de 6 anos que foi arrastado por enxurrada da chuva e caiu em córrego na Zona Leste de SP|G1|01/01/2022|Segundo ela, a Petrobrás foi a responsável pela obra feita há seis meses no  local.
A crise de energia nunca ocorreu, diz ministro, mas governo mantém incentivo para reduzir consumo|Folha|01/01/2022|Em 2021, apenas uma empresa [a Petrobras] atuava. Em 2022, teremos oito  empresas, sendo quatro nacionais. O mercado está sendo aberto, mas isso não  é da noite...
Parque do Itatiaia não ganhou melhorias dois anos após concessão|Folha|01/01/2022|... 17ª fase da operação Lava Jato, após ter sido citada em delação  premiada como beneficiária de um esquema de direcionamento de licitações da  Petrobras.
Venda de refinarias pela Petrobras é o maior passo para a ...|Portos e Navios|02/01/2022|A venda da Refinaria Landulpho Alves (RLAM), na Bahia, e da Refinaria Isaac  Sabbá, no Amazonas, representa o maior passo que o País já deu para a  criação de um...
Por que a gasolina sobe tanto no Brasil?|Yahoo Finanças|02/01/2022|A Petrobras tem resistido às pressões políticas tanto do governo quanto da  oposição para tornar o combustível artificialmente mais barato para os  motoristas.
132 concursos e seleções com salário de até R$ 33 mil pra ...|A Gazeta|02/01/2022|Prova de concurso público. Crédito: Pixabay. Já as inscrições para o  concurso público da Petrobras terminam nesta quarta-feira (5).
Procon-RJ investiga aumento abusivo no preço do gás natural veicular|Band|02/01/2022|Segundo o órgão, o Código de Defesa do Consumidor proíbe a mudança nos  preços sem justa causa. O reajuste teria ocorrido após a Petrobras anunciar  um aumento em...
Prova de vida do INSS volta a ser exigida em 2022|Correio Braziliense|02/01/2022|11:26 - 26/05/2022 - Compartilhe. Petrobras vende refinaria Lubnor, no  Ceará, por 55% do valor. 11:53 - 26/05/2022 - Compartilhe...
STF impôs série de derrotas à Lava Jato e vitórias a políticos ...|Gazeta do Povo|02/01/2022|Eram acusados de montar um esquema de propinas na Petrobras, Caixa e  Ministério das Cidades. Lira era acusado de receber R$ 4,2 milhões em  propina e caixa 2...
10 cursos gratuitos online e com certificados para quem deseja arrumar emprego na área de TI em 2022|CPG Click Petroleo e Gas|02/01/2022|Petrobras - usina - termelétrica - Petrobras - vagas - Minas Gerais · Por  R$ 1 mais compensação, Petrobras, o gigante do petróleo brasileiro, vai às  compras...
Atividade produtiva de celulose cresce a cada ano em Mato ...|Capital News|02/01/2022|O projeto da Petrobras, concebido para garantir ao Brasil a autonomia na  produção de fertilizantes nitrogenados, foi interrompido em dezembro de  2014, quando 83...
Inscrição para concurso da Petrobras com vagas em tecnologia vai até quarta (5)|iG Economia|04/01/2022|A Petrobras está à procura de profissionais de tecnologia para um concurso  público que vai escolher 757 candidatos de perfil “dinâmico e com foco em...
Inscrições para concurso da Petrobras (PETR4) com vagas em tecnologia vão até quarta-feira (5)|SpaceMoney|04/01/2022|Inscrições para concurso da Petrobras (PETR4) com vagas em tecnologia vão  até quarta-feira (5). Empresa procura por cientistas de dados, analistas de  sistemas e...
Concurso Petrobras: confira cronograma completo do certame|Direção Concursos|04/01/2022|Os interessados em concorrer a uma das 757 vagas do concurso Petrobras  devem ficar atentos ao cronograma do edital. Além das vagas imediatas,...
PETROBRÁS LANÇA PROGRAMA AUDACIOSO PARA ...|PetroNotícias|04/01/2022|A Petrobrás criou o programa RES 20, que consiste em viabilizar até 20  bilhões de barris de óleo equivalente (boe) em seus campos operados até  2030.
Produção de petróleo e gás sobe 2,8% em novembro puxada por Petrobras, diz ANP|InfoMoney|04/01/2022|O aumento da produção foi puxado pela Petrobras (PETR3; PETR4), responsável  por 73% da produção total do país. A estatal registrou em novembro 2,726  milhões...
CONSTELLATION CONQUISTA DOIS NOVOS CONTRATOS ...|PetroNotícias|04/01/2022|Um início de ano com o pé direito para a Constellation Oil Services. A  companhia anunciou nesta semana que fechou novos contratos com a Petrobrás  para...
Orquestra Petrobras apresenta concertos do Mundo Bita e Guns N’ Roses no Recife|JC Online|04/01/2022|Orquestra Petrobras apresenta concertos do Mundo Bita e Guns N' Roses no  Recife. Apresentações serão transmitidas online para todo Brasil, com  participação...
Braskem: oferta de R$ 9 bi em ações PNs sai ainda neste mês|Exame|04/01/2022|Novonor e Petrobras já alcançaram um consenso de que a companhia irá para o  Novo Mercado, com um acordo de acionistas revisado. Nesse momento, todos os  esforços...
Petroleiros em estado de greve contra privatização da Petrobras|Partido dos Trabalhadores|04/01/2022|Após várias assembleias em Pernambuco e Paraíba, categoria decidiu que  responderá com uma greve nacional caso o governo insista em privatizar a  Petrobrás.
Petrobras vai à Justiça para subir preço do gás - Tribuna Online|Tribuna Online|04/01/2022|A Petrobras informou que irá “recorrer e entrar com ações cabíveis” contra  a liminar do Ministério Público do Estado (MP-ES) que impediu o reajuste do  preço...
