title|media|date|desc
Moro defende privatizar Petrobras e todos os bancos públicos, 'se for possível'|O Globo|01/02/2022|SÃO PAULO — O ex-juiz e ex-ministro da Justiça Sergio Moro (Podemos) disse  nesta terça-feira que, em um eventual governo, pretende privatizar a  Petrobras e...
Moro diz que Petrobras é uma 'empresa atrasada' e fala em privatizar todos os bancos públicos|Extra Online|01/02/2022|Moro diz que Petrobras é uma 'empresa atrasada' e fala em privatizar todos  os bancos públicos ... SÃO PAULO — O ex-juiz e ex-ministro da Justiça  Sergio Moro (...
Moro chama Petrobras de atrasada e fala em privatizar todas as estatais|Folha|01/02/2022|O pré-candidato a presidente Sergio Moro (Podemos) classificou a Petrobras  como uma empresa atrasada e disse que, caso seja eleito, poderá privatizar  todas...
Petrobras assina venda do Polo Potiguar e da refinaria Clara Camarão no RN|G1|01/02/2022|A Petrobras anunciou que assinou nesta segunda-feira (31) o contrato para a  venda da totalidade de sua participação em um conjunto de 22 concessões  de...
Petrobrás deve deixar Rio Grande do Norte após venda do ...|Sindipetro-SP|01/02/2022|O Conselho Administrativo da Petrobras aprovou, na última sexta-feira (28),  a venda do Polo Potiguar, localizado no Rio Grande do Norte, para a  compradora...
Petrobras (PETR3;PETR4) assina contrato com subsidiária da 3R para venda do Polo Potiguar por US$ 1,38 bi|InfoMoney|01/02/2022|Petrobras (PETR3;PETR4) assina contrato com subsidiária da 3R para venda do  Polo Potiguar por US$ 1,38 bi. A produção média do Polo Potiguar de 2021  foi de 20,6...
Vale e Petrobras garantem novo dia de alta para o Ibovespa|Valor Econômico|01/02/2022|Com ganhos expressivos da Vale e da Petrobras, a principal referência da  bolsa local fechou o dia acima dos 113 mil pontos, dando sequência à alta...
Equinor paga US$ 475 milhões à Petrobras por participação em bloco de exploração|Valor Econômico|01/02/2022|A Petrobras comunicou ao mercado que recebeu nessa terça-feira (1º) US$ 475  milhões da Equinor, referente à venda de participação da companhia no  bloco...
FUP desmente funcionário não concursado da Petrobras ...|Sindipetro BA|01/02/2022|Fantasiado de petroleiro, diretor da Petrobras que atacou Lula foi indicado  por Bolsonaro em 2019. Rafael Chaves Santos, que teve discurso divulgado  por...
Petrobras inicia testes no GasLub, antigo Comperj|Valor Econômico|01/02/2022|A Petrobras iniciou os testes operacionais do Polo GasLub, o antigo  Complexo Petroquímico do Estado do Rio de Janeiro (Comperj), em Itaboraí  (RJ).
Moro defende privatização da Petrobras e de todos os bancos ...|Correio Braziliense|02/02/2022|"Ex-juiz argumentou que a Petrobras é ""atrasada"" e defendeu a priorização de  energias limpas para justificar a privatização da estatal. BL. Bernardo  Lima*."
Moro fala em privatizar Petrobras e 'todas as estatais'|Política|02/02/2022|Moro fala em privatizar Petrobras e 'todas as estatais'. Ex-ministro e  pré-candidato à Presidência da República classifica a estatal como  'atrasada' em relação...
Sérgio Moro chama Petrobras de empresa atrasada e fala em ...|Cidade Verde|02/02/2022|O pré-candidato a presidente Sergio Moro (Podemos) classificou a Petrobras  como uma empresa atrasada e disse que, caso seja eleito, poderá privatizar  todas...
Ibovespa acelera perdas com queda de bancos e Petrobras em sessão pré-Copom|Valor Econômico|02/02/2022|Enquanto o setor financeiro reage negativamente aos resultados apresentados  pelo Santander, investidores realizam os lucros recentes nas ações da  Petrobras.
Bolsa cai, pressionada por bancos e Petrobras; dólar tem leve alta, ainda abaixo dos R$ 5,30|O Globo|02/02/2022|Bolsa cai, pressionada por bancos e Petrobras; dólar tem leve alta, ainda  abaixo dos R$ 5,30. Investidores aguardaram por desfecho de reunião do  Copom. Balanço...
Bolsonaro revela endividamento trilionário da Petrobras na era PT|Diário do Poder|02/02/2022|Somente a Petrobras acumulou endividamento de quase R$ 1 trilhão no  período. “Nessa semana estive em Itaboraí, com o presidente da Petrobras e  outros diretores.
Vídeo: FUP desmente diretor da Petrobras indicado por ...|Partido dos Trabalhadores|02/02/2022|Nomeado para um cargo na diretoria da Petrobras, com salário em torno de R$  150 mil, Rafael Chaves Santos tem espalhado mentiras sobre a empresa.
PETROBRAS Cia recebe US$ 450 mi da Equinor por campo ...|Monitor do Mercado|02/02/2022|São Paulo, 2 de fevereiro de 2022 - A Petrobras anunciou ontem (1) que  recebeu da Equinor Brasil Energia o valor de US$ 475 milhões, equivalente à
ES Gás pretende fechar novos contratos de gás|EPBR|02/02/2022|— Atualmente, a ES Gás tem 1,6 milhão de m³/dia contratados com a  Petrobras. A partir da chamada pública de 2021, no contrato que acabou  judicializado, foram...
Santander, Google, Romi, Facebook, Petrobras e mais: Veja os destaques das empresas|Valor Investe|02/02/2022|Santander, Google, Romi, Facebook, Petrobras e mais: Veja os destaques das  empresas. O Santander Brasil obteve lucro líquido gerencial de R$ 3,88  bilhões no...
Lula: Não posso enriquecer o acionista da Petrobras e empobrecer a dona de casa|Valor Econômico|03/02/2022|Lula: Não posso enriquecer o acionista da Petrobras e empobrecer a dona de  casa. Pré-candidato do PT nas eleições 2022 volta a criticar o preço dos  combustíveis...
Petrobras: o que os pré-candidatos à Presidência planejam para a estatal|G1|03/02/2022|Petrobras: o que os pré-candidatos à Presidência planejam para a estatal.  Nesta quinta-feira (3), o ex-presidente Lula afirmou que, caso seja eleito,  não vai...
Lula diz que vai intervir na política de preços da Petrobras se ...|UOL Economia|03/02/2022|A política de preços dos combustíveis da Petrobras foi alterada no governo  do ex-presidente Michel Temer. Sob alegação de que o controle de preços  rígido...
Podemos entrar na exploração da Margem Equatorial no 2º semestre, diz presidente da Petrobras|Valor Econômico|03/02/2022|Podemos entrar na exploração da Margem Equatorial no 2º semestre, diz  presidente da Petrobras. Região se estende do litoral do Rio Grande do  Norte ao Oiapoque (...
Presidente da Petrobras diz que empresa não pode 'segurar ...|G1|03/02/2022|O presidente da Petrobras, Joaquim Silva e Luna, afirmou nesta quinta-feira  (3) que a empresa tem tentado explicar claramente à sociedade e ao  Congresso...
Petrobras precisa praticar preços de mercado, diz Silva e Luna|Economia & Negócios|03/02/2022|Presidente da estatal destacou que a Petrobras pagou R$ 220 bilhões em  tributos e R$ 27 bilhões em dividendos só para a União em 2021. Denise  Luna, O Estado...
Petrobras pode pagar dividendos muito maiores do que no passado, diz CFO|Exame|03/02/2022|Petrobras pode pagar dividendos muito maiores do que no passado, diz CFO. A  empresa bateu sua meta de endividamento bruto de menos de US$ 60 bilhões no  terceiro...
“Petrobras será privatizada”, diz Doria ao criticar monopólio do petróleo|CNN Brasil|03/02/2022|Em entrevista exclusiva à CNN na noite desta quinta-feira (3), o  pré-candidato à Presidência pelo PSDB, João Doria, afirmou que irá  privatizar a Petrobras...
Petrobras (PETR4) mira em águas profundas e deve exercer ...|Seu Dinheiro|03/02/2022|Petrobras (PETR4) mira em águas profundas e deve exercer direito de  preferência em licitação na Bacia de Campos. A diretoria da petroleira  aprovou a...
Ibovespa tem dia volátil com queda da Petrobras (PETR4) e liquidação de ações de tecnologia em NY|Money Times|03/02/2022|O Ibovespa operava entre perdas e ganhos nesta quinta-feira (3), sob  pressão negativa de Wall Street e de nova queda das ações da Petrobras  (PETR4) se...
Petrobras avalia novos mercados na transição energética|Valor Econômico|04/02/2022|A Petrobras analisa oportunidades em mercados como o de pequenas usinas  nucleares, energia geotérmica e diferentes tipos de eólica e fotovoltaica.  Ao participar...
Petrobras acelera ganhos após venda de fábrica de fertilizantes aos russos|Valor Econômico|04/02/2022|Petrobras acelera ganhos após venda de fábrica de fertilizantes aos russos.  Empresa Acron comprou unidade que fica em Três Lagoas (MS). Por Matheus  Prado, Valor...
Grupo russo comprará fábrica de fertilizantes da Petrobras, informa ministra da Agricultura|O Globo|04/02/2022|BRASÍLIA - O grupo russo Acron vai comprar a Unidade de Fertilizantes  Nitrogenados (UFN3) da Petrobras, que fica em Três Lagoas (MS). O anúncio  foi feito na...
Grupo russo fecha compra de projeto de fertilizantes da Petrobras em MS, diz ministra|G1|04/02/2022|A unidade de fertilizantes nitrogenados da Petrobras (UFN 3), em Três  Lagoas, a 326 km de Campo Grande, foi comprada pelo grupo russo Acron,...
Uso de refinarias da Petrobras chega a quase 90% no início de fevereiro|Valor Econômico|04/02/2022|O fator de utilização total das refinarias da Petrobras chegou próximo a  90% no início deste mês, divulgou a companhia em nota à imprensa.
Petrobras pode aumentar pagamento de dividendos|CNN Brasil|04/02/2022|A Petrobras atingiu um limite de endividamento de US$ 60 bilhões e, com  isso, a empresa aciona uma nova política que, em suas palavras, “fará com  que a...
Petrobras conclui venda de ativos em Alagoas à Origem Energia por US$ 300 milhões|Valor Econômico|04/02/2022|A Petrobras comunicou ao mercado nesta sexta-feira (4) que concluiu, hoje,  a venda de sua participação em sete concessões do Polo Alagoas para a  Origem...
Pré-candidatos à Presidência da República colocam Petrobras na pauta|Estado de Minas|04/02/2022|A escalada de preços dos combustíveis fez a Petrobras entrar na pauta de  pré-candidatos ao Palácio do Planalto. Lula (PT), Sergio Moro (Podemos) e  João...
Petrobras avança em negociação para a venda de projeto de fertilizantes em MS|Época Negócios|04/02/2022|A Petrobras chegou a um acordo com o grupo russo Acron sobre minutas  contratuais para a venda de 100% de sua Unidade de Fertilizantes  Nitrogenados III...
João Doria defende fundo para combustíveis e privatização ...|EPBR|04/02/2022|Segundo Doria, a privatização da Petrobras será uma prioridade do seu  governo. “Não faz sentido mais o Brasil ter um monopólio do petróleo com  uma estatal”,...
Petrobras conclui venda do Polo Alagoas para Origem Energia|EPBR|05/02/2022|A Petrobras informou que concluiu a venda para a Origem Energia dos sete  campos que fazem parte do Polo Alagoas, sendo seis campos terrestres  (Anambé,...
Bolsonaro comemora venda da fábrica de fertilizantes da Petrobras|Noticias R7|05/02/2022|O presidente Jair Bolsonaro comemorou o acordo da Petrobras com o grupo  russo Acron para a venda da UFN3 (Unidade de Fertilizantes Nitrogenados),  em Três...
Grupo russo Acron compra fábrica de fertilizantes da Petrobras|Jovem Pan|05/02/2022|A Petrobras confirmou a transação, mas não informou o valor. A fábrica está  em obras, porém as construções estão paralisadas. Quando começar a operar,  a unidade...
Após anos do início da negociação, Petrobras vende fábrica de fertilizantes do Mato Grosso do Sul para empresa russa|Click Petróleo e Gás|05/02/2022|É confirmada pela Petrobras a venda da Unidade de Fertilizantes  Nitrogenados (UFN3), no Mato Grosso do Sul. Baseado no anúncio da Ministra  da Agricultura,...
Alta do petróleo deve levar a novos aumentos nos combustíveis no Brasil, dizem analistas|Valor Econômico|05/02/2022|A recente alta no preço do barril de petróleo no mercado internacional pode  levar a Petrobras a anunciar novos reajustes nos preços dos combustíveis  no...
"Empresário avisa: ""Petrobras, massacrando o consumidor e o ..."|4oito|05/02/2022|"Empresário avisa: ""Petrobras, massacrando o consumidor e o revendedor"".  Quem atua no segmento de venda de combustíveis explica as razões dos  valores praticados..."
Com alta do câmbio, preços da Petrobras já estão 12% defasados, diz Abicom|CNN Brasil|07/02/2022|Para equiparar os preços ao mercado externo, segundo a Abicom, a Petrobras  deveria elevar em média o litro da gasolina em R$ 0,45 e do diesel e R$  0,50. “Com a...
Vibra Energia (VBBR3) vai criar um fundo imobiliário com postos de bandeira Petrobras (PETR4)|Suno|07/02/2022|Vibra Energia (VBBR3) vai criar um fundo imobiliário com postos de bandeira  Petrobras (PETR4) · Cotação da Vibra nesta segunda (07) · Últimas Notícias  · Mercado.
Refinaria privatizada na Bahia vende combustível mais caro ...|NovaCana|07/02/2022|Segundo o Observatório Social da Petrobras, a gasolina de Mataripe custa  hoje R$ 3,32 por litro, R$ 0,14 a mais do que a média cobrada pela estatal.  O diesel-...
Propostas de preços de combustíveis isolam Petrobras do debate político, diz Credit|Valor Investe|07/02/2022|Eles notam que uma das propostas, a emenda constitucional que está em  andamento no Senado, prevê a utilização dos dividendos da Petrobras para  financiar parte...
Petrobras (PETR3;PETR4) assina contrato de afretamento para Parque das Baleias|InfoMoney|07/02/2022|Petrobras (PETR3;PETR4) assina contrato de afretamento para Parque das  Baleias. Contratos seguem mesmos parâmetros das cartas de intenção  assinadas em novembro...
Fábrica de fertilizante da Petrobras é vendida para grupo russo|Jovem Pan|07/02/2022|A Petrobras fechou a venda da unidade de fertilizantes nitrogenados em Mato  Grosso do Sul para o grupo russo Acron. A medida foi avaliada como positiva  por...
Alta do petróleo pode levar a Petrobras a anunciar novos reajustes dos combustíveis|Valor Investe|07/02/2022|A recente alta no preço do barril de petróleo no mercado internacional pode  levar a Petrobras a anunciar novos reajustes nos preços dos combustíveis  no...
CORREÇÃO-Petrobras avança em negociação para a venda ...|ISTOÉ DINHEIRO|07/02/2022|BRASÍLIA (Reuters) – A Petrobras chegou a um acordo com o grupo russo Acron  sobre minutas contratuais para a venda de 100% de sua Unidade de  Fertilizantes...
que pré-candidatos planejam para Petrobras e o preço dos ...|Gazeta do Povo|07/02/2022|Confira a seguir o que planejam Bolsonaro, Lula, Moro, Doria e Ciro para a  redução de preços de combustíveis e para a Petrobras. A Gazeta do Povo  também...
Presidente da Petrobras diz que PEC dos combustíveis “contribui muito”|CNN Brasil|07/02/2022|O presidente da Petrobras, general Joaquim Silva e Luna se reuniu nesta  segunda-feira (7) com o relator da PEC dos combustíveis na Câmara deputado  Christino...
Fitch Affirms Petrobras' IDRs at 'BB-'; Outlook Negative|Fitch Ratings|08/02/2022|Fitch Afirma IDRs 'BB-' da Petrobras; Perspectiva Negativa. Tue 08 Feb,  2022 - 3:17 PM ET. Fitch...
Venda de fábricas de fertilizantes da Petrobras pode gerar ...|CUT|08/02/2022|É o caso da Fábrica de Fertilizantes Nitrogenados da Petrobras no Paraná  (Fafen-PR), em Araucária, fechada em março de 2020. Operando desde 1982, a  Fafen-PR...
Petrobras contrata gigante asiática para operar plataforma no ...|A Gazeta|08/02/2022|Petrobras contrata gigante asiática para operar plataforma no Sul do ES.  Navio vai executar o projeto Integrado Parque das Baleias (IPB) e terá  capacidade de...
Petrobras (PETR4): PEC dos Combustíveis é positiva, mas precisa de ajustes, diz jornal|Suno|08/02/2022|As informações são do jornal O Globo. Segundo o presidente da Petrobras,  “certamente” o Congresso irá aperfeiçoar ao texto. Silva e Luna destacou  medidas...
Petrobras (PETR3,PETR4) reduz perdas e bolsa hoje fecha em alta moderada; Inter (BIDI11) e Pan (BPAN4) lideraram ganhos e Hapvida (HAPV3), perdas|InfoMoney|08/02/2022|Petrobras (PETR3,PETR4) reduz perdas e bolsa hoje fecha em alta moderada;  Inter (BIDI11) e Pan (BPAN4) lideraram ganhos e Hapvida (HAPV3), perdas.  Confira o que...
Petrobras deve fazer aumentos escalonados no preço da ...|NovaCana|08/02/2022|Com a defasagem no preço da gasolina e do diesel em relação ao mercado  internacional, a Petrobras deve anunciar novo reajuste. Mas os aumentos,  segundo...
Petrobras (PETR4): BBI traça cenários para ação pós-eleições e aponta duas razões para ter o papel em 2022|InfoMoney|08/02/2022|Petrobras (PETR4): BBI traça cenários para ação pós-eleições e aponta duas  razões para ter o papel em 2022. Banco destaca altos dividendos a serem  pagos pela...
Oi, Bradesco, Petrobras, Porto Seguro e mais: Veja os destaques das empresas|Valor Investe|08/02/2022|Oi, Bradesco, Petrobras, Porto Seguro e mais: Veja os destaques das  empresas. Um descuido do comando da Anatel no trâmite de análise da venda  dos ativos de...
Petrobras cria “Street View” para monitorar plataformas do pré-sal à distância|Tecnoblog|08/02/2022|Pensando nisso, o Centro de Pesquisas da Petrobras (Cenpes), em parceria  com especialistas da PUC-Rio, desenvolveu uma espécie de Google Street View  para...
Governo “esfacelou” a Petrobras (PETR3), diz assessor de Lula|Money Times|08/02/2022|Governo “esfacelou” a Petrobras (PETR3), diz assessor de Lula. Por  Bloomberg. 08/02/2022 - 12:20.
Pré-sal responde por 70% do total e Petrobras bate meta de produção|Valor Econômico|10/02/2022|A Petrobras fechou o ano passado com produção total de petróleo, LGN e gás  natural, no Brasil e no exterior, de 2,77 milhões de barris de óleo  equivalente...
Petrobras eleva em 4,7% vendas de derivados de petróleo no Brasil|Exame|10/02/2022|As vendas de derivados do petróleo da Petrobras no mercado interno somaram  1,848 milhão de barris por dia no quarto trimestre, alta de 4,7% ante o  mesmo...
Produção da Petrobras recua 2% em 2021|EPBR|10/02/2022|A produção média da Petrobras no ano passado foi de 2,774 milhões de barris  de óleo equivalente por dia (MMboepd), incluindo Brasil e exterior, volume  2,2%...
Casos de covid entre empregados da Petrobras já ultrapassam 2 mil este ano|Exame|10/02/2022|Somente no Norte Fluminense -, onde se concentra a grande parte das  plataformas offshore da Petrobras - foram 249 trabalhadores contaminados no  período. Fique...
Refinaria privatizada decide exportar e deixa navios sem ...|Brasil de Fato|10/02/2022|"Abastecimento de embarcações no porto de Salvador parou desde que Petrobras  vendeu Rlam a uma empresa privada. Vinicius Konchinski. Brasil de Fato |  Curitiba (..."
Ibovespa fecha em alta sustentado por Petrobras (PETR3) e Vale (VALE3)|Money Times|10/02/2022|Mais uma vez, as commodities ajudaram a sustentar o índice, com a Vale  (VALE3) saltando mais de 2% puxada pela elevação do minério de ferro e a  Petrobras...
Petrobras (PETR4): ANP decide por R$ 576 milhões a serem pagos por royalties da SIX|Suno|10/02/2022|Petrobras (PETR4): ANP decide por R$ 576 milhões a serem pagos por  royalties da SIX ... Em 2013 e 2014, a ANP cobrou da Petrobras o pagamento  de royalties,...
Se depender de Bolsonaro, privatização da Petrobras é ...|FDR|10/02/2022|Nesta quarta-feira (9), o presidente Jair Bolsonaro voltou a realizar um  discurso favorável à privatização da Petrobras. Bolsonaro disse, em viagem  ao Rio...
Oi (OIBR3) e Petrobras (PETR4) são destaques do mercado ...|Suno|10/02/2022|Petrobras. A Petrobras divulgou seu relatório de produção e vendas do  quarto trimestre de 2021. A estatal registrou aumento de 1% na produção de  óleo e gás...
Aprovada resolução que trata da participação obrigatória da Petrobras (PETR3;PETR4) em blocos exploratórios|InfoMoney|10/02/2022|O presidente Jair Bolsonaro aprovou resolução do Conselho Nacional de  Política Energética (CNPE) para estabelecer a participação da Petrobras  (PETR3;PETR4)...
Grupo russo que comprou projeto de fertilizantes da Petrobras em MS diz que vai retornar obras em julho|G1|11/02/2022|Essa definição pode acelerar o processo de venda da unidade para a empresa  russa. A venda. A unidade de fertilizantes nitrogenados da Petrobras (UFN  3), em Três...
Na maior ação trabalhista da Petrobras, empresa tem dois votos a seu favor|JOTA|11/02/2022|Em 2018, a empresa pública perdeu essa mesma ação por 13 votos a 12, no  pleno do Tribunal Superior do Trabalho (TST), que considerou o cálculo da  Petrobras...
Petrobras (PETR3;PETR4) recebe prêmio internacional por gestão da dívida|InfoMoney|11/02/2022|A Petrobras (PETR3;PETR4) informou nesta sexta-feira (11), em comunicado ao  mercado, que foi a vencedora da premiação “Deals of the Year” (Negócios do  ano),...
Observatório Social da Petrobrás alerta: Projetos no ...|Viomundo|11/02/2022|Observatório Social da Petrobrás alerta: Projetos no Congresso para frear  alta dos combustíveis não atacam a raiz do problema. 11/02/2022 - 17h26...
Concurso Petrobras: Mais de 160 mil inscritos|Nova Concursos|11/02/2022|Novidades sobre o concurso Petrobras ! A nova seleção conta com mais de 160  mil candidatos inscritos. Ademais, as provas do processo seletivo que  oferta...
Petrobras (PETR4) dispara 4% com expectativa de conflito entre Rússia e Ucrânia; entenda|Suno|11/02/2022|As ações da Petrobras (PETR4) dispararam no final da sessão desta  sexta-feira (11) após novas informações sobre um iminente ataque da Rússia  à Ucrânia.
Relator do PL dos combustíveis discute texto em reunião com Lula e Dilma|CNN Brasil|11/02/2022|O ex-presidente da Petrobras José Sergio Gabrielli também participou, assim  como a presidente do PT, Gleisi Hoffmann. Jean Paul é relator de dois  projetos...
Petrobras bate metas de produção, recorde no pré-sal, e aumenta carga de refinarias em 2021; resultados demonstram o compromisso da petroleira com o foco em campos de petróleo e gás em águas profundas e ultraprofundas|Click Petróleo e Gás|11/02/2022|Petrobras bate metas de produção, recorde no pré-sal, e aumenta carga de  refinarias em 2021; resultados demonstram o compromisso da petroleira com o  foco em...
Navio-plataforma da Petrobras segue com atividades ...|ES360|11/02/2022|Navio-plataforma da Petrobras segue com atividades interrompidas após  vazamento de óleo em Anchieta. Plataforma está paralisada desde janeiro e  ANP avalia as...
Ações da Petrobras (PETR4) disparam com alta do petróleo em meio à ameaça de invasão russa à Ucrânia|InfoMoney|11/02/2022|Ações da Petrobras (PETR4) disparam com alta do petróleo em meio à ameaça  de invasão russa à Ucrânia. Confira o que movimentou a bolsa hoje. Por  Equipe...
Bolsonaro diz que trabalha com Petrobras para reduzir preço ...|Correio Braziliense|12/02/2022|"O presidente Jair Bolsonaro (PL) afirmou neste sábado que trabalha junto à  Petrobras para reduzir o valor dos combustíveis ""de forma legal""."
Audições selecionarão alunos para Orquestra Petrobras|Agência Brasil|12/02/2022|Criada em 2012, a Academia Juvenil da Orquestra Petrobras Sinfônica oferece  formação gratuita para jovens oriundos de escolas de música e orquestras...
Moraes e Toffoli votam a favor da Petrobras em processo de R ...|ISTOÉ DINHEIRO|12/02/2022|A 1ª Turma do Supremo Tribunal Federal (STF) inicia nesta sexta, 11, o  julgamento do recurso do maior processo trabalhista envolvendo a  Petrobras,...
Petrobras multa empresa que pagou ‘mensalinho’ para José Dirceu|VEJA|12/02/2022|A Petrobras aplicou uma multa de 1,2 milhão de reais à Hope Recursos  Humanos. A empresa foi investigada na Lava-Jato por pagar propinas ao PT em  troca de...
Petrobras não consegue vender a Ansa, fabrica de fertilizantes no Paraná|Gazeta do Povo|12/02/2022|No Brasil, a Petrobras tinha três outras indústrias de fertilizantes  nitrogenados. Duas delas, uma na Bahia e outra em Sergipe, foram  privatizadas ainda em 2019...
Com incendiário tabuleiro na Ucrânia, um olho no petróleo e outro nas ações das sucroenergéticas|Money Times|12/02/2022|Dificilmente a Petrobras (PETR4) teria capacidade de seguir represando os  repasses aos derivados. Leia também: Gasolina · Combustíveis · Etanol  afunda de novo...
Bolsonaro diz que trabalha para reduzir preço dos combustíveis|Diario de Pernambuco|13/02/2022|"A Petrobras está trabalhando muito bem"", seguiu o presidente. Na  quarta-feira, em discurso marcado por palavrões voltados a governos  anteriores, em visita à..."
CPI da Chapecoense convoca Caixa e Petrobrás para audiência no Senado|VEJA|13/02/2022|Os presidentes da Caixa Econômica Federal, Pedro Guimarães, e da Petrobrás,  Joaquim Silva e Luna, foram convocados pelo Senado para depor na CPI da...
Preços do GNV e gás natural sobem em até 11% neste sábado no Rio|O Dia|13/02/2022|Para a Naturgy, o reajuste nas tarifas foi provocado pelo aumento no custo  de aquisição do gás natural fornecido pela Petrobras.
Fundos de pensão querem mais tempo para cobrir déficit de 2020 e 2021|Folha|13/02/2022|Atualmente, trabalhadores da ativa, aposentados e pensionistas de Postalis,  dos Correios, Petros, da Petrobras, e Funcef, da Caixa, já têm mensalmente  descontos...
STF: ministros anulam ação trabalhista bilionária contra a Petrobras|Agência Brasil|14/02/2022|Os ministros da 1ª Turma do Supremo Tribunal Federal (STF) formaram maioria  para anular uma condenação imposta à Petrobras pelo Tribunal Superior do...
