title|media|date|desc
Bolsonaro tentou intervir na Petrobras, diz Silva e Luna a revista|Valor Econômico|01/04/2022|O presidente demissionário da Petrobras, general Joaquim Silva e Luna,  contou à revista “Veja” como o presidente Jair Bolsonaro tentou intervir na  companhia...
Petrobras indica risco ao alterar a política de preços ...|Correio Braziliense|01/04/2022|Na semana em que foi anunciada a troca da diretoria, a Petrobras encaminhou  o relatório anual para os investidores, com todos os riscos possíveis para  a...
Petrobras avisa investidores que pode mudar política de ...|Brasil de Fato|01/04/2022|A Petrobras pode deixar de vender combustíveis com preços baseados no  mercado internacional A estatal citou essa possibilidade em comunicado  enviado à Sec,...
Gasolina de refinaria privatizada na BA custa 10% mais que a da Petrobras|UOL Economia|01/04/2022|Gasolina de refinaria privatizada na BA custa 10% mais que a da Petrobras.  Refinaria de Mataripe, antiga Landulpho Alves (Rlam), na Bahia -  divulgação/.
Petrobras eleva preço do querosene de aviação em mais de 18% em vários polos|G1|01/04/2022|A Petrobras elevou o preço do querosene de aviação (QAV) em vários polos,  conforme publicação no site da estatal, com aumentos de mais de 18% em  Duque de...
Maioria é contra privatização da Petrobras e Eletrobras, diz pesquisa|iG Economia|01/04/2022|Segundo PoderData, 54% da população quer que Petrobras continue estatal, e  56% não quer Eletrobras na iniciativa privada. Por.
Petrobras descobre petróleo no pré-sal do sul da Bacia de Campos|Valor Econômico|01/04/2022|Petrobras descobre petróleo no pré-sal do sul da Bacia de Campos. De acordo  com a companhia, a porção está em poço pioneiro no bloco Alto de Cabo Frio  Central,...
Petrobras pode ampliar refino de combustíveis e reduzir importações, indica estudo do governo|Folha|01/04/2022|A Petrobras e outras refinarias privadas poderiam ampliar a produção  nacional de combustíveis para atender à demanda dos consumidores  brasileiros no momento...
Nem Lula, nem Bolsonaro podem mexer na Petrobras, segundo general|VEJA|01/04/2022|Nem Lula, nem Bolsonaro podem mexer na Petrobras, segundo general. A VEJA,  Joaquim Silva e Luna afirma que a governança da companhia não permite que o  novo...
Petrobras descobre nova acumulação de petróleo em poço do pré-sal da Bacia de Campos|Forbes Brasil|02/04/2022|A Petrobras disse ontem (1) que descobriu uma nova acumulação de petróleo  no pré-sal da porção sul da Bacia de Campos, em poço no bloco Alto de Cabo  Frio...
Bolsonaro tentou nomear ex-capitão do Bope em alto cargo da Petrobras|iG Economia|02/04/2022|O presidente Jair Bolsonaro tentou fazer pelo menos uma nomeação na  Petrobras enquanto a estatal era presidida pelo general da reserva Joaquim  Silva e Luna,...
Fatos da Semana: queda de ministro, Petrobras e recuos da ...|Poder360|02/04/2022|Fatos da Semana: queda de ministro, Petrobras e recuos da 3ª via. Milton  Ribeiro deixou o MEC, presidente da Petrobras demitido e pré-candidatos  desistem de...
Não é possível ter preços baratos às custas do lucro da Petrobras, diz professora|CNN Brasil|02/04/2022|Em entrevista à CNN neste sábado (2), ela afirmou que “a Petrobras é uma  empresa, não é só do governo, é dele e de vários outros acionistas.
Priner (PRNR3): Troca no comando da Petrobras não afeta operações offshore|InfoMoney|02/04/2022|Na última segunda-feira (28), o presidente Jair Bolsonaro anunciou a  demissão do segundo presidente da Petrobras (PETR3 ; PETR4) durante o seu  mandato.
Petrobras tem como ampliar refino de gasolina e deixar de ...|Amazonas Atual|02/04/2022|BRASÍLIA – A Petrobras e outras refinarias privadas poderiam ampliar a  produção nacional de combustíveis para atender à demanda dos consumidores  brasileiros...
Petrobras pode ampliar refino de combustíveis e reduzir importações, indica estudo do governo|Yahoo Finanças|02/04/2022|BRASÍLIA, DF (FOLHAPRESS) - A Petrobras e outras refinarias privadas  poderiam ampliar a produção nacional de combustíveis para atender à demanda  dos...
Rodolfo Landim desiste de concorrer à presidência do Conselho de Administração da Petrobras|G1|03/04/2022|"""Apesar do tamanho e da importância da Petrobras para o nosso país, e da  enorme honra para mim em exercer este cargo, gostaria de informá-lo que  resolvi..."
Rodolfo Landim recusa convite da Petrobras para se dedicar ...|Exame|03/04/2022|Rodolfo Landim fez carreira na Petrobras antes de criar sua própria  petroleira, a Ouro Preto, e vendê-la. Ele trabalhou na estatal por 26 anos  e ocupou diversas...
Minas e energia busca substituto para Landim na Petrobras, enquanto tenta viabilizar Pires na presidência|Valor Investe|03/04/2022|Mas o desafio do governo pode ir além de encontrar um executivo para  assumir o Conselho de Administração da Petrobras. Isso porque já se  especula que o...
Petrobras dobra a remuneração em 2021|Valor Econômico|03/04/2022|Compõem a diretoria executiva da Petrobras hoje oito executivos, além do  presidente. A estatal propôs o pagamento de um salário de R$ 14,17 milhões  aos...
Ministério Público vê possível conflito de interesse e aumenta pressão contra Pires na Petrobras|Valor Econômico|03/04/2022|Além de enfrentar resistências internas no governo, o economista Adriano  Pires, escolhido pelo presidente Jair Bolsonaro(PL) para o comando da  Petrobras,...
Petrobras pode ampliar refino de combustíveis e reduzir ...|Portos e Navios|03/04/2022|A Petrobras e outras refinarias privadas poderiam ampliar a produção  nacional de combustíveis para atender à demanda dos consumidores  brasileiros no momento...
Petrobras: veja o estágio do processo ao qual Landim responde na Justiça Federal|Valor Econômico|03/04/2022|Petrobras: veja o estágio do processo ao qual Landim responde na Justiça  Federal. Por Gabriel Vasconcelos, Valor — Rio. 03/04/2022 16h50  Atualizado...
Quem foi Maria Quitéria, que dará nome à nova plataforma da ...|A Gazeta|03/04/2022|Como parte uma nova política de batismo de plataformas afretadas, a  Petrobras deu o nome de Maria Quitéria à FPSO (sigla em inglês para unidade  flutuante de...
Reviravolta na troca de comando da Petrobras a 10 dias de ...|GZH|03/04/2022|"Em 2020, o conselho da Petrobras cobrou ressarcimento do prejuízos. 2.  Landim é visto como ""sócio oculto"" do empresário Carlos Suarez, ex-sócio da  OAS e dono de..."
