title|media|date|desc
Petrobras pode criar subsidiárias para vender 8 refinarias, decide STF|Agência Brasil|01/10/2020|O plenário do Supremo Tribunal Federal (STF) decidiu hoje (1º), por 6 votos  a 4, negar uma liminar (decisão provisória) pedida pelo Congresso para  suspender...
Supremo autoriza venda de refinarias da Petrobras contestada pelo Congresso|G1|01/10/2020|Na ação, o Congresso argumentou que a Petrobras estava descumprindo um  entendimento do próprio STF ao desmembrar a empresa-mãe para, em seguida,  vender esses...
Venda de ativos de subsidiárias da Petrobras não depende ...|Consultor Jurídico|01/10/2020|Desinvestimento ou privatização? Venda de ativos de subsidiárias da  Petrobras não depende do Congresso, diz STF. 1 de outubro de 2020, 18h08  Imprimir...
Petrobras conclui venda de campos terrestres de Lagoa Parda|Agência Brasil|01/10/2020|A Petrobras finalizou a venda da totalidade de sua participação nos campos  terrestres do Polo Lagoa Parda, no Espírito Santo. Os campos foram  comprados pela...
Dólar volta a subir e fecha no maior valor em quatro meses|Agência Brasil|01/10/2020|Bolsa sobe quase 1%, com ajuda de ações da Petrobras · Publicado em  01/10/2020 - 19:07 Por Wellton Máximo – Repórter da Agência Brasil* -  Brasília...
Golar anuncia chamada pública para comprar 5 milhões de ...|EPBR|01/10/2020|Esta semana, a Petrobras decidiu revisar a análise do Grau de Risco de  Integridade (GRI) da companhia no processo de arrendamento do terminal de  GNL da...
Petrobras retomará processos competitivos para venda de refinarias|Valor Investe|01/10/2020|Petrobras retomará processos competitivos para venda de refinarias. A  estatal está vendendo as refinarias Rlam na Bahia; Repar no Paraná; Rnest  em Pernambuco;...
Bacia de Campos tem planos de investimento de R$ 10 bi em ...|EPBR|01/10/2020|São campos vendidos pela Petrobras e atualmente operados por BW, Perenco e  Trident. Em 2012, produziam 81 mil barris/dia, e, em 2019, a produção  havia...
Sessão do STF – 01/10/2020|JOTA|01/10/2020|... do Supremo Tribunal Federal (STF) retoma, nesta quinta-feira (01/10),  às 14h, julgamento sobre o fatiamento e alienação de subsidiárias da  Petrobras.
Lemann vê XP crescendo ‘enormemente’ e dá ‘dica’ a Benchimol: ‘Vai ter que ser mais estrategista’|Seu Dinheiro|01/10/2020|"Com bom desempenho da Petrobras, Ibovespa estreia no 4º tri com virada  contra cautela. ""A XP está só começando"", diz Lemann. ""Tem uma pequena  porcentagem do..."
