title|media|date|desc
Quase fechada a venda de refinaria da Petrobras na Bahia|Blog O Globo|01/11/2020|Deve ser assinada em dezembro a venda da refinaria Landulpho Alves (BA), da  Petrobras, para o Mubadala, o fundo soberano de Abu Dhabi, por pouco menos  de...
De Zero a Um: livro ensina que não há fórmula mágica para ...|Eu Quero Investir|01/11/2020|Radar traz Petrobras (PETR4), Embraer (EMBR3) e Braskem (BRKM5) · Futuros  de NY sobem e demais mercados operam em terreno positivo; tendência se  mostra de...
Cruzeiro do Sul quer acelerar aquisições com recurso do IPO|Eu Quero Investir|01/11/2020|Radar traz Petrobras (PETR3; PETR4), CSN (CSNA3) e GPA (PCAR3) · Com Selic  a 13,25%, a poupança vale a pena? Descubra aqui · Mercados operam em baixa  com...
CEO da Brookfield Asset aposta em reocupação de escritórios|Money Times|01/11/2020|Comprar ou vender? Mercado vê riscos políticos que podem afetar ação da  Petrobras. Leia mais sobre: Bloomberg, Coronavírus,...
Coronel Feitosa promove ato de rua em carro aberto, apesar da restrição do TRE-PE|Folha PE|01/11/2020|Brasil receberá 12 países para discutir crimes transnacionais · CPI da  Petrobras: sem empenho de líderes, coleta de assinaturas fica bem abaixo  do. Política...
Dentil/Praia vence Sesc RJ Flamengo e fica com o título do ...|Abc do Abc|01/11/2020|"""Quem sabe se privatizar Petrobras, todo mundo vai ter petróleo?"", diz  Guedes · No longo prazo, seria possível substituir a oferta russa perdida  por outros..."
Cidades do petróleo têm nova onda de dificuldades|Economia & Negócios|02/11/2020|Nunca antes a Petrobrás se desfez de tantos campos e plataformas como nos  últimos dois anos. Em 2020, pela primeira vez, a produção da Bacia de  Campos caiu...
Dividend Payout: entenda o que é e como funciona esse ...|Eu Quero Investir|02/11/2020|Radar traz Petrobras (PETR4), Embraer (EMBR3) e Braskem (BRKM5) · Futuros  de NY sobem e demais mercados operam em terreno positivo; tendência se  mostra de...
Conheça os 20 fundos imobiliários mais rentáveis em 2020 ...|Eu Quero Investir|02/11/2020|Radar traz Petrobras (PETR4), Embraer (EMBR3) e Braskem (BRKM5) · Futuros  de NY sobem e demais mercados operam em terreno positivo; tendência se  mostra de...
Cemitério do Araçá registra movimentação tranquila nesta segunda-feira em São Paulo|Band|02/11/2020|Rio de Janeiro bate novo recorde de temperatura. 28/06/2022 • 03:45.  Petrobras anuncia retomada das tratativas para vender refinarias.  28/06/2022 • 03:44...
Morre Gigi Proietti, um dos atores mais amados da Itália|ISTOÉ Independente|02/11/2020|Petrobras aprova Andrade como conselheiro e CEO. ISTOÉ Gente 13:43. Ana  Maria Braga fala sobre o caso de Klara Castanho ao vivo na Globo: '...
Exército brasileiro patrulha fronteiras na remota região norte da Amazônia|Money Times|02/11/2020|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
CVM absolve Dilma Rousseff de irregularidades em projetos ...|Consultor Jurídico|03/11/2020|Por entender que a ex-presidente Dilma Rousseff não tinha como questionar  informações da diretoria da Petrobras, o Colegiado da Comissão de Valores...
CVM condena ex-diretores da Petrobras Renato Duque e Paulo Roberto Costa|Valor Investe|03/11/2020|A diretoria da Comissão de Valores Mobiliários (CVM) condenou, nesta  terça-feira, os ex-diretores da Petrobras, Paulo Roberto Costa e Renato  Duque,...
CVM condena ex-presidente da Petrobras e ex-diretores por ...|Portos e Navios|03/11/2020|A Comissão de Valores Mobiliários (CVM) condenou o ex-presidente da  Petrobras José Sérgio Gabrielli e outros três ex-diretores da estatal por...
"Petrobras faz upgrade no SAP | Notícias"|Baguete|03/11/2020|A Petrobras fechou um novo contrato com a SAP, prevendo o upgrade para o  S/4 Hana, a última versão do software de gestão da multinacional rodando na  nuvem,...
Com Bolsonaro, Belivaldo fala sobre Petrobras, Covid-19 e ...|Infonet|03/11/2020|Eles trataram sobre assuntos de interesse de Sergipe junto ao Governo  Federal. Entre as pautas da reunião, as operações da Petrobras em águas  profundas do...
Petrobras (PETR4) Anuncia Venda da Araucária Nitrogenados|The Capital Advisor|03/11/2020|Petrobras (PETR4) Anuncia Venda da Araucária Nitrogenados. A ANSA possui  uma unidade industrial de fertilizantes nitrogenados localizada em  Araucária, no Estado...
Preço do gás de cozinha vai aumentar a partir desta quarta-feira|Correio Braziliense|03/11/2020|Distribuidoras do DF receberam comunicado da Petrobras sobre reajuste de  5%. Este é o nono aumento no valor do produto apenas neste ano.
Com evasão da Petrobras, Macaé e Campos dos Goytacazes podem acabar se tornando “cidades fantasmas” se depender apenas das atividades de exploração do petróleo|CPG Click Petroleo e Gas|03/11/2020|Venda de plataformas da Petrobras e pandemia esvazia negócios em cidades do  petróleo como Macaé e Campos dos Goytacazes. Um dos principais campos de...
Macaé conta com vagas de emprego abertas pela terceirizada de óleo gás Engeman, na função Caldeireiro offshore|CPG Click Petroleo e Gas|03/11/2020|Recursos Humanos da Engeman Macaé anuncia novas vagas de emprego de nível  médio para processo seletivo offshore em projetos de plataformas Petrobras.
Bradesco Seguros nomeia Ivan Gontijo como seu novo presidente|Seu Dinheiro|03/11/2020|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis · Bradesco Seguros nomeia Ivan Gontijo como seu  novo...
Petrobras anuncia reajuste de até 33% no preço do gás canalizado|Extra Online|04/11/2020|A Petrobras anunciou na manhã desta quarta-feira reajuste nos preços de  venda de gás natural para as distribuidoras para os contratos iniciados em  janeiro...
Petrobras reajusta contratos de gás com distribuidoras e eleva preços|Exame|04/11/2020|A Petrobras reajustou em 1º de novembro os preços de venda de gás natural  para distribuidoras em contratos iniciados em janeiro de 2020,...
Petrobras reajusta preço de gás natural em 33% para ...|ISTOÉ DINHEIRO|04/11/2020|A Petrobras informa que reajustou, em 1º de novembro, os preços de venda de  gás natural para as distribuidoras para os contratos iniciados em janeiro  de...
CVM absolve PwC de condenação por irregularidades em auditoria da Petrobras|Valor Investe|04/11/2020|CVM absolve PwC de condenação por irregularidades em auditoria da  Petrobras. A PwC e o seu sócio e responsável técnico, Marcos Donizete  Panassol, foram...
Petrobras anuncia venda de UPGN e 28 campos na Bahia|EPBR|04/11/2020|APRESENTADA POR. Quem faz. Editada por Gustavo Gaudarde  gustavo@epbr.com.br. em jogo. Petrobras anunciou a venda de mais uma  unidade de processamento de gás...
Muitos empregos offshore à vista: Petrobras concede contrato de manutenção de 11 plataformas para Engeman, que detém base de operações em Macaé para atender a Bacia de Campos|CPG Click Petroleo e Gas|04/11/2020|Engeman fatura da Petrobras contrato de manutenção para as plataformas  offshore ... contratos com a Petrobras e muitos empregos estão por vir para  a região.
Prejuízo da Gol sobe para R$ 1,696 bilhões no 3º trimestre|Seu Dinheiro|04/11/2020|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal. Menu.
Blue chips: o que são e como identificar essas ações na bolsa ...|Eu Quero Investir|04/11/2020|Quer exemplos? Vamos mostrar algumas blue chips brasileiras e  internacionais: Brasileiras: Ambev (ABEV3), Itaú (ITUB4), Bradesco (BBDC4),  Petrobras (...
Ações de B2W, Via Varejo e Magalu disparam com Nasdaq; siderúrgicas e Vale caem com realização de lucros|Seu Dinheiro|04/11/2020|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal · Ações de B2W, Via Varejo e Magalu disparam com Nasdaq;  siderúrgicas e Vale...
Senado aprova texto-base da autonomia do Banco Central|Seu Dinheiro|04/11/2020|GAME OVER para Petrobras? Clique aqui e descubra 2 ações que 'vencem' a  estatal. Menu.
CVM multa KPMG por irregularidades na auditoria do balanço de 2010 da Petrobras|Época Negócios|05/11/2020|... por irregularidades no desenvolvimento dos trabalhos de auditoria sobre  as demonstrações financeiras da Petrobras relativas ao exercício social de  2010.
STF nega pedido de Lula para ter acesso a acordos da ...|Poder360|05/11/2020|No Brasil, entretanto, a Petrobras disse ser vítima e acusou o petista de  ser parte de esquema contra a estatal –o que depois foi investigado e  resultou na...
Desinvestimento Petrobras no Nordeste: estatal põe à venda campos de petróleo offshore no Ceará|Click Petróleo e Gás|05/11/2020|Nordeste: a venda dos campos de petróleo offshore, no Ceará, inclui a  totalidade da participação da Petrobras em águas de Atum, Curimã, Espada e  Xaréu.
PetroRio vende participação no Campo de Manati à Gas Bridge por R$ 144,4 milhões|Valor Investe|05/11/2020|A transação está sujeita a condições precedentes, dentre as quais está o  êxito da Gas Bridge na aquisição da operação de Manati da Petrobras.
Ultrapar tem estratégia para fazer sozinha proposta por ativo ...|Portos e Navios|05/11/2020|A Ultrapar tem avaliado potenciais sócios estratégicos para disputar os  ativos de refino colocados à venda pela Petrobras, mas também tem uma  estratégia...
Ex-vereador de Caxias acusado de chefiar grupo que furtou 14 milhões de litros de combustível é preso no Espírito Santo|Extra Online|05/11/2020|De acordo com a Polícia Civil, todo o patrimônio foi conquistado com o  furto de combustível diretamente dos oleodutos da Petrobras.
Gás sobe pela 9ª vez e acumula alta de 40% – Jornal O Paraná|O Paraná|05/11/2020|O reajuste de 5% no valor cobrado das distribuidoras foi anunciado pela  Petrobras nessa quarta-feira (4). Segundo representantes do Sinegás  (Sindicato das...
Banco central da Inglaterra mantém juro básico em 0,10%, mas eleva estímulos|Seu Dinheiro|05/11/2020|'JULGAMENTO' DA PETROBRAS? Descubra se a estatal é culpada pela explosão  nos preços dos combustíveis · Banco central da Inglaterra mantém juro  básico em 0,10%,...
