title|media|date|desc
Com paralisação de poços, produção de petróleo no CE desaba 85%|Diario do Nordeste|01/02/2021|"A Petrobras quer se desfazer desses ativos e as empresas privadas estão  esperando o momento mais oportuno para fazerem a compra"", diz Bruno  Iughetti consultor..."
Tarcísio nega conflito com caminhoneiros e diz que movimento de greve será mínimo|CNN Brasil|01/02/2021|É isso que eu falo no áudio”, disse o ministro. Na última semana, o  presidente Jair Bolsonaro disse que foi “em cima da Petrobras” para tentar  reduzir o preço,...
PP pode romper hegemonia de DEM, MDB e PT na presidência da Câmara|Diário do Poder|01/02/2021|Moro acha 'risível' PT culpar juiz e não o ladrão por prejuízo na Petrobras  ... Moro acha 'risível' PT culpar juiz e não o ladrão por prejuízo na  Petrobras.
Eleições no Congresso: entenda como será o esquema de votação|Exame|01/02/2021|Parlamentares propõem suspensão de reajuste de 15,5% em planos de saúde.  Teto do ICMS e demissão na Petrobras são destaques da semana. Brasil.
Palmeiras: vitória de técnico português impulsiona legião estrangeira no Brasil|CNN Brasil|01/02/2021|Pressão sob Petrobras não muda com PEC; intenção do governo é seguir com  trocas na estatal · Justiça de SP condena Bolsonaro por dano moral a  jornalistas em...
Presidente de CPI recebe R$ 40 mi de verba extra|Exame|01/02/2021|Teto do ICMS e demissão na Petrobras são destaques da semana. Por mudança  no ICMS, governo diz que estados estão com cofres cheios. Brasil.
Maior projeto de pontes da história de MS muda realidade em ...|Governo de Mato Grosso do Sul|01/02/2021|A Petrobras retomou ontem (31) por meio de oportunidade de negócio (teaser)  a venda da Unidade de Fertlizantes Nitrogenados III em Três Lagoas (UFN3).  Para a...
Governo federal entra em disputa por água de cervejaria na ...|Amazonas Atual|01/02/2021|Sinais de Lula para economia são péssimos, afirma banqueiro · 4 de junho de  2022 · Petrobras deixa diesel mais caro e litro custará R$ 4,91 nas  refinarias.
O bê-á-bá do chavismo|VEJA|01/02/2021|TCU intima diretor da Petrobras nomeado por Lula a devolver R$ 975 milhões.  Mais lidas. 1. Política. O estado onde Lula está tomando de goleada de  Bolsonaro.
Eneva vence 3R Petroleum na disputa pelo Polo Urucu da ...|EPBR|02/02/2021|A Petrobras já comunicou a Eneva sobre o resultado, com o convite para  início das negociações diretas para o contrato de venda dos campos.
