title|media|date|desc
TCU diz que Petrobrás vendeu refinaria a preço abaixo do ...|BiodieselBR.com|01/04/2021|TCU diz que Petrobrás vendeu refinaria a preço abaixo do mercado e avalia  ... da venda da Refinaria Landulpho Alves (Rlam) pela Petrobrás ao  Mubadala,...
TCU avalia barrar venda de refinaria da Petrobras para fundo árabe|Folha|01/04/2021|Demitido da presidência da Petrobras por divergências com Jair Bolsonaro,  Roberto Castello Branco explicou aos funcionários em uma carta de despedida  que o...
Venda de refinaria da Petrobras na Bahia pode ser suspensa, diz TCU|CPG Click Petroleo e Gas|01/04/2021|A Refinaria Landulpho Alves, na Bahia, foi vendida pelo valor de US$ 1,65  bilhão pela Petrobras. Segundo o TCU, esse valor estaria abaixo do preço  de...
Petrobras aumenta gás de cozinha em 5% para as distribuidoras|CNN Brasil|01/04/2021|Petrobras aumenta gás de cozinha em 5% para as distribuidoras. O valor  passará a ser de R$ 3,21 por quilo, com um aumento médio de R$ 0,15 por  quilo; mudança...
Ex-gerente da Petrobras acusado de manipular mercado recorre contra estatal|iG Economia|01/04/2021|O ex-gerente executivo de Recursos Humanos (RH) da Petrobras, Claudio  Costa, protocolou petição na Comissão de Valores Mobiliários ( CVM )...
Balança comercial tem superávit de US$ 1,482 bilhão em março|Agência Brasil|01/04/2021|Até meados da década passada, o Brasil registrava em subsidiárias da  Petrobras no exterior plataformas de petróleo que na prática jamais saíam  do país.
Lucro das empresas de capital aberto dobra no 4º tri, mas despenca 40% no ano|CNN Brasil|01/04/2021|Mas se colocarmos Vale e a Petrobras na lista, a queda de lucratividade em  2020 chega a “apenas” 41,2%. Quando as instituições financeiras são levadas  em conta,...
TCU tem 5 dias para avaliar suspensão da venda de refinaria|Noticias R7|01/04/2021|"""Recebi Ofício do Subprocurador-Geral, Lucas Rocha Furtado, ressaltando a  recente decisão do conselho de administração da Petrobras em vender a  Rlam..."
Ibeps avalia que preço justo da gasolina seria de R$ 3,60|Repórter Diário|01/04/2021|“A gente não daria prejuízo para a Petrobras, ela deixaria de ganhar mais  dinheiro, mas ainda mantendo a empresa com um lucro muito acima do mercado,  fecharia...
Preço médio da gasolina sobe quase 11% em março nos postos do Brasil, diz ValeCard|Money Times|01/04/2021|O cenário de preços em alta nos postos vem com o impulso de reajustes  realizados ao longo do ano pela Petrobras (PETR4) nas refinarias do país,...
Troca de comando deve afetar os planos da Petrobras de ...|Gazeta do Povo|04/04/2021|Como a intervenção de Bolsonaro afeta os planos da Petrobras de vender  refinarias ... Em 2019, a Petrobras colocou à venda oito de suas 13  refinarias.
A Imunidade Tributária Recíproca e a Jurisprudência|Estratégia Concursos|04/04/2021|O tribunal guardião constitucional entendeu que, da mesma forma que no caso  da Petrobrás demonstrado, a jurisprudência não deve reconhecer a imunidade  recíproca...
Petrobras anuncia aumento de 39% no gás natural para distribuidoras|Agência Brasil|05/04/2021|Petrobras anuncia aumento de 39% no gás natural para distribuidoras.  Reajuste passa a valer em 1° de maio.
Petrobras anuncia reajuste de 39% no preço do gás natural|Agência Brasil|05/04/2021|A Petrobras anunciou reajuste de 39% no preço do gás natural repassado às  distribuidoras. O novo valor valerá a partir do dia 1º de maio.
Petrobras eleva preço do gás natural em quase 40% para distribuidoras em 1º de maio|Valor Econômico|05/04/2021|A Petrobras informou que irá aumentar, a partir do dia 1º de maio de 2021,  o preço de venda de gás natural para as distribuidoras em 39% em reais por  metro...
Petrobras muda escala de trabalhadores em plataformas para ...|A Gazeta|05/04/2021|O avanço das contaminações por Covid-19 nas plataformas de petróleo fez a  Petrobras alterar temporariamente a escala dos empregados que trabalham  embarcados...
Fundo da Vinci Partners conclui aquisição de parques eólicos da Petrobras|Forbes Brasil|05/04/2021|A transação, que marca a saída da Petrobras dos negócios em energia eólica,  envolveu também fatia detida pela alemã Wobben Windpower nas usinas,...
Suspensa pela Petrobras, MODEC foi líder isolada do ...|EPBR|05/04/2021|A Yinson, com uma unidade para o campo de Marlim, e a Misc Berhard, com o  FPSO Mero 3, ambos projetos da Petrobras, vão estrear no mercado de  construção e...
XP reduz estimativa de valor de venda de refinarias da Petrobras para até US$ 4,77 bi|Valor Investe|05/04/2021|A XP Investimentos acredita que a Petrobras vai levantar entre US$ 3,53  bilhões e US$ 4,77 bilhões com a venda de seis de suas refinarias ainda  em...
Demitido da Petrobras, gerente recorre à CVM sobre caso de informação privilegiada|Valor Investe|05/04/2021|Uma demissão na Petrobras na segunda-feira passada sinalizou que a  companhia tinha matado a charada sobre o misterioso caso de “insider  trading” com opções...
3R capta R$ 820 mi no follow-on mais rápido da história e triplica negócio|Exame|05/04/2021|Campo da 3R, adquirido da Petrobras: no Pólo Macau, produção aumentou 28%  após as primeiras melhorias para reativação de poços (Divulgação/3R).
Empresas privadas avançam no mercado de gás, mas 'choque de energia barata' ainda demora|Folha|05/04/2021|A Unigel compra o gás da Petrobras, mas ela mesma contratou o transporte  pelos dutos da TAG, usando capacidade ociosa da estatal. A TAG, que opera  os gasodutos...
Não vou interferir, mas podemos mudar política de preços da Petrobras, diz Bolsonaro|Valor Investe|07/04/2021|"O presidente Jair Bolsonaro afirmou hoje que é ""inadmissível"" a Petrobras  reajustar o preço do gás em 39%, como anunciado nesta semana."
