title|media|date|desc
Valor de venda de refinaria da Petrobras é questionado em ...|Câmara dos Deputados|01/06/2021|Refinaria foi vendida por US$ 1,6 bilhões; Petrobras chegou a avaliar a  refinaria baiana em US$ 3 bilhões; TCU lembra que a venda só será concluída  em...
Radar traz Vale (VALE3), Petrobras (PETR4), Itaúsa (ITSA4) e Totvs (TOTS3)|EuQueroInvestir|01/06/2021|Os destaques desta terça-feira (01) do Radar Corporativo são Vale (VALE3),  Petrobras (PETR4), Itaúsa (ITSA4), Totvs (TOTS3) e BB Seguridade (BBSE3).
Terreno da Planta de Amônia em Uberaba está à venda por mais de R$ 8 milhões|G1|01/06/2021|Fábrica de amônia foi um projeto da Petrobras para alavancar a produção de  fertilizantes em uma das principais regiões agrícolas do país, mas foi  suspensa...
Prefeito Welberth Rezende visita obras de ampliação da rede de água depois de confirmação de obras em ...|Clique Diário|01/06/2021|Sobre as obras de urbanização da Avenida MPM no Lagomar, a prefeitura  lembra que a parceria com a Petrobras é uma medida compensatória ambiental  pelo...
Petrobras vende sua participação na Eólica Mangue Seco 2 por 34,2 milhões de reais no Rio Grande do Norte|CPG Click Petroleo e Gas|01/06/2021|Por R$ 34,2 milhões, a Petrobras vendeu sua participação de 51% da  Sociedade Eólica Mangue Seco 2, localizada no estado do Rio Grande do Norte  (RN).
Produção de petróleo em abril cresceu 4,6% em relação a ...|Poder360|01/06/2021|Plataforma P-56, da Petrobras, durante batismo em Angra dos Reis-RJ.  Produção de petróleo em abril de 2021 aumentou 4,6% em relação a março  Poder360...
Vale desativa píer que foi arrendado pela Petrobras, no Porto de Tubarão, no Espírito Santo. Cerca de 300 funcionários serão demitidos|CPG Click Petroleo e Gas|01/06/2021|O contrato entre a Vale e a Petrobras terminou ontem (31/05). A estatal  realizava o serviço de fornecimento de bunker no Porto de Tubarão, em  Vitória.
Demissão na Petrobras: 3 meses depois, empresa não ...|Poder360|01/06/2021|Mais de 3 meses depois de o presidente Jair Bolsonaro anunciar a demissão  do ex-presidente da Petrobras Roberto Castello Branco, a companhia ainda  não...
Petróleo renova máxima e ultrapassa os US$ 71|EPBR|01/06/2021|Conselho da Petrobras. Parecer da Comissão de Valores Mobiliários (CVM)  afastou a suspeita de irregularidades na eleição do Conselho de  Administração da...
Em novo aumento, gasolina chega a ser vendida a R$ 6,29 ...|Cidade Verde|01/06/2021|Desde o dia 1º de maio, o valor do litro da gasolina não sofre reajuste da  Petrobras nas refinarias, mas essa não é a realidade nos postos de  combustíveis...
Petrobras mira emissão no mercado internacional; anuncia oferta de recompra|InfoMoney|02/06/2021|Petrobras mira emissão no mercado internacional; anuncia oferta de  recompra. “Os títulos terão vencimento em 10 de junho de 2051 e serão  emitidos com garantia...
Refino do pré-sal sobe 30% até abril e é 55% do total processado, diz Petrobras|CNN Brasil|02/06/2021|O processamento de petróleo do pré-sal brasileiro em refinarias da  Petrobras alcançou a marca de 1,186 milhão de barris por dia entre janeiro  e abril deste...
Petrobras recupera valor de mercado perdido com demissão ...|Poder360|02/06/2021|A Petrobras superou na 3ª feira (1º.jun.2021) o valor de mercado que tinha  quando o presidente Jair Bolsonaro anunciou a demissão do presidente da  estatal...
C-Suite: Salvador Dahan é o novo diretor de governança e conformidade da Petrobras|Forbes Brasil|02/06/2021|Salvador Dahan: A Petrobras investiu grandemente no fortalecimento do seu  sistema de integridade e conseguiu virar uma página da sua história.  Estamos em uma...
Investigação no Brasil liga trading americana Freepoint a esquemas de propina|Época Negócios|02/06/2021|A Polícia Federal suspeita que a empresa, por meio de um intermediário,  tenha pago funcionários da Petrobras por um período de aproximadamente sete  anos.
Refino do pré-sal cresce 30%; representa 55% do total ...|ISTOÉ DINHEIRO|02/06/2021|RIO DE JANEIRO (Reuters) – O processamento de petróleo do pré-sal  brasileiro em refinarias da Petrobras alcançou a marca de 1,186 milhão de  barris por dia...
Manutenção em plataforma da Petrobras levará a perda de 3 ...|Poder360|02/06/2021|Isso porque a Petrobras vai fazer uma parada programada para manutenção da  plataforma de Mexilhão e do gasoduto Rota 1, que escoa gás natural  produzido em...
Preço médio do diesel está 45% maior do que há um ano ...|Poder360|02/06/2021|petrobras-gasolina. Copyright Sérgio Lima/Poder360. Na imagem, caminhões  chegam à distribuidoras da Petrobras Pedro Pligher 02.jun.2021  (quarta-feira) -...
Santander contrata ex-CFO da Petrobras como chefe de estratégia|Money Times|02/06/2021|O Banco Santander Brasil (SANB11) contratou Andrea Marques de Almeida, que  foi diretora financeira da Petrobras (PETR4) até abril deste ano, para  comandar a...
ANP publica pré-edital do segundo leilão do excedente da ...|EPBR|02/06/2021|Shell, Total e Petrogal já atuam junto com a Petrobras na jazida  compartilhada de Atapu, área que reúne o contrato de cessão onerosa de  Entorno de Iara, o...
País produz menos, importação de diesel cresce 57% e é a maior desde 2013|UOL Economia|03/06/2021|A fatia da Petrobras nas importações também cresceu de um mês para outro.  Em março, segundo a ANP, 25,7% do diesel importado foi trazido pela  Petrobras. Em...
PETR3 e PETR4: em qual ação da Petrobras vale a pena ...|E-Investidor|03/06/2021|No caso da Petrobras, o investidor majoritário é o Governo Federal, de  forma que os outros acionistas não têm um impacto significativo nas  escolhas e elas...
Aeronave da Omni Air sofre acidente em plataforma da Petrobras no Rio|AEROIN|03/06/2021|... se acidentou durante um exercício de treinamento na sonda SS-75 Ocean  Courage da Diamond Offshore, arrendada à Petrobras, na noite de ontem, 2 de  junho.
O avanço das novas tecnologias de comunicações e sua ...|EPBR|03/06/2021|No último dia 12 de abril de 2021, a assembleia geral ordinária da  Petrobras elegeu seus novos conselheiros por meio do voto múltiplo,  permitindo aos...
Marfrig eleva participação na BRF para aproximadamente 31,66%|Money Times|03/06/2021|Últimas Notícias Cotações Comprar ou Vender Petrobras Dividendos ·  Instagram · YouTube · Linkedin Facebook · Google Facebook Twitter.
Mega projeto de exploração de petróleo vai contratar 100 plataformas, construir 50 navios, gerar mais de 400 mil empregos e exportar 25 milhões de tonelada de óleo até 2024 no Ártico|CPG Click Petroleo e Gas|03/06/2021|querosene, petrobras, petróleo · Preço do querosene de aviação é elevado em  11% pela Petrobras por conta da alta no valor ... Petrobras, Ocyan,  navios-sonda...
Brasil descobre ´pré-sal lilás` no RS; jazida de ametistas em província Los Catalanes, no Uruguai, avança em terras gaúchas|CPG Click Petroleo e Gas|03/06/2021|nordeste - chuvas - social - doações - petrobras · Petrobras doa R$ 4  milhões para apoiar população afetada pelas chuvas que atingiram a região  Nordeste do...
Preço da gasolina, etanol, diesel e GNV não param de subir e o mais novo combustível biometano veio para ´salvar` motoristas de aplicativo, taxistas e trabalhadores|CPG Click Petroleo e Gas|03/06/2021|Petrobras fez um novo reajuste no preço do GNV, aumentando 39% para as  distribuidoras. Segundo o levantamento feito pela Agência Nacional de  Petróleo,...
Falas de Bolsonaro sobre crise hídrica contradizem técnicos, diz especialista|CNN Brasil|03/06/2021|Pressão sob Petrobras não muda com PEC; intenção do governo é seguir com  trocas na estatal. Justiça de SP condena Bolsonaro por dano moral a  jornalistas em...
Primeira usina solar com painéis solares flutuantes em grande altitude gera até 50% a mais de energia solar|CPG Click Petroleo e Gas|03/06/2021|Preço do querosene de aviação é elevado em 11% pela Petrobras por conta da  alta no valor do petróleo. 4 de junho de 2022 — Roberta Souza.
Petrobras anuncia parada programada de plataforma de Mexilhão e gasoduto Rota 1|Money Times|04/06/2021|“Como medida adicional, a Petrobras irá conciliar a manutenção da  plataforma de Mexilhão e do gasoduto Rota 1 às paradas programadas de  usinas termelétricas...
Fitch Ratings Assigns Petrobras' Proposed Issuance 'BB-'|Fitch Ratings|04/06/2021|Fitch Ratings Atribui Rating 'BB–' à Proposta de Emissão da Petrobras.  Brazil Fri 04 Jun, 2021 - 9:04 AM ET.
Acidente com helicóptero AW139 em plataforma marítima da Petrobras|Cavok|04/06/2021|Já a Petrobras, responsável pela unidade marítima, informou que a sonda não  estava em operação e não houve impacto ao meio ambiente.
As ações favoritas para o mês de junho, segundo 16 corretoras|Seu Dinheiro|04/06/2021|Esse é o caso da mais recente candidata à fênix brasileira, a Petrobras. A  empresa até começou o ano bem e, inclusive, liderou nossa seleção de  ações...
Gás de cozinha tem forte alta e complica orçamento de famílias|Correio Braziliense|04/06/2021|"Questionada, a Petrobras, por meio de sua assessoria de imprensa, respondeu  que não há previsão de reajustes de preços de GLP com frequência mínima  mensal: ""..."
Ibovespa bate novo recorde e supera marca de 130 mil pontos|Valor Econômico|04/06/2021|Com ajuda de pesos pesados na bolsa, como Petrobras e bancos, foi o sétimo  avanço consecutivo do índice e o quinto recorde de fechamento.
Gincana do Caminhoneiro realiza final nos dias 10 e 11, na ...|Estradas|04/06/2021|... da Petrobras, com foco nos caminhoneiros. Ainda de acordo com os  organizadores, mais de 10 mil caminhoneiros participaram das ações do  evento.
Em Cubatão, ato simbólico marcará entrega de cartões do 'Projeto Ação Cesta Básica'|Diário do Litoral|04/06/2021|"A cerimônia terá a presença do prefeito municipal, Ademario Silva e da  presidente da entidade, Sônia Onuki. ""Agradecemos a Petrobras por mais esta  parceria com..."
Panasonic, uma das maiores empresas de tecnologia do mundo, abre vagas de emprego e estágio para atuar em SP, AM e MG|CPG Click Petroleo e Gas|04/06/2021|... Em projetos Petrobras, Infotec recebe currículo neste dia (02) para  vagas de emprego de nível médio e superior em Macaé, RJ, MG, BA, ES , GO,  AM e PE...
Vagas de emprego abertas no Assaí Atacadista do Rio de ...|FDR|04/06/2021|Quem pode participar? Confira os requisitos para se candidatar à vaga:  Jovem Aprendiz Petrobras 2021: Como fazer inscrição...
O Diário Gaúcho te ajuda a entender a alta no preço do gás de cozinha|Diário Gaúcho|05/06/2021|"O gás de cozinha é um derivado do petróleo, como gasolina e diesel. Tanto,  que seu nome ""oficial"" é GLP, de gás liquefeito de petróleo. No Brasil, a  Petrobras..."
Solidariedade a Alessandro Trindade, diretor do Sindeptro-NF|Partido dos Trabalhadores|05/06/2021|O Partido dos Trabalhadores solidariza-se com o companheiro Alessandro  Trindade, demitido pela direção da Petrobras por arrecadar e distribuir  alimentos...
"Carvalhosa nega que fosse participar da ""Fundação Dallagnol"""|Consultor Jurídico|05/06/2021|O advogado Modesto Carvalhosa, que representa acionistas minoritários da  Petrobras, nega que fosse participar do rateio de verbas da fundação  planejada...
Demitidos pela Lava Jato vivem de bicos e Uber à espera de ...|Brasil de Fato|05/06/2021|“Hoje, a Petrobras está mandando para fora as plataformas P78 e a P79.” O  que mais dói. Almir Marvila tem 58 anos, entrou no setor naval em 1985 e  compartilha...
Cartão de crédito Banco do Brasil: conheça 5 opções SEM ...|Seu Crédito Digital|05/06/2021|Cashback: com suas compras você acumula pontos que podem virar desconto na  fatura. Consumindo no seu posto premmiado e pagando com o Cartão Petrobras,  você...
Maior distribuidora do Amazonas, Atem avança rumo ao sul do país|Blogs|05/06/2021|... e mira a aquisição da Reman, a refinaria da Petrobras em Manaus. ...  Rodrigues e Ramos se reúnem com representantes da Petrobras e da Receita  Federal em...
Brasileiros de 15 a 29 anos estão mais tristes, mais ...|Agora RN|05/06/2021|Conselho do PPI aprova incluir Petrobras em estudos para privatização  Petrobras eleva em 11,4% preço médio da querosene de aviação Mãe de  Michael,...
Assaí (ASAI3) e Usiminas (USIM5): Veja as datas de corte e quem vai pagar dividendos na semana|Suno|05/06/2021|Petrobras (PETR4) e Eletrobras (ELET3) são destaques do mercado · Notícias  Negócios Assaí (ASAI3) e Usiminas (USIM5): Veja as datas de corte e quem  vai...
Montadora chinesa clona a icônica Kombi da Volkswagen, logo após fabricar descaradamente uma cópia elétrica do Fusca|CPG Click Petroleo e Gas|05/06/2021|Após mobilização da FUP contra venda da Lubnor, a Prefeitura de Fortaleza  (CE) abre ação contra Petrobras para barrar privatização da refinaria.
Bolsonaro extingue a Ceitec, estatal brasileira referência na ...|Brasil de Fato|05/06/2021|Após impeachment, parcela da Petrobras na economia brasileira cai 34%.  Outras notícias. Auxílio Brasil: empréstimo consignado representa  financeirização de...
Petrobras sinaliza cobrança a ex-vereador delator da Lava ...|O Liberal|06/06/2021|A Petrobras sinalizou, na Justiça, que deverá cobrar o ex-vereador de  Americana Alexandre Correa de Oliveira Romano por prejuízos com a corrupção  na estatal...
9 momentos que marcam a saga da 'CPIs' no Brasil|Aventuras na História|06/06/2021|Sala de comissões do...
Polícia encontra corpo que pode ser de PM desaparecido em Heliópolis|Noticias R7|06/06/2021|A polícia encontrou neste sábado (5), durante as buscas pelo policial  militar Leandro Patrocínio no terreno da Petrobras, em Heliópolis, zona sul  de São...
Ex-presidente da Volkswagen pagará valor recorde por 'Dieselgate'|Exame|06/06/2021|Petrobras recebe documentos e já analisa nome de Paes de Andrade. Quer se  tornar CEO por um dia de empresas como Chilli Beans ou Kimberly Clark?  Carreira.
Michelin pretende desenvolver pneu amigável com o meio ambiente e que aumenta a eficiência dos veículos elétricos através de alta tecnologia|CPG Click Petroleo e Gas|06/06/2021|Petrobras qualifica dez grupos em disputa por contratos para arrendamento  de navios-sonda, entre elas Ocyan. 2 de junho de 2022 — Roberta Souza.
IFSP está com 120 vagas em cursos gratuitos EAD nas unidades da região de Campinas (SP) para as áreas de Eletroeletrônica, Fabricação mecânica e Informática|Click Petróleo e Gás|06/06/2021|Vagas de emprego anunciadas na noite de ontem (07/06) para contratos  Petrobras: Toyo Setal convoca Técnicos, Operadores, Ajudantes e mais, para  trabalhar em...
