title|media|date|desc
Bolsonaro sugere usar dividendos da Petrobras em fundo para segurar preços de combustíveis|InfoMoney|01/10/2021|É criar fundo regulador, é ver lucro da Petrobras… Aquele que vem para o  governo federal, para nós, ninguém vai meter a mão em nada…
Bolsonaro quer usar dividendos da Petrobras (PETR4) para conter combustíveis|Suno|01/10/2021|A sugestão do presidente é criar um fundo regulador com os dividendos da  Petrobras que são destinados à União. “Toda vez que der um aumento, você  não repassar...
"Fundo regulador para frear altas nos combustíveis | Portal ..."|Jornal Diário do Aço|01/10/2021|Veja mais abaixo sobre o PPI, implantado em 2016 na Petrobras, durante o  governo de Michel Temer e que hoje é apontado como principal causa da  disparada de...
Petrobras destina 90% a menos que o anunciado por ...|Brasil de Fato|01/10/2021|O montante informado pela estatal é apenas 10% dos R$ 3 bilhões anunciados  pelo presidente Jair Bolsonaro em entrevista ao Programa do Ratinho, do  SBT, em 30 de...
Ultrapar desiste de comprar refinaria da Petrobras|InfoMoney|01/10/2021|Já a Petrobras informou em comunicado que iniciará tempestivamente novo  processo competitivo para essa refinaria. “Os processos competitivos para  venda da...
“Transformacional”: por que a possível compra de campos da Petrobras impulsiona (ainda mais) as ações da PetroRio|InfoMoney|01/10/2021|No final do pregão da véspera, a Petrobras deu mais detalhes sobre o  projeto de desinvestimento dos campos de Albacora e Albacora Leste, na  Bacia de Campos,...
Petrobras ‘vai falir’ se alterar sua política de preços (e de lucros), diz seu presidente|Diário do Poder|01/10/2021|O presidente da Petrobras, general Joaquim Silva e Luna, afirmou nesta  sexta-feira que ... A Petrobras registrou lucro de R$42,8 bilhões somente  no segundo...
Após aumento do diesel, motoristas se preparam para novo reajuste na gasolina|Jovem Pan|01/10/2021|A Petrobras reajustou o valor do diesel nas refinarias em 8,89% e a estatal  já anunciou que haverá reajuste também do preço da gasolina nos próximos  dias e...
Petrobras, 68, resiste e voltará a seu destino|Monitor Mercantil|01/10/2021|Petrobras, 68, resiste e voltará a seu destino. Somente cultivadores de  fake news ou defensores de interesses externos podem duvidar do sucesso da  estatal.
Primeira oferta de ações da Braskem pode chegar a R$ 9 ...|E-Investidor|01/10/2021|A Novonor (antiga Odebrecht), os bancos credores e a Petrobras estão  discutindo um plano para vender a empresa em várias ofertas de ações.
Petrobras não vai controlar preço dos combustíveis, diz Silva ...|Poder360|02/10/2021|Nenhum conselheiro vai aprovar isso”, disse Luna. Este ano, a Petrobras  reajustou tanto o preço da gasolina quanto do diesel, nas refinarias, em  cerca de 50%. A...
Petrobras não vai segurar preço de combustível, risco é 'zero ...|ISTOÉ DINHEIRO|02/10/2021|Petrobras não vai segurar preço de combustível, risco é 'zero', diz CEO.  Crédito: REUTERS/Adriano Machado. O presidente da Petrobras em audiência em  Brasília (...
Chance da Petrobras segurar os preços dos combustíveis é zero, diz presidente|InfoMoney|02/10/2021|SÃO PAULO – O presidente da Petrobras (PETR3;PETR4), Joaquim Silva e Luna,  afirmou em entrevista à Reuters, publicada neste sábado (2), que a  companhia não...
Litro do diesel sobe 2% nas bombas na semana que a Petrobras reajustou o combustível|O Globo|02/10/2021|RIO _ Depois que a Petrobras anunciou o aumento de 8,9% no litro do óleo  diesel na refinaria na útlima terça-feira, que não era reajustado há 86  dias,...
Soluções para baixar o preço da gasolina, escreve William ...|Poder360|02/10/2021|Produtor de gasolina – é a Petrobras, produtor exclusivo da gasolina no  território nacional, que tem seus custos e margem de lucro e sofre impacto  das...
Fundo para preços dos combustíveis sairá do bolso do consumidor, diz professor|CNN Brasil|02/10/2021|Então, se a Petrobras dividir R$ 1 bilhão em dividendos, R$ 400 milhões  iriam para o Tesouro. O que a gente tem que avaliar é se é justo você usar  dinheiro de...
CPI da Chapecoense prepara volta e mira boliviana presa por autorizar voo|O Globo|02/10/2021|Eles querem ouvir representantes Caixa Econômica Federal e a Petrobrás  sobre a relação com as seguradoras implicadas na tragédia. Os senadores  também miram a...
Gestão da economia é outra face genocida do governo Bolsonaro|Carta Capital|02/10/2021|Bolsonaro acabou com essa gestão que a Petrobras fazia, repassando ao  consumidor final toda e qualquer variação internacional do petróleo ou do  dólar. Na...
Parecer de MP joga conta de R$ 33 bi com novos gasodutos para consumidor de energia|Valor Econômico|02/10/2021|... de R$ 33 bi com novos gasodutos para consumidor de energia Agência  Petrobrás ... Alta de preço do petróleo e dividendos da Petrobras bancarão  PEC dos...
Lula livre? Como ficaram as 20 ações e investigações contra ...|Gazeta do Povo|02/10/2021|A empreiteiras Odebrecht e OAS teriam custeado as reformas do local, em  troca de favorecimentos em contratos com a Petrobras. Resultado: Lula havia  sido...
Governo prevê fundo para combustíveis com ativos da Petrobras e sem dividendos|CNN Brasil|03/10/2021|O governo desistiu de incluir dividendos da Petrobras na proposta que cria  um fundo de compensação à alta de combustíveis. A ideia é que o fundo  seja...
Presidente da Petrobras diz que se preço da gasolina for represado, vai haver desabastecimento|O Globo|03/10/2021|BRASÍLIA — Após uma semana de forte pressão sobre a Petrobras em relação  aos preços dos combustíveis, o presidente da estatal, Joaquim Silva e  Luna,...
Como a pressão política pode prejudicar a recuperação da Petrobras|VEJA|03/10/2021|Assim que soube que a Petrobras iria fazer um novo reajuste ao preço do  diesel nas refinarias, o presidente Jair Bolsonaro correu para o seu  'cercadinho' de...
Petrobras completa 68 anos sob o mais perigoso desmonte de sua história|Carta Capital|03/10/2021|A Petrobras completa 68 anos em 3 de outubro. Certamente, muitos acionistas  da empresa, sobretudo os privados e os estrangeiros, terão motivos para...
Lira marca reunião com líderes da Câmara para discutir preço dos combustíveis|iG Economia|03/10/2021|Como confirmou o presidente da Petrobras, Joaquim Silva e Luna, ao GLOBO  ontem, lucro e tributos repassados pela estatal à União pode compor esse  fundo.
Escritório do Panamá opera offshores para mais de 160 ...|Poder360|03/10/2021|Na lista, estão nomes brasileiros envolvidos em escândalos de corrupção,  como a Odebrecht, o ex-diretor da Petrobras Paulo Roberto Costa e o  ex-presidente...
Sem demagogia|Folha|03/10/2021|Ao longo deste ano a alta chega a 50% para o diesel, com a última correção  de 8,9% definida pela Petrobras —mesmo após cobranças de Jair Bolsonaro à  direção...
Gasolina e conta de luz são itens que mais pesam para o consumidor, indica pesquisa|Correio Braziliense|03/10/2021|O economista e coordenador do Índice de Preços ao Consumidor (IPC) André  Braz explica que, em razão de a Petrobras ser uma empresa de economia  mista, com...
