title|media|date|desc
Árabes assumem nesta quarta primeira refinaria da Petrobras posta à venda|Exame|01/12/2021|A Petrobras concluiu a venda da Refinaria Landulpho Alves (Rlam) e seus  ativos logísticos associados, na Bahia, para o grupo Mubadala Capital,...
Petrobras: venda da Repar e da Refap deve ficar para depois ...|EPBR|01/12/2021|O diretor-executivo Financeiro e de Relacionamento com Investidores da  Petrobras, Rodrigo Araujo, disse nessa terça (30/11) que a venda das  refinarias...
Petrobras (PETR3; PETR4) conclui venda da Refinaria Landulpho Alves, na Bahia|InfoMoney|01/12/2021|A Petrobras (PETR3; PETR4) finalizou na terça-feira (30) a venda da  Refinaria Landulpho Alves (RLAM), em São Francisco do Conde, na Bahia e  seus ativos...
Petrobras e frigoríficos são retirados do índice de sustentabilidade|VEJA|01/12/2021|A Petrobras, que havia entrado no ranking em 2021, foi retirada da lista  pela B3. Além da Petrobras, outras empresas deixarão a carteira do ISE em  2022,...
Governo destina crédito suplementar de R$ 1,3 bilhão para a ...|Poder360|01/12/2021|Os investimentos da Petrobras constam no Orçamento da União, mas as verbas  tem como origem a própria empresa. Não há gastos para o Tesouro, ou seja,  para o...
Dossiê contra paridade internacional da Petrobras é entregue ao Congresso|CNN Brasil|01/12/2021|Diante de diversos reajustes no valor dos combustíveis, o Observatório  Social da Petrobrás (OSP) entrega ao Congresso Nacional, nesta quarta-feira  (1),...
Desmonte da Petrobras (3): “Petrobras quebrada”, álibi para privatização|Partido dos Trabalhadores|01/12/2021|Falácia justificou guinada da empresa para priorizar acionistas e entregar  ativos ao mercado. “Quem tem que ganhar com a Petrobras é o povo  brasileiro',...
Vale a pena comprar Petrobras para contar com os ...|Investing.com|01/12/2021|Investing.com - Hoje, 01, é o último dia para quem quer montar uma posição  em Petrobras (SA:PETR4) para aproveitar a distribuição de R$ 42,4 bilhões  que...
Guedes diz que Eletrobras está ‘condenada à irrelevância' e Correios correm risco nos próximos anos|O Globo|01/12/2021|Guedes diz que Eletrobras está 'condenada à irrelevância' e Correios correm  risco nos próximos anos. O ministro da Economia ainda disse que a Petrobras  também...
Petrobras (PETR4), Copel (CPLE6) e Blau Farmacêutica (BLAU3) chamam atenção do mercado|Suno|01/12/2021|A Petrobras finalizou na terça-feira (30) a venda da Refinaria Landulpho  Alves (RLAM) e seus ativos logísticos associados, para a MC Brazil  Downstream, empresa...
Ato contra venda de refinaria dá continuidade à luta pela Petrobras|Partido dos Trabalhadores|02/12/2021|Petroleiros continuam a resistir contra o esquartejamento e a privatização  da Petrobras e fazem mobilização em frente à RLAM, na Bahia, e outras  refinarias...
Por que Lula começou a falar sobre Petrobras agora ...|E-Investidor|02/12/2021|Fabrizio Gueratto tem 17 anos de experiência no mercado financeiro, é  especialista em investimentos, professor de MBA em Finanças, palestrante,  autor do livro “...
Sobre privatizações de Petrobras e Correios. Por Cássio Faeddo|JC Online|02/12/2021|Por Cássio Faeddo. Os Correios tiveram plano de venda aprovado na Câmara e  aguarda decisão do Senado. Petrobras é só...
"Reajustes do gás são ""sadismo"" da Petrobras, diz presidente ..."|Poder360|02/12/2021|Reajustes do gás são “sadismo” da Petrobras, diz presidente da Abividro.  Lucien Belmonte afirmou que Cade precisa intervir e punir a estatal, que  anunciou alta...
Petrobras (PETR3; PETR4) dispara com investidores mirando dividendos|Valor Investe|02/12/2021|Petrobras (PETR3; PETR4) dispara com investidores mirando dividendos.  Relatórios de bancos internacionais aguçaram o apetite, já elevado por  risco nesta quinta,...
Petrobras sai do índice de sustentabilidade da B3, Braskem ...|FDR|02/12/2021|Petrobras sai do índice de sustentabilidade da B3, Braskem entra · O ISE  contará com 34 ações de 34 empresas; · O índice passou por uma reformulação  recente; · A...
Petrobras dispara e bolsa tem maior alta desde maio de 2020|VEJA|02/12/2021|O índice foi influenciado, sobretudo, pela Petrobras. A estatal subiu 7,1%  após a Opep+ manter a política de aumentar gradualmente a produção global  de...
