title|media|date|desc
Petrobras não tem decisões tomadas sobre preços de combustíveis, diz Luna|Exame|02/03/2022|A Petrobras analisa a pressão de alta da cotação do barril de petróleo, mas  por enquanto não há nenhuma decisão tomada quanto a ajustes nos preços  dos...
Elevação do preço do petróleo aumenta desgaste entre ...|Correio Braziliense|02/03/2022|Elevação do preço do petróleo aumenta desgaste entre Petrobras e Bolsonaro.  Presidente tenta evitar que a estatal repasse a alta das cotações  internacionais do...
Abicom: Diesel e gasolina da Petrobras têm 25% de defasagem|UOL Economia|02/03/2022|"No entanto, a empresa tem demorado a fazer reajustes, alegando que assim  evita repassar volatilidades internacionais ao mercado interno. ""A  Petrobras vem..."
Petrobras fecha fábricas e expõe Brasil à falta de fertilizantes ...|Brasil de Fato|02/03/2022|O fechamento de três fábricas de fertilizantes da Petrobras durante os  governos de Michel Temer (MDB) e Jair Bolsonaro (PL) aumentou a dependência  do Brasil...
Vale (VALE3) e Petrobras (PETR4) em forte alta, aéreas e bancos em queda: os maiores destaques dos ADRs durante o Carnaval|InfoMoney|02/03/2022|Vale (VALE3) e Petrobras (PETR4) em forte alta, aéreas e bancos em queda:  os maiores destaques dos ADRs durante o Carnaval. Ativos foram bastante  impactados –...
Guerra pode travar venda de fábrica da Petrobras a russos|Poder360|02/03/2022|A guerra da Rússia contra a Ucrânia trouxe dúvidas em relação à  concretização da venda da UFN-III (Unidade de Fertilizantes  Nitrogenados-III), da Petrobras,...
ExxonMobil, Petrobras, Vale, TIM, Taesa e mais: Veja os destaques das empresas|Valor Investe|02/03/2022|ExxonMobil, Petrobras, Vale, TIM, Taesa e mais: Veja os destaques das  empresas. Diversas empresas, como a ExxonMobil, anunciaram desde  sexta-feira que estão...
BB (BBAS3) aprova antecipação de pagamento de proventos e Petrobras (PETR4) paga bônus de assinatura à ANP; Vale (VALE3) e mais|InfoMoney|02/03/2022|BB (BBAS3) aprova antecipação de pagamento de proventos e Petrobras (PETR4)  paga bônus de assinatura à ANP; Vale (VALE3) e mais.
Petrobras desmonta setor e Brasil fica refém dos fertilizantes ...|CUT|02/03/2022|No caso dos fertilizantes, a Petrobrás arrendou a Fafen da Bahia e do  Sergipe para a Unigel, que vem priorizando exportações de amônia a produzir  ureia no país”...
Lula: Petrobras trabalha para atender interesse dos acionistas em NY|iG Economia|02/03/2022|Petista criticou a internacionalização do preço dos combustíveis ... O  ex-presidente Luiz Inácio Lula da Silva voltou a criticar a política de  preços da Petrobras...
Petrobras deve manter preço dos combustíveis no curto prazo, apesar da alta do petróleo, diz UBS BB|Valor Econômico|03/03/2022|As empresas privadas devem esperar a estratégia da Petrobras antes de tomar  decisões, como se a estatal vai importar e abastecer o mercado ou fazer...
Petrobras manterá preços em equilíbrio com mercado internacional e vai evitar repassar volatilidades|Valor Investe|03/03/2022|Petrobras manterá preços em equilíbrio com mercado internacional e vai  evitar repassar volatilidades. Estatal está há 49 dias sem atualizar os  preços de...
Diesel e gasolina da Petrobras têm 25% de defasagem, maior nível em cerca de 10 anos, diz associação|G1|03/03/2022|A atual política de preços da Petrobras busca seguir o PPI, para evitar  prejuízos, considerando indicadores como o valor do barril do petróleo e o  dólar. No...
Sob pressão da inflação, Bolsonaro quer que Petrobras abra mão de parte do lucro|Valor Econômico|03/03/2022|O presidente Jair Bolsonaro defendeu nesta quinta-feira (3) que a Petrobras  deveria abrir mão de parte de seu lucro para reduzir o preço dos  combustíveis...
Genial: ações da Petrobras (PETR4) estão em 'revisão ...|E-Investidor|03/03/2022|Genial: ações da Petrobras (PETR4) estão em 'revisão'. Defasagem nos preços  do petróleo e risco político estão no radar da corretora.
Commodities, preços da Petrobras e empresas fogem da Rússia: veja as principais notícias de hoje (3)|SpaceMoney|03/03/2022|Commodities, preços da Petrobras e empresas fogem da Rússia: veja as  principais notícias de hoje (3). Fique por dentro dos cinco principais  assuntos que...
Venda de fábricas de fertilizantes da Petrobras aumentou ...|Monitor do Mercado|03/03/2022|A Federação Única dos Petroleiros (FUP) disse que a saída da Petrobras do  setor de fertilizantes durante o governo Jair Bolsonaro aumentou a  dependência das...
Petrobras (PETR4) não tem decisões tomadas sobre preço de combustível, diz CEO; brMalls (BRML3) vende fatia em shopping e mais notícias|InfoMoney|03/03/2022|Petrobras (PETR4) não tem decisões tomadas sobre preço de combustível, diz  CEO; brMalls (BRML3) vende fatia em shopping e mais notícias.
Medo de que Bolsonaro controle a gasolina afeta ações da Petrobras|VEJA|03/03/2022|Os analistas do UBS BB avaliam que a Petrobras ainda não deve repassar os  recentes aumentos na cotação do petróleo aos consumidores.
Ministra diz que Brasil errou ao parar de produzir fertilizantes ...|Brasil de Fato|03/03/2022|"Petrobras fechou três fábricas de insumos desde 2016 e aumentou dependência  brasileira de importações. Vinicius Konchinski. Brasil de Fato | Curitiba  (PR) |. 03..."
Presidente do conselho da Petrobras vai renunciar ao cargo, diz colunista|Valor Investe|05/03/2022|A mudança ocorre em um momento em que a Petrobras tem sofrido pressão de  investidores para elevar o preço dos combustíveis, à medida que o petróleo  se...
Chefe do conselho da Petrobras diz que deixará cargo|Exame|05/03/2022|O presidente do conselho de administração da Petrobras, almirante Eduardo  Bacellar Leal Ferreira, disse à Reuters neste sábado que planeja deixar o  cargo,...
Presidente do conselho da Petrobras deve ser substituído por Rodolfo Landim, diz colunista|Valor Econômico|05/03/2022|O presidente do conselho de administração da Petrobras, o almirante Eduardo  Bacellar Leal Ferreira, deve renunciar ao cargo. Por Valor — São Paulo.
Petrobras (PETR4) fará cessão de 5% para CNOOC no Campo de Búzios, ficando com 85% do campo|Suno|05/03/2022|A Petrobras (PETR4) assinou um contrato com a CNOOC Petroleum Brasil para a  cessão de 5% da sua participação na partilha de produção de volume  excedente da...
Linguagem de programação brasileira criada para Petrobras é febre mundial|Yahoo Esportes|05/03/2022|Linguagem de programação brasileira criada para Petrobras é febre mundial.  DANIELA ARCANJO. 5 de março de 2022 ·6 min de leitura.
Abrava pede que governo acabe com PPI da Petrobras ...|UOL Economia|05/03/2022|Abrava pede que governo acabe com PPI da Petrobras devido a alta do  petróleo. Wallace Landim, Chorão, líder caminhoneiro - Reprodução de vídeo.
Brasil quer mudar política da Petrobras para conter aumento dos combustíveis|ECO|07/03/2022|Uma política chamada Preço de Paridade de Importação (PPI) foi implementada  na Petrobras em 2016, durante o governo do ex-presidente Michel Temer,  usando preço...
Bolsonaro critica política de preços da Petrobras diz que tem reunião nesta segunda para discutir medidas|G1|07/03/2022|Presidente discordou da chamada paridade, que faz a Petrobras praticar os  preços internacionais e repassar as altas para o consumidor.
Ibovespa tem maior queda diária em três meses com tombo de Petrobras|Valor Econômico|07/03/2022|Localmente, para além do temor inflacionário e do clima de aversão a  riscos, passou a pesar uma possível interferência nos preços da  Petrobras,...
Landim vai enfrentar escrutínio em candidatura na Petrobras|Valor Econômico|07/03/2022|A indicação do presidente do Clube de Regatas do Flamengo, Rodolfo Landim,  para a presidência do conselho de administração da Petrobras, confirmada  pela empresa...
Petrobras confirma indicação de Landim para comandar Conselho de Administração da estatal|O Globo|07/03/2022|RIO — A Petrobras confirmou a indicação do presidente do Flamengo e  ex-funcionário de carreira da empresa, Rodolfo Landim, ao Conselho de  Administração da...
Governo indica Landim, presidente do Flamengo, para ...|Correio Braziliense|07/03/2022|O governo federal confirmou a indicação do ex-executivo da Petrobras  Rodolfo Landim, presidente do Flamengo, para comandar o conselho de  administração da...
Está 'caindo a ficha', ironiza relator de projetos para combustíveis, sobre críticas de Bolsonaro à Petrobras|Valor Econômico|07/03/2022|Para o presidente, é inadmissível a Petrobras repassar o aumento para o  consumidor final. O governo, assegurou, resolverá o assunto sem criar  “sobressalto...
Petrobras (PETR3;PETR4) tem maior queda em um ano; Azul (AZUL4) e Gol (GOLL4) lideram baixas da Bolsa|InfoMoney|07/03/2022|Petrobras (PETR3;PETR4) tem maior queda em um ano; Azul (AZUL4) e Gol  (GOLL4) lideram baixas da Bolsa. Confira o que movimentou o mercado nesta  segunda-feira.
Radar: governo pode congelar preços da Petrobras (PETR4), ações da Gol (GOLL4) derretem, Apple (AAPL34) lança iPhone de ‘baixo custo’|Suno|07/03/2022|Radar: governo pode congelar preços da Petrobras (PETR4), ações da Gol  (GOLL4) derretem, Apple (AAPL34) lança iPhone de 'baixo custo' · Gol  (GOLL4): demanda por...
Petrobras (PETR4): qual seria a solução mais sustentável para a política de preços com o salto do petróleo? BBI destaca alternativa|InfoMoney|07/03/2022|Petrobras (PETR4): qual seria a solução mais sustentável para a política de  preços com o salto do petróleo? BBI destaca alternativa.
Intervenção de Bolsonaro na Petrobras se soma à guerra no radar do mercado|Valor Investe|08/03/2022|"E o mercado, motivo a mais para se preocupar. ""A Petrobras acabou virando  boi de piranha para o governo"", comenta Rodrigo Franchini,..."
Preços da Petrobras garantiram mais lucro e dividendos. Faz sentido mudar?|Exame|08/03/2022|Quando foi colocada em prática a partir da gestão de Pedro Parente, em  2016, a política de preços de paridade internacional da Petrobras tinha um  objetivo...
Petrobras e exterior fazem Ibovespa fechar em queda|Valor Econômico|08/03/2022|Segundo informação apurada pelo Valor, a Petrobras e o governo começaram a  conversar para pensar na criação de um programa temporário de subsídio dos  preços...
Senado convida presidente da Petrobras para explicar distribuição de lucros|CNN Brasil|08/03/2022|Senado convida presidente da Petrobras para explicar distribuição de  lucros. Além de Joaquim Silva e Luna, membros do conselho da estatal também  foram chamados;...
