title|media|date|desc
Petrobras vende Gaspetro à Compass|Plantão dos Lagos|2022-07-15|Na última segunda feira, dia 11 de julho de 2022, a Petrobras fez a  finalização da venda de 51% de sua participação na empresa distribuidora de  gás...
Politização da Petrobras preocupa FUP|Monitor Mercantil|2022-07-15|Em nota, a Federação Única dos Petroleiros (FUP) disse ver “com preocupação  o processo de politização da Petrobras, com a indicação de conselheiros  com...
Comitê de Elegibilidade da Petrobras reprova 2 nomes|Band|2022-07-15|O Comitê de Elegibilidade da Petrobras reprovou dois dos nomes indicados  pelo Governo Federal para fazer parte do Conselho de Administração da  estatal.
Uberaba busca reativar plano da fábrica de fertilizantes|Diário do Comércio|2022-07-15|Planta de amônia abandonada pela Petrobras pode ser retomada em Uberaba.
Fundos apostam em pequenas produtoras de petróleo no Brasil|Money Times|2022-07-15|Os fundos multimercado e outros investidores que buscam lucrar com a  crescente produção de petróleo e gás do Brasil estão se voltando para uma  nova Embora a...
Pra ficar de olho: Camil, Petrobras, Eletrobras, Itaú e Inter|Portal Leouve|2022-07-15|Pra ficar de olho: Camil, Petrobras, Eletrobras, Itaú e Inter.
Welberth se reúne com representantes da Petrobras – Rota Rio|Rota Rio|2022-07-15|O prefeito de Macaé, Welberth (Cidadania), se reuniu nesta quarta-feira,  13, com representantes da Petrobras e da Firjan. Entres outros assuntos, o  chefe do...
Comitê da Petrobras rejeita duas indicações feitas pelo governo|Gazeta do Povo|2022-07-15|O Comitê de Elegibilidade (Celeg) da Petrobras rejeitou nesta quinta-feira  (14) dois nomes indicados pelo governo para integrar o Conselho de  Administração...
Como Lula e Bolsonaro melam os planos da Petrobras para refinarias|VEJA|2022-07-15|Como parte do programa de desinvestimento da estatal, três refinarias da  Petrobras tiveram seus prazos para venda estendidos nesta sexta-feira, 15.
Petrobras recusa dois nomes indicados pelo governo para o Conselho|iG Economia|2022-07-15|Secretário da Casa Civil e procurador da Fazenda não passaram na análise do  colegiado de elegibilidade da empresa para integrar a cúpula da empresa.
A interferência do mundo árabe que faz a ação da Petrobras subir|VEJA|2022-07-15|VEJA Mercado em vídeo: cotação de petróleo volta a subir com a percepção de  que a oferta da commodity vai continuar comprometida.
Debatedores criticam venda de refinaria da Petrobras em Minas Gerais|Jeremoabo.com|2022-07-15|Representantes dos petroleiros criticaram nesta sexta-feira (15), em  audiência pública na Comissão de Legislação Participativa da Câmara dos  Deputados,...
Ao vivo: Câmara realiza audiência sobre privatização da Petrobras|Poder360|2022-07-15|Comissão de Legislação Participativa debate sobre desestatização da  refinaria Gabriel Passos, em Minas Gerais. Acompanhe no Poder360.
