data|fechamento|previsto
2022-03-02|1|0
2022-03-03|0|0
2022-03-04|0|1
2022-03-07|0|0
2022-03-14|0|1
2022-03-15|0|0
2022-03-16|0|1
2022-03-17|0|0
2022-03-18|1|1
2022-03-21|1|1
2022-03-23|1|1
2022-03-24|1|0
2022-03-25|0|1
2022-03-28|0|1
2022-03-29|1|1
2022-03-30|1|1
2022-03-31|1|1
2022-04-01|0|0
2022-04-04|0|1
2022-04-05|0|1
2022-04-06|0|0
2022-04-13|1|1
2022-04-14|0|0
2022-04-18|0|0
2022-04-20|1|1
2022-04-22|0|0
2022-04-25|0|1
2022-04-26|0|1
2022-04-27|1|1
2022-04-28|1|1
2022-04-29|1|1
2022-05-02|0|0
2022-05-03|1|1
2022-05-04|1|1
2022-05-05|0|1
2022-05-06|1|1
2022-05-13|1|0
2022-05-16|1|0
2022-05-17|0|1
2022-05-18|0|1
2022-05-19|1|1
2022-05-20|1|1
2022-05-23|1|1
2022-05-24|0|1
2022-05-25|1|1
2022-05-26|1|1
2022-05-27|0|1
2022-05-30|0|0
2022-05-31|1|1
2022-06-01|0|0
2022-06-06|1|0
2022-06-13|0|1
2022-06-14|1|1
2022-06-15|0|1
2022-06-17|0|1
2022-06-20|1|0
2022-06-21|0|1
2022-06-22|0|0
2022-06-23|0|1
2022-06-24|0|1
2022-06-27|1|1
2022-06-28|1|1
2022-06-29|0|1
2022-06-30|0|1
